design,signal,training_rows,validation_pairs,groups,peers,replications,rejections,rate,wilson_low,wilson_high,normal_rejections,budget_failures,coverage_failures,mean_bias_budget,mean_sampling_radius,mean_lower_bound,mean_p,target,total_observations
eight_balanced,0.5,512,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.1634526150508995,0.018940657524842395,-0.15558570550012144,1.0,0.026428571428571426,7936
eight_balanced,0.5,512,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.1634526150508995,0.009470328762421197,-0.1460795025840784,1.0,0.026428571428571426,27136
eight_balanced,0.5,512,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.015739675992332308,0.018940657524842395,-0.007872766441554241,0.37857556326228065,0.026428571428571426,23296
eight_balanced,0.5,512,8192,400,64,1000,739,0.739,0.7109019937060769,0.7652688157378277,1000,0,0,0.015739675992332308,0.009470328762421197,0.0016334364744888092,0.08424594798718331,0.026428571428571426,42496
eight_balanced,0.5,8192,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.1548960912788479,0.018167756383650688,-0.1466415080544444,1.0,0.026428571428571426,15616
eight_balanced,0.5,8192,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.1548960912788479,0.009083878191825344,-0.13751788490245176,1.0,0.026428571428571426,34816
eight_balanced,0.5,8192,8192,100,64,1000,105,0.105,0.08748778261441682,0.1255353565891717,1000,0,0,0.009757840561546412,0.018167756383650688,-0.0015032573371428972,0.08543454099109647,0.026428571428571426,30976
eight_balanced,0.5,8192,8192,400,64,1000,1000,1.0,0.996173241514445,1.0,1000,0,0,0.009757840561546412,0.009083878191825344,0.007620365814849722,0.00023834525292117377,0.026428571428571426,50176
eight_rare,0.0,32,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,462,0,0,0.3119001746110911,0.02500090942037984,-0.33606211107451134,1.0,0.0,7456
eight_rare,0.0,32,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,503,0,0,0.3119001746110911,0.01250045471018992,-0.32354138070114735,1.0,0.0,26656
eight_rare,0.0,32,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,462,0,0,0.2534135734044292,0.02500090942037984,-0.27757550986784946,1.0,0.0,22816
eight_rare,0.0,32,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,503,0,0,0.2534135734044292,0.01250045471018992,-0.2650547794944855,1.0,0.0,42016
eight_rare,0.0,512,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,65,0,0,0.47929137595770255,0.021571350726736525,-0.5009101459306493,1.0,0.0,7936
eight_rare,0.0,512,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,99,0,0,0.47929137595770255,0.010785675363368262,-0.4900912921085195,1.0,0.0,27136
eight_rare,0.0,512,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,65,0,0,0.24225093325767505,0.021571350726736525,-0.2638697032306219,1.0,0.0,23296
eight_rare,0.0,512,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,99,0,0,0.24225093325767505,0.010785675363368262,-0.25305084940849204,1.0,0.0,42496
eight_rare,0.0,8192,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,43,0,0,0.4497331329450881,0.018894842678830376,-0.4686941051307524,1.0,0.0,15616
