regime,alternative,replication,seed,sample_sha256,fold_sha256
linear,null,120,620261025,ff1eacde726d023dce34a99444941f8ac7c006981715491b725913017068699a,bcc994e9cdd9efe52d9b9bcefcf53afda2d5dc7bf8b7d6c210f16995c9ba50e0
linear,null,121,620261026,8996ff721bfafa36b51b80ec75bad3938814ca698be04dc057cee443f1d6a304,147e0ce402b21c63052e503c2544a5aec76431b7c6eb0105e9dc62f900d06a41
linear,null,122,620261027,280bc7c6e33f8ed96a60bd048397caaec37c3c8745903d8d2b2b4ace6e97f853,10aac1046cd308673f14024565bb534a815b05034a34e6cb4c8d9abed90583a7
linear,null,123,620261028,0f87ff0d0a4ddfed7b55c828969b26d09f49c24d174c8ffe45dbe94cac467619,2c965db23e9cca6481cc95baec5c505e511e8f2da06efdef973d4527f3d20c50
linear,null,124,620261029,0ac0f223eb6da95a13fb66b2b87c20fd6d8fb6bdc4ba975e8dc20760a19fb136,be36c73e6d5f961d1d1391a4188ff17bbce8b2b4d5fbeb1585ee8fa2699b150d
linear,null,125,620261030,dd68b8284a09c15e328bf6addb1b883842abb73e3f36e9e855bc273e52c9ffef,61491f36784ae706db322629f0964e42d87a453235fdf5eb54fc3cc90959c9a4
linear,null,126,620261031,191238e01a95c03fe338894fc08a10ef6f59c490deeb05fbc8f2cc8ff7ef69e9,7b5308da32f4436109bed2ac765555ee46a9253149a08ca748fa99a1cc592601
linear,null,127,620261032,1f8cf01dcd6a6f2a07cf123497cb61a0f846ed201987ccbe0da764fbdf862a4f,b168a1733ac5c4eac0057ef6d9301dfe37946d90ce891c9ac47c4755ffc0aeac
linear,null,128,620261033,9937c23065ea21e9b45d6374185563f69ec4caec648cbfee197fd0b15f45c843,7d83eeeac1d0529120ce8ff2a0192f433431dfeb73539290c7a731992f5e9bc4
linear,null,129,620261034,403aa2cea2b7572104da5b3e2c82a2cc5d1696a6c822e58d6122e01c2503e62c,b307eaeeca9465d26fcda97de5058c4ba2bb9f54ea38ded92caa86f19cdefe8f
linear,null,130,620261035,1166a0578c62de60e1ea554adef6c5282fdff30a08cb376160a9b182777ef740,e8bbfea28ca4baf67828b22eb5e5f5c4540d258c978f039e158d3ac3b53bad00
linear,null,131,620261036,85c66050b7d72df4fce4c2c87515b79ef59cd0fa264f6252f4b9b3a38e6461e9,1a5bdbea267e6ade034c9d01ec715456a5321fe693a1c69444bfeeeab27de2f0
linear,null,132,620261037,a9e2265715dec0a0b3151403add3dd6bc2065e516f56d50d9a28a58c35d8d208,d13f4407dc8b4a812ae5c4493958b23c0778a554562f3a4c5bf8250182635d51
