entities,groups,training_rows,method,replications,rejections,rate,wilson_low,wilson_high,mean_statistic,sd_statistic,mean_score,mean_exact_expectation,mean_nuisance_bias,mean_error_bound,mean_scaled_error_bound,mean_centered_statistic,centered_rejections
16,100,32,distinct,1000,251,0.251,0.22511381079019804,0.27879191493560834,0.6406381571840433,1.7581032933741385,0.0007699848833755857,0.0007456976562949,0.0007456976562949,0.0017913011220446553,0.07165204488178621,-0.002315829039402958,42
16,100,32,shared,1000,557,0.557,0.5260523439907523,0.5875114055418946,1.9065712346878008,1.6683888428630853,0.0022745723833755855,0.0022456976562949,0.0007456976562949,0.0017913011220446553,0.07165204488178621,0.003956458267295718,41
16,100,512,distinct,1000,52,0.052,0.03987303628377742,0.06755573931927998,0.03387255889537832,1.0044147373412189,6.39226917813071e-05,4.173301173449319e-05,4.173301173449319e-05,0.0001028822826933993,0.004115291307735972,-0.005823457328334375,47
16,100,512,shared,1000,409,0.409,0.37893242495569907,0.4397640450886719,1.383723412596851,0.9740619541872906,0.0015685101917813074,0.0015417330117344931,4.173301173449319e-05,0.0001028822826933993,0.004115291307735972,0.0014983043219296758,50
16,100,8192,distinct,1000,44,0.044,0.0329382145884185,0.058551789150407776,-0.005204636933664848,0.998507383868636,2.2853343037652774e-05,2.8294754025718143e-06,2.8294754025718143e-06,6.3243103102705695e-06,0.0002529724124108228,-0.007929134163817837,43
16,100,8192,shared,1000,391,0.391,0.36122774950463854,0.4216064838452125,1.3504582108327556,0.9677519470878966,0.0015274408430376528,0.0015028294754025717,2.8294754025718143e-06,6.3243103102705695e-06,0.0002529724124108228,-0.0005007506579323388,43
16,400,0,distinct,1000,55,0.055,0.04249742737476844,0.07090838767737563,0.001509985449277046,1.0358019446722349,8.750520833333368e-06,0.0,0.0,0.0,0.0,0.001509985449277046,55
16,400,0,shared,1000,854,0.854,0.8307599284226275,0.8745307265695994,2.6926734250162783,1.006904266720064,0.0015113842013888892,0.0015000000000000002,0.0,0.0,0.0,0.007856934770400706,58
16,400,32,distinct,1000,406,0.406,0.37597870513494724,0.43674072546033715,1.2717578262237925,3.075453030456464,0.0007513258681548515,0.0007456976562949,0.0007456976562949,0.0017913011220446553,0.14330408976357242,-0.0038424144383569186,44
16,400,32,shared,1000,809,0.809,0.7834719955714221,0.832163067684505,3.78560844695614,2.8955558271380184,0.002253959548710407,0.0022456976562949,0.0007456976562949,0.0017913011220446553,0.14330408976357242,0.0021955540869595786,47
16,400,512,distinct,1000,75,0.075,0.06025180497346736,0.0930009397392545,0.08166366197653392,1.0582098489068983,5.123760013443847e-05,4.173301173449319e-05,4.173301173449319e-05,0.0001028822826933993,0.008230582615471944,0.002938570520894654,62
16,400,512,shared,1000,870,0.87,0.8477319733455312,0.8894362253751581,2.7601956609475033,1.0270128907749947,0.0015538712806899943,0.0015417330117344931,4.173301173449319e-05,0.0001028822826933993,0.008230582615471944,0.0092786557128548,63
16,400,8192,distinct,1000,57,0.057,0.04425344035871594,0.07313706765948591,0.006754632888755232,1.0354785537703874,1.1468458223049315e-05,2.8294754025718143e-06,2.8294754025718143e-06,6.3243103102705695e-06,0.0005059448248216456,0.0013312727817647208,57
16,400,8192,shared,1000,854,0.854,0.8307599284226275,0.8745307265695994,2.6971647760717317,1.006871594776273,0.0015141021387786052,0.0015028294754025717,2.8294754025718143e-06,6.3243103102705695e-06,0.0005059448248216456,0.007672265462560847,59
64,25,0,distinct,1000,42,0.042,0.031220885546165447,0.056284425226603055,-0.03583530877782276,1.048952403866001,-2.835813492063414e-06,0.0,0.0,0.0,0.0,-0.03583530877782276,42
64,25,0,shared,1000,90,0.09,0.07379614931508309,0.1093417926430721,0.31871935195522494,1.0392460070628786,0.00035262238599143356,0.00035714285714285714,0.0,0.0,0.0,-0.03588156262961416,44
64,25,32,distinct,1000,250,0.25,0.2241530989836914,0.27776028025908617,0.6519510290007033,1.888449892619827,0.000750339374848191,0.0007456976562949,0.0007456976562949,0.0017913011220446553,0.07165204488178621,-0.030541060264754626,48
