condition,entities,clusters,method,replications,rejections,rejection_rate,wilson_low,wilson_high,mean_score,empirical_score_sd,mean_reported_se,mean_statistic,sd_statistic
interaction_copy,8,400,distinct_reference_normal,300,19,0.06333333333333334,0.040916882383915276,0.09679131248552161,-1.3755418026023305e-05,0.0006448319148774552,0.000673148414445955,-0.023648075630407273,0.9587977392358263
interaction_copy,8,400,naive_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.009635036390363994,0.0006653295681805087,0.0006967007141222903,13.845441142830786,1.0302045816864873
interaction_copy,32,25,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-3.063490225731129e-05,0.000980096088063164,,,
interaction_copy,32,25,distinct_reference_normal,300,18,0.06,0.038286369524692054,0.09283944515290843,-3.063490225731129e-05,0.000980096088063164,0.0009520934282880635,-0.017304797987798146,1.072958119144015
interaction_copy,32,25,naive_normal,300,225,0.75,0.6980484035459826,0.7956301108417443,0.0021480481824923668,0.0009583052687783157,0.0009289973922081962,2.376529462397967,1.1591537436923534
interaction_copy,32,100,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-4.630460510333022e-05,0.0004892408913479222,,,
interaction_copy,32,100,distinct_reference_normal,300,13,0.043333333333333335,0.025496448084407246,0.07271746563401146,-4.630460510333022e-05,0.0004892408913479222,0.0004799840394161708,-0.08942177288548496,1.020582088213986
interaction_copy,32,100,naive_normal,300,298,0.9933333333333333,0.9760224167496929,0.998169851642088,0.0021369290779814152,0.00047530541650558266,0.0004677671817715704,4.60062604856602,1.1065368620711988
interaction_copy,32,400,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-1.071188236239255e-05,0.00023180575648589435,,,
interaction_copy,32,400,distinct_reference_normal,300,11,0.03666666666666667,0.02059530516285303,0.06445384817189295,-1.071188236239255e-05,0.00023180575648589435,0.00024097791428550282,-0.04362529618978579,0.9659516333536062
interaction_copy,32,400,naive_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.0021662823330093227,0.00022475869518371423,0.00023462202798941613,9.246645219313265,1.0256945869682517
interaction_copy,128,25,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-9.70180426433636e-07,0.0004281645308693459,,,
interaction_copy,128,25,distinct_reference_normal,300,19,0.06333333333333334,0.040916882383915276,0.09679131248552161,-9.70180426433636e-07,0.0004281645308693459,0.0004244274546385548,-0.00807782745701349,1.0399953496735521
interaction_copy,128,25,naive_normal,300,99,0.33,0.2792344636154957,0.3850641466008499,0.0005310884327152615,0.0004239429772620191,0.00042021212203123694,1.2829061145773164,1.0503869293382082
interaction_copy,128,100,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-1.6908329208987448e-05,0.00023434852999351148,,,
interaction_copy,128,100,distinct_reference_normal,300,22,0.07333333333333333,0.04892399383922859,0.10853134160571733,-1.6908329208987448e-05,0.00023434852999351148,0.0002166435257048685,-0.07189304894647373,1.09038556232223
interaction_copy,128,100,naive_normal,300,227,0.7566666666666667,0.7050648160221181,0.8017784587492817,0.0005148430160645343,0.00023201063347394016,0.00021445253488125388,2.4200275257327886,1.1195749610409302
interaction_copy,128,400,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-5.7629559243395166e-06,0.00010836746740754876,,,
interaction_copy,128,400,distinct_reference_normal,300,12,0.04,0.023027321487942308,0.06860421203864003,-5.7629559243395166e-06,0.00010836746740754876,0.0001093367417514323,-0.04863990374647854,0.9918811521284951
interaction_copy,128,400,naive_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.0005256241515950372,0.00010751527240691634,0.00010822620170121808,4.866658778455217,1.0274034478420853
linear_copy,8,25,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-0.00023304382455526396,0.0027588921946663457,,,
linear_copy,8,25,distinct_reference_normal,300,14,0.04666666666666667,0.027998933682334012,0.07679736022792105,-0.00023304382455526396,0.0027588921946663457,0.0026463080331333606,-0.09819707461544319,1.0657270342440675
linear_copy,8,25,naive_normal,300,289,0.9633333333333334,0.9355461518281071,0.979404694837147,0.009501536674310944,0.002740301773851948,0.002721815340728202,3.566712584396455,1.1340240897835043
linear_copy,8,100,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-1.8149437080290654e-06,0.0013672692933009687,,,
linear_copy,8,100,distinct_reference_normal,300,13,0.043333333333333335,0.025496448084407246,0.07271746563401146,-1.8149437080290654e-06,0.0013672692933009687,0.0013410305122295264,0.0023100361942000685,1.0141208927698828
linear_copy,8,100,naive_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.009713165215022124,0.0013703914609244482,0.0013781579800931306,7.087857670286276,1.1214582677187266
linear_copy,8,400,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-7.003093489573466e-06,0.000645503188937817,,,
linear_copy,8,400,distinct_reference_normal,300,20,0.06666666666666667,0.043567515545158274,0.10072305951611496,-7.003093489573466e-06,0.000645503188937817,0.0006726718366796234,-0.014308971066905578,0.9572714550379658
linear_copy,8,400,naive_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.009659528935988877,0.0006711137224800061,0.0006945081602747053,13.923501868255826,1.0334566968467176
linear_copy,32,25,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-2.5109695020358956e-05,0.0009667709994292667,,,
linear_copy,32,25,distinct_reference_normal,300,19,0.06333333333333334,0.040916882383915276,0.09679131248552161,-2.5109695020358956e-05,0.0009667709994292667,0.0009337519613479354,-0.02345284929233118,1.0833208660618008
linear_copy,32,25,naive_normal,300,233,0.7766666666666666,0.7262089140024802,0.8201286419199375,0.0021470113594367997,0.0009422353225784481,0.0009090851348336264,2.420821834396692,1.1520498837569202
linear_copy,32,100,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-3.268812642984026e-05,0.00046268692839926976,,,
linear_copy,32,100,distinct_reference_normal,300,8,0.02666666666666667,0.01357306980864708,0.05172894295058982,-3.268812642984026e-05,0.00046268692839926976,0.000477918029310541,-0.06291247800598178,0.9603225154255676
linear_copy,32,100,naive_normal,300,298,0.9933333333333333,0.9760224167496929,0.998169851642088,0.0021465258000356426,0.00044996290054298115,0.00046530900531501765,4.641409114769991,1.0311716349649016
linear_copy,32,400,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-1.0563457888444524e-05,0.000235818286288211,,,
linear_copy,32,400,distinct_reference_normal,300,10,0.03333333333333333,0.01820494733885481,0.06026182580405482,-1.0563457888444524e-05,0.000235818286288211,0.00024060285040947252,-0.04239653801105444,0.9806442477240961
linear_copy,32,400,naive_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.002167301170609066,0.00022946156228483046,0.00023427897163440277,9.2659946475576,1.0544741047148884
linear_copy,128,25,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-8.301280783140327e-06,0.000418103926623808,,,
linear_copy,128,25,distinct_reference_normal,300,18,0.06,0.038286369524692054,0.09283944515290843,-8.301280783140327e-06,0.000418103926623808,0.00042735251155113986,-0.022214788123933443,1.0183312330998089
linear_copy,128,25,naive_normal,300,97,0.3233333333333333,0.2729253960837475,0.37820845374892526,0.0005234345016699041,0.0004139605030740533,0.00042312810010042767,1.2626998799358855,1.0376119201278657
linear_copy,128,100,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-1.872925664198364e-05,0.00022749803516986886,,,
linear_copy,128,100,distinct_reference_normal,300,17,0.056666666666666664,0.03567747646328951,0.08886595802247463,-1.872925664198364e-05,0.00022749803516986886,0.00021694600584145482,-0.07784644063748891,1.0666460702361809
linear_copy,128,100,naive_normal,300,221,0.7366666666666667,0.6840604965627417,0.7832884970576399,0.0005127203901900132,0.0002251194887803158,0.00021476603712355949,2.407982772227803,1.099830933588136
linear_copy,128,400,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-6.068461663398039e-06,0.0001095278542844978,,,
linear_copy,128,400,distinct_reference_normal,300,12,0.04,0.023027321487942308,0.06860421203864003,-6.068461663398039e-06,0.0001095278542844978,0.00010928828434997887,-0.05267215428821859,1.0049870925029398
linear_copy,128,400,naive_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.0005253894009154369,0.00010857152984070842,0.00010818371964189782,4.864807746036254,1.0328124702483135
nonmonotone_copy,8,25,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-6.690700104467472e-05,0.0027171979898221958,,,
nonmonotone_copy,8,25,distinct_reference_normal,300,14,0.04666666666666667,0.027998933682334012,0.07679736022792105,-6.690700104467472e-05,0.0027171979898221958,0.002660108667525263,-0.04316672112535519,1.0612475715933722
