model,family,n_observations,n_month_clusters,n_firms,n_seed_sources,T_q8,T_q12,T_q16,T_q24,T_q32,T_q10,mean_beta1,se_beta1,T_beta1,p_beta1,nominal_decision_beta1,mean_beta2,se_beta2,T_beta2,p_beta2,nominal_decision_beta2,by_adjusted_p_beta1,by_retained_beta1,family_decision_beta1,by_adjusted_p_beta2,by_retained_beta2,family_decision_beta2,excluded_incomplete_calendar_records,outcome_encoding
MSGNet,Supervised forecaster,8922,132,369,4,-2.038442684562381,-2.0386671146107354,-2.000916577466393,-2.012549198564411,-1.966902527877977,-2.0353950069998805,-0.020129245370204024,0.010234744006211908,-1.9667561160285705,0.9753943329873285,NULL,-0.02043837883794182,0.0102638387757595,-1.9912996769017766,0.9767760245147229,NULL,1.0,False,NULL,1.0,False,NULL,4,Excess next-month return at float32 precision
DLinear,Supervised forecaster,14770,132,601,5,0.12307941449015666,0.08711869072451721,0.07187996783596434,0.09281464718496656,0.14589114215093346,0.12110818645575645,0.00107217812927928,0.010003527135599105,0.10718000908537226,0.4573230872513335,NULL,0.0010141412029468406,0.010016551063511125,0.10124654649255602,0.45967737388485186,NULL,1.0,False,NULL,1.0,False,NULL,4,Excess next-month return at float32 precision
FiLM,Supervised forecaster,2613,132,115,1,-2.7176170076400115,-2.730773053005655,-2.6484900909373326,-2.666127558685495,-2.683471946269631,-2.7003427421526407,-0.05649853926094118,0.02136468126368184,-2.6444831338056956,0.9959092108001604,NULL,-0.05726906793864345,0.02143896603377184,-2.671260724441191,0.9962216536850725,NULL,1.0,False,NULL,1.0,False,NULL,4,Excess next-month return at float32 precision
TiDE,Supervised forecaster,2613,132,115,1,-0.48582645159951127,-0.5999370038416673,-0.5468164715931902,-0.6827403614737064,-0.5500903945114919,-0.4930393047561439,-0.015353406186039477,0.023615195960294485,-0.6501494297084808,0.7422021485157729,NULL,-0.014479702407509518,0.023396253858462508,-0.6188897801804351,0.7320055142377915,NULL,1.0,False,NULL,1.0,False,NULL,4,Excess next-month return at float32 precision
SegRNN,Supervised forecaster,2613,132,115,1,-0.7712602861015004,-0.7332254158630562,-0.6505765920624185,-0.747578098127797,-0.6202980831251101,-0.7914519530211377,-0.01527228117823107,0.024419356548035318,-0.6254170190024854,0.7341513024746478,NULL,-0.0160832717674448,0.024234113544123644,-0.6636624747243836,0.7465468191086247,NULL,1.0,False,NULL,1.0,False,NULL,4,Excess next-month return at float32 precision
PatchTST,Supervised forecaster,8113,72,454,5,-3.209773451498463,-3.18338102832252,-3.2241358054807763,-3.3104051887418167,-3.1559857380117604,-3.157386967612828,-0.04061952387598531,0.01257414323403746,-3.2304009203609727,0.999381916293894,NULL,-0.040302261259213996,0.012489031980002788,-3.227012415673628,0.9993745498387241,NULL,1.0,False,NULL,1.0,False,NULL,4,Excess next-month return at float32 precision
iTransformer,Supervised forecaster,8113,72,454,5,-4.109964269542247,-3.9689988082389736,-4.0849431678096755,-4.1049501776080835,-3.9679976134743407,-3.99952668042045,-0.05489725287895831,0.013716555408320138,-4.00226232058662,0.9999686301589966,NULL,-0.05504746570145363,0.013680043154779553,-4.0239248574461595,0.9999713819069883,NULL,1.0,False,NULL,1.0,False,NULL,4,Excess next-month return at float32 precision
TimesNet,Supervised forecaster,8113,72,454,5,-1.3024038287106232,-1.1733953840224518,-1.286072501089825,-1.2721674537321368,-1.2137691073355967,-1.1947177832333857,-0.010954081701077052,0.008974158486885623,-1.220624944064091,0.8888859712709751,NULL,-0.01099602764338014,0.00892421751853011,-1.2321559420249624,0.8910545812155108,NULL,1.0,False,NULL,1.0,False,NULL,4,Excess next-month return at float32 precision
TimeMixer,Supervised forecaster,8113,72,454,5,-3.6703622019817432,-3.598033960997843,-3.6760865018619624,-3.7674383826240296,-3.628896594366314,-3.590116019564802,-0.04719159281856934,0.012776215837667908,-3.6937066043792983,0.9998894956064185,NULL,-0.04684944679957713,0.012723825170317631,-3.682025347917257,0.999884305801026,NULL,1.0,False,NULL,1.0,False,NULL,4,Excess next-month return at float32 precision
TimeXer,Supervised forecaster,8113,72,454,5,-3.992501329481335,-3.9061716040651357,-3.9969538133883655,-4.100126000158962,-3.9045062890156865,-3.9018597891831868,-0.0516728134801159,0.012951699493109085,-3.9896550647741846,0.9999669152750001,NULL,-0.05139114580593767,0.012891161480422237,-3.9865411572095524,0.9999664782487927,NULL,1.0,False,NULL,1.0,False,NULL,4,Excess next-month return at float32 precision
TFT,Supervised forecaster,15699,132,642,5,-0.5409687027205778,-0.5287996482590233,-0.5836116873372313,-0.5559896563496365,-0.5910946715321277,-0.5834647457646941,-0.006209181735381045,0.010456789832536657,-0.5937942556769158,0.723675134219443,NULL,-0.006021806503772457,0.010439264458423157,-0.5768420301790157,0.7179769130316682,NULL,1.0,False,NULL,1.0,False,NULL,3,Excess next-month return at float32 precision
NHITS,Supervised forecaster,8690,132,586,5,-1.1943458721223679,-1.1310280414769378,-1.206863911943348,-1.179471393834208,-1.0709107240061675,-1.1948040653411158,-0.015579362451334155,0.014074763232657972,-1.1069004994119567,0.8658315250249486,NULL,-0.015914615869171683,0.014037777627413416,-1.133699100496728,0.8715396064555209,NULL,1.0,False,NULL,1.0,False,NULL,0,Excess next-month return at float32 precision
DTAF,Supervised forecaster,8113,72,454,5,-4.509652158334415,-4.497057957029533,-4.578231710022095,-4.683896202329145,-4.482622777030792,-4.476494762718581,-0.06265158275381737,0.013613396423110201,-4.602200715132308,0.999997909749825,NULL,-0.06232581155106258,0.01360189093041069,-4.582143164500492,0.9999976988268887,NULL,1.0,False,NULL,1.0,False,NULL,4,Excess next-month return at float32 precision
DUET,Supervised forecaster,16014,132,649,5,-2.150067571294305,-2.241702824451478,-2.1229394907013956,-2.2135517927838824,-2.159577497789973,-2.1633427402117476,-0.020020107312323673,0.009164222713781853,-2.1845941480902593,0.9855406913070711,NULL,-0.020021372733794594,0.009165349556036664,-2.184463626988206,0.9855359013897312,NULL,1.0,False,NULL,1.0,False,NULL,4,Excess next-month return at float32 precision
FreqCycle,Supervised forecaster,8113,72,454,5,-3.7632023275990196,-3.6926850010590124,-3.7971608272710338,-3.867785843745496,-3.7057402369432566,-3.671277557895975,-0.0477989905355213,0.012622473942970912,-3.786816336597721,0.9999237050997696,NULL,-0.047618916259131956,0.012601492364588263,-3.778831497207977,0.9999212170022302,NULL,1.0,False,NULL,1.0,False,NULL,4,Excess next-month return at float32 precision
TimeBridge,Supervised forecaster,16014,132,649,5,-0.8649212106317179,-0.9844170485914057,-0.8785437908093136,-0.9589102278768594,-0.9160623622012934,-0.9229006916621949,-0.009560217248267836,0.010009636564118638,-0.9551013353010411,0.8302367731110458,NULL,-0.009426113914068886,0.01000053497373284,-0.9425609668710011,0.8270472434894377,NULL,1.0,False,NULL,1.0,False,NULL,4,Excess next-month return at float32 precision
FT-Transformer,Supervised forecaster,31045,132,1852,5,-6.872748761450179,-6.8265635512368465,-6.892374982878677,-6.838639784170167,-6.880606926736228,-6.868834778109191,-0.048528353345927124,0.007071444443518928,-6.862580019334522,0.9999999999966186,NULL,-0.04856460349098908,0.007076371815257516,-6.862924215807585,0.9999999999966267,NULL,1.0,False,NULL,1.0,False,NULL,1010,Excess next-month return at float32 precision
TabM,Supervised forecaster,31045,132,1852,5,-3.2913880637736286,-3.3380251853097485,-3.3001133737944306,-3.332497401714716,-3.2884025275257813,-3.2816028355956197,-0.026234867213820092,0.007914625788344688,-3.3147324858307683,0.999541345674925,NULL,-0.02620592849061665,0.007904054168986806,-3.31550466764778,0.9995426109330625,NULL,1.0,False,NULL,1.0,False,NULL,1010,Excess next-month return at float32 precision
ImplicitDecoding,Supervised forecaster,8113,72,454,5,-2.9817871561136924,-2.9971683159121203,-3.011152142405556,-3.0314077818440963,-2.9924465824937703,-2.9274968351077795,-0.03736791690581326,0.012361664465235206,-3.022887169515344,0.9987481221195607,NULL,-0.037043848836412534,0.012279833520165958,-3.0166409646823857,0.9987220382659767,NULL,1.0,False,NULL,1.0,False,NULL,4,Excess next-month return at float32 precision
TimeFilter,Supervised forecaster,16014,132,649,5,-1.502214374110149,-1.6074579277278394,-1.4918007971413016,-1.5775696679432887,-1.4959053874608492,-1.5400992718060693,-0.01546871080526696,0.01006046509273325,-1.5375741243255372,0.9379236108682358,NULL,-0.015492958939164476,0.01005217469972095,-1.541254445129626,0.9383725643472836,NULL,1.0,False,NULL,1.0,False,NULL,4,Excess next-month return at float32 precision
