regime,metric,seed,N,T,beta_hat,fixed_statistic,adaptive_statistic,fixed_reject,adaptive_reject,fixed_mean,adaptive_mean,fixed_se,adaptive_se,fixed_weight_norm_squared,adaptive_weight_norm_squared,spectrum_means
smooth,typeI,518,120,100,0.6665104307177834,0.8506888465353506,0.5048646092162201,0,0,0.0034929539922871787,0.002082367548428718,0.004106030079638557,0.00412460590505938,1.0507812500000016,2.074763405283007,"[0.0094356245727726, 0.006352704765363797, 0.006271610435929708, 0.0057390115042056395, 0.004877812364197889]"
smooth,typeI,519,120,100,0.5,1.647271147520544,1.196156810748368,1,0,0.00839693283988163,0.0061758844628451125,0.005097480674338653,0.005163106047091943,1.0507812500000016,3.5115366003409427,"[0.01240079120542014, 0.011865895599624948, 0.010109648413448226, 0.009305515844633998, 0.009838500611942576]"
smooth,typeI,520,120,100,1.8997629198202162,-0.044722080483441624,0.16935837406314844,0,0,-0.00018021401603618455,0.0006788955842405938,0.004029642943442867,0.0040086331012333335,1.0507812500000016,0.46320739595130517,"[0.00380641646950977, 0.001842202788957443, 0.0013619988786783444, 0.0012509408446681682, 0.0009411074910116355]"
smooth,typeI,521,120,100,0.5,2.185760433928777,1.7040653092348554,1,1,0.009365575257517663,0.007377080133419642,0.00428481324491888,0.004329106457035988,1.0507812500000016,3.5115366003409427,"[0.013310145309185279, 0.011828592439828268, 0.011571924251151616, 0.009748565499358668, 0.01100983919263532]"
smooth,typeI,522,120,100,1.2708650309479033,-1.1346506949807396,-1.021245878438351,0,0,-0.004597924293439245,-0.004115052301701885,0.004052281740784808,0.004029443240441235,1.0507812500000016,0.7405251230061524,"[0.0007577919825765846, -0.002073043564030411, -0.002820367121981319, -0.0032437596966095484, -0.002504839267158142]"
smooth,typeI,523,120,100,0.5,1.6423555030211188,1.159792733193987,0,0,0.006730140907901986,0.004840752977044218,0.004097858773890225,0.004173808680205408,1.0507812500000016,3.5115366003409427,"[0.011371643260789535, 0.008454891908497637, 0.00845132128512338, 0.007943788905740577, 0.00844998479806156]"
smooth,typeI,524,120,100,2.0,1.6013887591038574,1.8804923861003093,0,1,0.007901917717127439,0.009253574008520237,0.004934415626564893,0.004920825033336046,1.0507812500000016,0.4413481422186647,"[0.01312718593426275, 0.01139701170262237, 0.0104760208419141, 0.00937824794985674, 0.00943788848127409]"
smooth,typeI,525,120,100,1.0833530067062846,1.5832335310632928,1.6268958513302405,0,0,0.006694672653412624,0.006874943375354955,0.004228480841304889,0.004225804233094342,1.0507812500000016,0.9301133258528089,"[0.011449126081044156, 0.009535469442546985, 0.008585343191323374, 0.008697623533127426, 0.007759200433712216]"
smooth,typeI,526,120,100,0.5,0.2821316225870365,-0.15625575165503355,0,0,0.001324145442309644,-0.0007586640256653077,0.0046933606029971,0.004855271038855665,1.0507812500000016,3.5115366003409427,"[0.005148597530955568, 0.004424698281543303, 0.002667380666530453, 0.002962308675876791, 0.002208878307859558]"
smooth,typeI,527,120,100,2.0,0.62124380911255,0.9816553984207055,0,0,0.0023809427655433137,0.0037135661572090203,0.003832541637629359,0.0037829631082184566,1.0507812500000016,0.4413481422186647,"[0.007934241799313213, 0.005381282509089133, 0.005056044157145635, 0.004050229689995858, 0.003978841419174395]"
smooth,typeI,528,120,100,1.8310585510483857,-0.6874294055879766,-0.4610004478220939,0,0,-0.0029926490723548326,-0.001980885908372061,0.004353391123551283,0.004296928382022984,1.0507812500000016,0.48032041852425483,"[0.00198346084422604, -0.00025042415262888714, -0.0013439462717627696, -0.001576336667405835, -0.0011858129753719504]"
smooth,typeI,529,120,100,1.645969144082151,1.272475208077444,1.511686896452259,0,0,0.00552338792460915,0.006501137612474918,0.00434066446996191,0.004300584749217763,1.0507812500000016,0.5376279047419501,"[0.010934485221327872, 0.008591642415482352, 0.007514057776151799, 0.007020943091210878, 0.00743730243605003]"
smooth,typeI,530,120,100,1.227388584705688,0.5444838581074077,0.7032894428026311,0,0,0.002453147503766273,0.0031726974122452674,0.004505454968478335,0.004511225704742511,1.0507812500000016,0.7768285536089364,"[0.010229644955014638, 0.006731535897227432, 0.006824880458000125, 0.004394115568111644, 0.0047467802671504545]"
smooth,typeI,531,120,100,2.0,-0.22907903256122886,0.1285524051989666,0,0,-0.0008888363482013973,0.0004994878457036611,0.003880042351601195,0.0038854803605625284,1.0507812500000016,0.4413481422186647,"[0.005004783048312481, 0.002554579148281136, 0.0013586272396051181, 0.0009601684651790901, 0.0009840401912542518]"
smooth,typeI,532,120,100,2.0,-0.0038326386005416062,0.34627034383800265,0,0,-1.5452421135109696e-05,0.001412012924877259,0.004031797084370555,0.004077776078733002,1.0507812500000016,0.4413481422186647,"[0.005830306507034892, 0.0034484983956556766, 0.0026546534536757756, 0.0016883890277954116, 0.0017615348387389155]"
smooth,typeI,533,120,100,0.6355470039166128,-1.0048263796625474,-1.318590870775127,0,0,-0.004664145277632669,-0.006221710803303408,0.004641742466195042,0.004718454329693642,1.0507812500000016,2.259100155935324,"[0.0013209536356168729, -0.0018232044075625758, -0.001910427579132169, -0.0032733003939943383, -0.0025474208542188123]"
