suite,setting,regime,signal_delta,legacy_metric,overlap,N,T,rejections,replicates,rate,wilson95_low,wilson95_high
ablation,binning: equal-width,smooth,0.15,power,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
ablation,binning: equal-width,nonlinear,0.0,typeI,0.8,120,100,23,150,0.15333333333333332,0.10439953770520066,0.2195798317233324
ablation,binning: equal-width,nonlinear,0.15,power,0.8,120,100,148,150,0.9866666666666667,0.9526930912996325,0.9963358708487731
ablation,binning: equal-width,large_n,0.0,typeI,0.8,160,160,9,80,0.1125,0.060326869466304764,0.20018218092372875
ablation,binning: equal-width,large_n,0.15,power,0.8,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
ablation,binning: equal-width,heavy_tail,0.0,typeI,0.8,120,100,13,150,0.08666666666666667,0.051347178274724174,0.14262822373621914
ablation,binning: equal-width,heavy_tail,0.15,power,0.8,120,100,141,150,0.94,0.8899102291652979,0.9681159557907947
ablation,nuisance: light fit (4 sweeps),smooth,0.0,typeI,0.8,120,100,17,150,0.11333333333333333,0.0719742391403741,0.17400274983760514
ablation,nuisance: light fit (4 sweeps),smooth,0.15,power,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
ablation,nuisance: light fit (4 sweeps),nonlinear,0.0,typeI,0.8,120,100,22,150,0.14666666666666667,0.0988943721258812,0.2120846005608929
ablation,nuisance: light fit (4 sweeps),nonlinear,0.15,power,0.8,120,100,148,150,0.9866666666666667,0.9526930912996325,0.9963358708487731
ablation,nuisance: light fit (4 sweeps),large_n,0.0,typeI,0.8,160,160,9,80,0.1125,0.060326869466304764,0.20018218092372875
ablation,nuisance: light fit (4 sweeps),large_n,0.15,power,0.8,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
ablation,nuisance: light fit (4 sweeps),heavy_tail,0.0,typeI,0.8,120,100,14,150,0.09333333333333334,0.05641186747708652,0.1505639312756158
ablation,nuisance: light fit (4 sweeps),heavy_tail,0.15,power,0.8,120,100,140,150,0.9333333333333333,0.8816376448839411,0.9633881433303926
ablation,nuisance: heavy fit (24 sweeps),smooth,0.0,typeI,0.8,120,100,17,150,0.11333333333333333,0.0719742391403741,0.17400274983760514
ablation,nuisance: heavy fit (24 sweeps),smooth,0.15,power,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
ablation,nuisance: heavy fit (24 sweeps),nonlinear,0.0,typeI,0.8,120,100,22,150,0.14666666666666667,0.0988943721258812,0.2120846005608929
ablation,nuisance: heavy fit (24 sweeps),nonlinear,0.15,power,0.8,120,100,148,150,0.9866666666666667,0.9526930912996325,0.9963358708487731
ablation,nuisance: heavy fit (24 sweeps),large_n,0.0,typeI,0.8,160,160,9,80,0.1125,0.060326869466304764,0.20018218092372875
ablation,nuisance: heavy fit (24 sweeps),large_n,0.15,power,0.8,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
ablation,nuisance: heavy fit (24 sweeps),heavy_tail,0.0,typeI,0.8,120,100,14,150,0.09333333333333334,0.05641186747708652,0.1505639312756158
ablation,nuisance: heavy fit (24 sweeps),heavy_tail,0.15,power,0.8,120,100,140,150,0.9333333333333333,0.8816376448839411,0.9633881433303926
generalization,ours,smooth,0.0,typeI,0.5,120,100,14,150,0.09333333333333334,0.05641186747708652,0.1505639312756158
generalization,ours,smooth,0.15,power,0.5,120,100,148,150,0.9866666666666667,0.9526930912996325,0.9963358708487731
generalization,ours,nonlinear,0.0,typeI,0.5,120,100,14,150,0.09333333333333334,0.05641186747708652,0.1505639312756158
generalization,ours,nonlinear,0.15,power,0.5,120,100,145,150,0.9666666666666667,0.9243482038212211,0.9856795681019074
generalization,ours,large_n,0.0,typeI,0.5,160,160,8,80,0.1,0.05154761556738083,0.18510688806104086
generalization,ours,large_n,0.15,power,0.5,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,ours,heavy_tail,0.0,typeI,0.5,120,100,15,150,0.1,0.061541383826314106,0.15843481166814719
generalization,ours,heavy_tail,0.15,power,0.5,120,100,143,150,0.9533333333333334,0.9068135276008725,0.9772134508387381
generalization,ours,smooth,0.0,typeI,0.65,120,100,18,150,0.12,0.07726903087841022,0.18170835484132794
generalization,ours,smooth,0.15,power,0.65,120,100,148,150,0.9866666666666667,0.9526930912996325,0.9963358708487731
generalization,ours,nonlinear,0.0,typeI,0.65,120,100,16,150,0.10666666666666667,0.06673036965207342,0.16624622258414684
generalization,ours,nonlinear,0.15,power,0.65,120,100,145,150,0.9666666666666667,0.9243482038212211,0.9856795681019074
generalization,ours,large_n,0.0,typeI,0.65,160,160,8,80,0.1,0.05154761556738083,0.18510688806104086
generalization,ours,large_n,0.15,power,0.65,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,ours,heavy_tail,0.0,typeI,0.65,120,100,15,150,0.1,0.061541383826314106,0.15843481166814719
generalization,ours,heavy_tail,0.15,power,0.65,120,100,144,150,0.96,0.915486535783444,0.9815408393979256
generalization,ours,smooth,0.0,typeI,0.8,120,100,21,150,0.14,0.09342648818551796,0.20455208775949718
generalization,ours,smooth,0.15,power,0.8,120,100,149,150,0.9933333333333333,0.9632071602251817,0.9988221986649826
generalization,ours,nonlinear,0.0,typeI,0.8,120,100,16,150,0.10666666666666667,0.06673036965207342,0.16624622258414684
generalization,ours,nonlinear,0.15,power,0.8,120,100,145,150,0.9666666666666667,0.9243482038212211,0.9856795681019074
generalization,ours,large_n,0.0,typeI,0.8,160,160,9,80,0.1125,0.060326869466304764,0.20018218092372875
generalization,ours,large_n,0.15,power,0.8,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,ours,heavy_tail,0.0,typeI,0.8,120,100,17,150,0.11333333333333333,0.0719742391403741,0.17400274983760514
generalization,ours,heavy_tail,0.15,power,0.8,120,100,145,150,0.9666666666666667,0.9243482038212211,0.9856795681019074
generalization,ours,smooth,0.0,typeI,0.9,120,100,21,150,0.14,0.09342648818551796,0.20455208775949718
generalization,ours,smooth,0.15,power,0.9,120,100,149,150,0.9933333333333333,0.9632071602251817,0.9988221986649826
generalization,ours,nonlinear,0.0,typeI,0.9,120,100,19,150,0.12666666666666668,0.08261129487936036,0.18936648758213687
generalization,ours,nonlinear,0.15,power,0.9,120,100,146,150,0.9733333333333334,0.9334461094878556,0.989582059177032
generalization,ours,large_n,0.0,typeI,0.9,160,160,9,80,0.1125,0.060326869466304764,0.20018218092372875
generalization,ours,large_n,0.15,power,0.9,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
generalization,ours,heavy_tail,0.0,typeI,0.9,120,100,19,150,0.12666666666666668,0.08261129487936036,0.18936648758213687
generalization,ours,heavy_tail,0.15,power,0.9,120,100,146,150,0.9733333333333334,0.9334461094878556,0.989582059177032
generalization,ours,smooth,0.0,typeI,0.95,120,100,22,150,0.14666666666666667,0.0988943721258812,0.2120846005608929
