suite,setting,regime,metric,overlap,historical_value,replay_exact_rate,replay_rounded_rate,decimals,matches
generalization,permutation,nonlinear,power,0.9,1.0,1.0,1.0,3,True
generalization,permutation,large_n,typeI,0.9,0.688,0.6875,0.688,3,True
generalization,permutation,large_n,power,0.9,1.0,1.0,1.0,3,True
generalization,permutation,heavy_tail,typeI,0.9,0.433,0.43333333333333335,0.433,3,True
generalization,permutation,heavy_tail,power,0.9,1.0,1.0,1.0,3,True
generalization,permutation,smooth,typeI,0.95,0.587,0.5866666666666667,0.587,3,True
generalization,permutation,smooth,power,0.95,1.0,1.0,1.0,3,True
generalization,permutation,nonlinear,typeI,0.95,1.0,1.0,1.0,3,True
generalization,permutation,nonlinear,power,0.95,1.0,1.0,1.0,3,True
generalization,permutation,large_n,typeI,0.95,0.713,0.7125,0.713,3,True
generalization,permutation,large_n,power,0.95,1.0,1.0,1.0,3,True
generalization,permutation,heavy_tail,typeI,0.95,0.46,0.46,0.46,3,True
generalization,permutation,heavy_tail,power,0.95,1.0,1.0,1.0,3,True
generalization,weighted GCM,smooth,typeI,0.5,0.187,0.18666666666666668,0.187,3,True
generalization,weighted GCM,smooth,power,0.5,0.667,0.6666666666666666,0.667,3,True
generalization,weighted GCM,nonlinear,typeI,0.5,0.793,0.7933333333333333,0.793,3,True
generalization,weighted GCM,nonlinear,power,0.5,0.993,0.9933333333333333,0.993,3,True
generalization,weighted GCM,large_n,typeI,0.5,0.15,0.15,0.15,3,True
generalization,weighted GCM,large_n,power,0.5,0.912,0.9125,0.912,3,True
generalization,weighted GCM,heavy_tail,typeI,0.5,0.1,0.1,0.1,3,True
generalization,weighted GCM,heavy_tail,power,0.5,0.52,0.52,0.52,3,True
generalization,weighted GCM,smooth,typeI,0.65,0.187,0.18666666666666668,0.187,3,True
generalization,weighted GCM,smooth,power,0.65,0.667,0.6666666666666666,0.667,3,True
generalization,weighted GCM,nonlinear,typeI,0.65,0.86,0.86,0.86,3,True
generalization,weighted GCM,nonlinear,power,0.65,0.993,0.9933333333333333,0.993,3,True
generalization,weighted GCM,large_n,typeI,0.65,0.138,0.1375,0.138,3,True
generalization,weighted GCM,large_n,power,0.65,0.95,0.95,0.95,3,True
generalization,weighted GCM,heavy_tail,typeI,0.65,0.1,0.1,0.1,3,True
generalization,weighted GCM,heavy_tail,power,0.65,0.507,0.5066666666666667,0.507,3,True
generalization,weighted GCM,smooth,typeI,0.8,0.167,0.16666666666666666,0.167,3,True
generalization,weighted GCM,smooth,power,0.8,0.72,0.72,0.72,3,True
generalization,weighted GCM,nonlinear,typeI,0.8,0.88,0.88,0.88,3,True
generalization,weighted GCM,nonlinear,power,0.8,0.993,0.9933333333333333,0.993,3,True
generalization,weighted GCM,large_n,typeI,0.8,0.15,0.15,0.15,3,True
generalization,weighted GCM,large_n,power,0.8,0.938,0.9375,0.938,3,True
generalization,weighted GCM,heavy_tail,typeI,0.8,0.1,0.1,0.1,3,True
generalization,weighted GCM,heavy_tail,power,0.8,0.533,0.5333333333333333,0.533,3,True
generalization,weighted GCM,smooth,typeI,0.9,0.2,0.2,0.2,3,True
generalization,weighted GCM,smooth,power,0.9,0.727,0.7266666666666667,0.727,3,True
generalization,weighted GCM,nonlinear,typeI,0.9,0.913,0.9133333333333333,0.913,3,True
generalization,weighted GCM,nonlinear,power,0.9,0.993,0.9933333333333333,0.993,3,True
generalization,weighted GCM,large_n,typeI,0.9,0.15,0.15,0.15,3,True
generalization,weighted GCM,large_n,power,0.9,0.95,0.95,0.95,3,True
generalization,weighted GCM,heavy_tail,typeI,0.9,0.113,0.11333333333333333,0.113,3,True
generalization,weighted GCM,heavy_tail,power,0.9,0.513,0.5133333333333333,0.513,3,True
generalization,weighted GCM,smooth,typeI,0.95,0.187,0.18666666666666668,0.187,3,True
generalization,weighted GCM,smooth,power,0.95,0.707,0.7066666666666667,0.707,3,True
generalization,weighted GCM,nonlinear,typeI,0.95,0.92,0.92,0.92,3,True
generalization,weighted GCM,nonlinear,power,0.95,0.993,0.9933333333333333,0.993,3,True
generalization,weighted GCM,large_n,typeI,0.95,0.163,0.1625,0.163,3,True
generalization,weighted GCM,large_n,power,0.95,0.95,0.95,0.95,3,True
generalization,weighted GCM,heavy_tail,typeI,0.95,0.093,0.09333333333333334,0.093,3,True
generalization,weighted GCM,heavy_tail,power,0.95,0.527,0.5266666666666666,0.527,3,True
generalization,projected CM,smooth,typeI,0.5,0.127,0.12666666666666668,0.127,3,True
generalization,projected CM,smooth,power,0.5,0.707,0.7066666666666667,0.707,3,True
generalization,projected CM,nonlinear,typeI,0.5,0.987,0.9866666666666667,0.987,3,True
generalization,projected CM,nonlinear,power,0.5,1.0,1.0,1.0,3,True
generalization,projected CM,large_n,typeI,0.5,0.163,0.1625,0.163,3,True
generalization,projected CM,large_n,power,0.5,0.975,0.975,0.975,3,True
generalization,projected CM,heavy_tail,typeI,0.5,0.1,0.1,0.1,3,True
generalization,projected CM,heavy_tail,power,0.5,0.52,0.52,0.52,3,True
generalization,projected CM,smooth,typeI,0.65,0.14,0.14,0.14,3,True
generalization,projected CM,smooth,power,0.65,0.72,0.72,0.72,3,True
generalization,projected CM,nonlinear,typeI,0.65,1.0,1.0,1.0,3,True
generalization,projected CM,nonlinear,power,0.65,1.0,1.0,1.0,3,True
generalization,projected CM,large_n,typeI,0.65,0.212,0.2125,0.212,3,True
generalization,projected CM,large_n,power,0.65,0.975,0.975,0.975,3,True
