categories,validation_pairs,mass,fit_error,replicate,true_bias,aggregate_upper,rectangle_upper
2,512,balanced,same_direction,62,0.0025000000000000014,0.025160857658291885,0.023356912198020024
2,512,balanced,opposite_direction,62,-0.0225,0.012471972214560768,-0.0023335516484235845
2,512,balanced,exact,63,0.0,0.01045623180188035,0.011099290080543684
2,512,balanced,same_direction,63,0.0025000000000000014,0.019117680235098453,0.022003381141875823
2,512,balanced,opposite_direction,63,-0.0225,0.013958697503973357,-0.003244086229711758
2,512,balanced,exact,64,0.0,0.010323924897590606,0.011817966841775645
2,512,balanced,same_direction,64,0.0025000000000000014,0.01729772472771683,0.019617179696598826
2,512,balanced,opposite_direction,64,-0.0225,0.013813959445513724,-0.0018696171076536404
2,512,balanced,exact,65,0.0,0.012304117960756263,0.011806869021117517
2,512,balanced,same_direction,65,0.0025000000000000014,0.013746764491787116,0.019220385970090896
2,512,balanced,opposite_direction,65,-0.0225,0.01010331579423028,-0.004192618130020592
2,512,balanced,exact,66,0.0,0.01694564864286334,0.014793269611646634
2,512,balanced,same_direction,66,0.0025000000000000014,0.019638419430893474,0.018338093808759892
2,512,balanced,opposite_direction,66,-0.0225,0.011961950683649886,-0.002091793303047823
2,512,balanced,exact,67,0.0,0.017464880644066674,0.016262819715758468
2,512,balanced,same_direction,67,0.0025000000000000014,0.012894525427663655,0.01472985361012306
2,512,balanced,opposite_direction,67,-0.0225,0.014907007690158345,-0.0015384750080303495
2,512,balanced,exact,68,0.0,0.014306329190939826,0.014415142130635153
2,512,balanced,same_direction,68,0.0025000000000000014,0.028110354832255303,0.02881624271116425
2,512,balanced,opposite_direction,68,-0.0225,0.011560845451521999,-0.002308605455768932
2,512,balanced,exact,69,0.0,0.009991846215265093,0.01182331434213079
2,512,balanced,same_direction,69,0.0025000000000000014,0.02137085124089619,0.024628599203287353
2,512,balanced,opposite_direction,69,-0.0225,0.013157858838373305,-0.0022336469776924944
2,512,balanced,exact,70,0.0,0.010986716155318604,0.012025835292852914
2,512,balanced,same_direction,70,0.0025000000000000014,0.018679045287677963,0.025489115900254378
2,512,balanced,opposite_direction,70,-0.0225,0.013851218121067987,-0.0023388837956934976
2,512,balanced,exact,71,0.0,0.011331285929062932,0.010534110519381731
2,512,balanced,same_direction,71,0.0025000000000000014,0.02174475181730251,0.023361662127012076
2,512,balanced,opposite_direction,71,-0.0225,0.013789867841324284,-0.001529383482999977
2,512,balanced,exact,72,0.0,0.012956364694726418,0.013962047461856697
2,512,balanced,same_direction,72,0.0025000000000000014,0.023170543636168182,0.02568598814708937
2,512,balanced,opposite_direction,72,-0.0225,0.011453543375268044,-0.002294891642840199
2,512,balanced,exact,73,0.0,0.0150466772336769,0.012959990702589566
2,512,balanced,same_direction,73,0.0025000000000000014,0.015048429437646983,0.01880394800177066
2,512,balanced,opposite_direction,73,-0.0225,0.015305672776966959,-0.0008063574900563854
2,512,balanced,exact,74,0.0,0.015662195771855195,0.013401860080510877
2,512,balanced,same_direction,74,0.0025000000000000014,0.023562183207608903,0.020852609237511838
2,512,balanced,opposite_direction,74,-0.0225,0.01588075737271176,-0.0011172599487441837
2,512,balanced,exact,75,0.0,0.012504916974904731,0.015008961059228235
2,512,balanced,same_direction,75,0.0025000000000000014,0.016005994734857993,0.0208763695544686
2,512,balanced,opposite_direction,75,-0.0225,0.014542427899771563,-0.0017569590595525291
2,512,balanced,exact,76,0.0,0.012693426930507172,0.014411230447780511
2,512,balanced,same_direction,76,0.0025000000000000014,0.01537715705617129,0.01871202170619595
2,512,balanced,opposite_direction,76,-0.0225,0.012666330842836627,-0.001461518908091967
2,512,balanced,exact,77,0.0,0.010634019797973022,0.011221431582564854
2,512,balanced,same_direction,77,0.0025000000000000014,0.01901089803629404,0.020175084168948754
2,512,balanced,opposite_direction,77,-0.0225,0.013291451053560003,-0.0015033633690502328
2,512,balanced,exact,78,0.0,0.012393716871774789,0.012633331665590188
2,512,balanced,same_direction,78,0.0025000000000000014,0.015207400212810824,0.018591855363770518
2,512,balanced,opposite_direction,78,-0.0225,0.01392179855744377,-0.0016845301527493553
2,512,balanced,exact,79,0.0,0.009500498407505178,0.011310703142917131
2,512,balanced,same_direction,79,0.0025000000000000014,0.018065460607108043,0.02020257670270218
2,512,balanced,opposite_direction,79,-0.0225,0.012300113225423497,-0.0034041605721988753
2,512,balanced,exact,80,0.0,0.01500672305010569,0.012906185661089167
2,512,balanced,same_direction,80,0.0025000000000000014,0.0265882902442346,0.02595635870113503
2,512,balanced,opposite_direction,80,-0.0225,0.015189710282725708,-0.001296783810636304
2,512,balanced,exact,81,0.0,0.01290599222787837,0.012641370168749062
2,512,balanced,same_direction,81,0.0025000000000000014,0.016265433905504043,0.021989083259676606
2,512,balanced,opposite_direction,81,-0.0225,0.014156858480164784,-0.0021843384025680554
2,512,balanced,exact,82,0.0,0.013827162570648616,0.013845174065478208
2,512,balanced,same_direction,82,0.0025000000000000014,0.016510411178005502,0.018146388152659423
2,512,balanced,opposite_direction,82,-0.0225,0.0128437768266489,-0.0016329157977604434
2,512,balanced,exact,83,0.0,0.013180560380652635,0.01150648247487657
2,512,balanced,same_direction,83,0.0025000000000000014,0.021191196650812708,0.024936418113286278
2,512,balanced,opposite_direction,83,-0.0225,0.007492931226358071,-0.00507104300331756
2,512,balanced,exact,84,0.0,0.013099080249097264,0.013785866885451588
2,512,balanced,same_direction,84,0.0025000000000000014,0.01755643197123897,0.017180187766863007
2,512,balanced,opposite_direction,84,-0.0225,0.012219438589007503,-0.001608674379913614
2,512,balanced,exact,85,0.0,0.012072385247720896,0.013009939218709347
2,512,balanced,same_direction,85,0.0025000000000000014,0.01797048566941337,0.02040363627544428
2,512,balanced,opposite_direction,85,-0.0225,0.010461317493795735,-0.0029260723084226494
2,512,balanced,exact,86,0.0,0.013614818588158894,0.015220511742581589
2,512,balanced,same_direction,86,0.0025000000000000014,0.026849306617296845,0.030083325736267867
2,512,balanced,opposite_direction,86,-0.0225,0.011804452413232788,-0.002032634252381482
2,512,balanced,exact,87,0.0,0.012168405927469893,0.011149624027655822
2,512,balanced,same_direction,87,0.0025000000000000014,0.02069165076754155,0.02210495245764047
2,512,balanced,opposite_direction,87,-0.0225,0.014868455460817071,-0.0021301330513895343
2,512,balanced,exact,88,0.0,0.014486552382854134,0.013019249372525611
2,512,balanced,same_direction,88,0.0025000000000000014,0.024393642136445924,0.024569480826085666
2,512,balanced,opposite_direction,88,-0.0225,0.01490292865345913,-0.0020275440632192723
2,512,balanced,exact,89,0.0,0.011849029866098426,0.011734587079929248
2,512,balanced,same_direction,89,0.0025000000000000014,0.01718553298492294,0.019841756496830017
2,512,balanced,opposite_direction,89,-0.0225,0.010337838302366542,-0.0036148943685971836
2,512,balanced,exact,90,0.0,0.00980811078096205,0.013141815489316354
2,512,balanced,same_direction,90,0.0025000000000000014,0.02091283737523473,0.02713232786626007
2,512,balanced,opposite_direction,90,-0.0225,0.012804746269674875,-0.0011652210841249708
2,512,balanced,exact,91,0.0,0.011472230337409642,0.01195341324043094
2,512,balanced,same_direction,91,0.0025000000000000014,0.01901887808278864,0.022560451869610143
2,512,balanced,opposite_direction,91,-0.0225,0.014518931243103063,-0.001977845506769695
2,512,balanced,exact,92,0.0,0.01111979623650933,0.012603533110425946
2,512,balanced,same_direction,92,0.0025000000000000014,0.023452624407043633,0.026296477873769954
2,512,balanced,opposite_direction,92,-0.0225,0.011759269989713961,-0.002487882135578277
2,512,balanced,exact,93,0.0,0.011731323189322308,0.011887712924842898
2,512,balanced,same_direction,93,0.0025000000000000014,0.015349048898168757,0.019438453704761514
2,512,balanced,opposite_direction,93,-0.0225,0.011189394711438563,-0.00341687480545915
2,512,balanced,exact,94,0.0,0.01278596687158523,0.013185052876591937
2,512,balanced,same_direction,94,0.0025000000000000014,0.016845991190020462,0.020222282826255166
2,512,balanced,opposite_direction,94,-0.0225,0.015020950599448848,-0.0025487954400615826
2,512,balanced,exact,95,0.0,0.015000764448542286,0.011057019802925038
2,512,balanced,same_direction,95,0.0025000000000000014,0.016466321845245057,0.020101434631146366
2,512,balanced,opposite_direction,95,-0.0225,0.016618626707226615,-0.0010390353490569324
2,512,balanced,exact,96,0.0,0.011385970469084222,0.012779819275870127
2,512,balanced,same_direction,96,0.0025000000000000014,0.021772864830048082,0.02659092136007727
2,512,balanced,opposite_direction,96,-0.0225,0.011211882637577344,-0.0022327103648045283
2,512,balanced,exact,97,0.0,0.012499057814244523,0.011286299808924002
2,512,balanced,same_direction,97,0.0025000000000000014,0.01965834960739121,0.02002156532866193
2,512,balanced,opposite_direction,97,-0.0225,0.01479387304415666,-0.0013328507475591066
2,512,balanced,exact,98,0.0,0.01380634193022191,0.010730144612789365
2,512,balanced,same_direction,98,0.0025000000000000014,0.025778707114430102,0.02371042469169845
2,512,balanced,opposite_direction,98,-0.0225,0.014260692208368746,-0.003801071782781308
2,512,balanced,exact,99,0.0,0.012685065493433584,0.012563418507338274
2,512,balanced,same_direction,99,0.0025000000000000014,0.0238800138448162,0.0263089266616785
2,512,balanced,opposite_direction,99,-0.0225,0.010974547676452407,-0.0035128282069776585
2,512,balanced,exact,100,0.0,0.010913021604404955,0.012214853749683105
2,512,balanced,same_direction,100,0.0025000000000000014,0.018524592871837033,0.019215188439178257
2,512,balanced,opposite_direction,100,-0.0225,0.012760758048019478,-0.0020463651768662383
2,512,balanced,exact,101,0.0,0.014348213935486288,0.014286434887586165
2,512,balanced,same_direction,101,0.0025000000000000014,0.012023575084356258,0.016042421469513166
2,512,balanced,opposite_direction,101,-0.0225,0.011914249444655904,-0.004325961802157716
2,512,balanced,exact,102,0.0,0.013993212494855242,0.01401488794350186
2,512,balanced,same_direction,102,0.0025000000000000014,0.022635360343139857,0.024317283140410623
2,512,balanced,opposite_direction,102,-0.0225,0.016003944828294606,-0.0013400163633113488
2,512,balanced,exact,103,0.0,0.013745034785565394,0.012705196601283627
2,512,balanced,same_direction,103,0.0025000000000000014,0.017247358423423405,0.020722389377395505
2,512,balanced,opposite_direction,103,-0.0225,0.014054771247764745,-0.00201366019760208
2,512,balanced,exact,104,0.0,0.013037816750739641,0.01354917316921549
2,512,balanced,same_direction,104,0.0025000000000000014,0.020287885571581656,0.01805799066217899
2,512,balanced,opposite_direction,104,-0.0225,0.014341219488095693,-0.002280197204078929
2,512,balanced,exact,105,0.0,0.014408340880549809,0.012923308005459114
2,512,balanced,same_direction,105,0.0025000000000000014,0.026562587908522953,0.026823187376879797
2,512,balanced,opposite_direction,105,-0.0225,0.012374902462132667,-0.00225874247840645
2,512,balanced,exact,106,0.0,0.012397993420584343,0.011656486972971638
2,512,balanced,same_direction,106,0.0025000000000000014,0.01875784919500771,0.01984239065748295
2,512,balanced,opposite_direction,106,-0.0225,0.012747160712079467,-0.003967389293164465
2,512,balanced,exact,107,0.0,0.01392034632897006,0.01272906426029461
2,512,balanced,same_direction,107,0.0025000000000000014,0.0241931425128327,0.025148177773532572
2,512,balanced,opposite_direction,107,-0.0225,0.015823994689569125,-0.0010889864406018078
2,512,balanced,exact,108,0.0,0.013290639455953771,0.013067610429244612
2,512,balanced,same_direction,108,0.0025000000000000014,0.022599174150773838,0.0221489708551669
2,512,balanced,opposite_direction,108,-0.0225,0.013256766033658319,-0.003168956202285252
2,512,balanced,exact,109,0.0,0.014759240674883637,0.012344013689142083
2,512,balanced,same_direction,109,0.0025000000000000014,0.027434161998526045,0.026016917124520776
2,512,balanced,opposite_direction,109,-0.0225,0.013654649350593639,-0.0018537746092410147
2,512,balanced,exact,110,0.0,0.012886086731356685,0.011935622081572037
2,512,balanced,same_direction,110,0.0025000000000000014,0.022866346860864428,0.022001385015588033
2,512,balanced,opposite_direction,110,-0.0225,0.01117816696705103,-0.004019929076918454
2,512,balanced,exact,111,0.0,0.012143377823234072,0.013426669729832637
2,512,balanced,same_direction,111,0.0025000000000000014,0.0204960040934402,0.022791035425797017
2,512,balanced,opposite_direction,111,-0.0225,0.013827679974440166,-0.0020458856818722842
2,512,balanced,exact,112,0.0,0.012628650415643834,0.011929888144566629
2,512,balanced,same_direction,112,0.0025000000000000014,0.01630657817589988,0.018693617908329047
2,512,balanced,opposite_direction,112,-0.0225,0.012832894896582807,-0.004476373997074819
2,512,balanced,exact,113,0.0,0.01399432701096652,0.012713838628292395
2,512,balanced,same_direction,113,0.0025000000000000014,0.012820721428967244,0.018801774759033357
2,512,balanced,opposite_direction,113,-0.0225,0.013902154229020481,-0.002613132157808835
2,512,balanced,exact,114,0.0,0.009353844930657726,0.01158259017621869
2,512,balanced,same_direction,114,0.0025000000000000014,0.019268598713822468,0.023101207726711342
