task,baseline,method,selected,confirmation_rows,clipping_scale,bounded_mse,raw_mse,baseline_bounded_mse,gain_vs_baseline,gain_vs_ungated,gain_vs_convex,raw_mae,bounded_mae,raw_gain_vs_baseline,raw_gain_vs_ungated
metro,seasonal_day,known_forecast_u,extra_trees,8713,6729.1999999999971,0.0014384640528834641,66073.700420029287,0.022417207734206961,0.020978743681323495,0,-3.4899852229335434e-05,165.42109867524792,0.024409031908452117,950299.18748080847,0
metro,seasonal_day,known_forecast_pairs,extra_trees,8713,6729.1999999999971,0.0014384640528834641,66073.700420029287,0.022417207734206961,0.020978743681323495,0,-3.4899852229335434e-05,165.42109867524792,0.024409031908452117,950299.18748080847,0
metro,seasonal_day,loss_gain,extra_trees,8713,6729.1999999999971,0.0014384640528834641,66073.700420029287,0.022417207734206961,0.020978743681323495,0,-3.4899852229335434e-05,165.42109867524792,0.024409031908452117,950299.18748080847,0
metro,seasonal_day,ungated,extra_trees,8713,6729.1999999999971,0.0014384640528834641,66073.700420029287,0.022417207734206961,0.020978743681323495,0,-3.4899852229335434e-05,165.42109867524792,0.024409031908452117,950299.18748080847,0
metro,seasonal_day,convex,extra_trees,8713,6729.1999999999971,0.0014035642006541287,64508.684485587626,0.022417207734206961,0.021013643533552832,3.4899852229335434e-05,0,162.41842939597186,0.023962817012286735,951864.20341525029,1565.0159344416834
metro,seasonal_day,baseline,baseline,8713,6729.1999999999971,0.022417207734206961,1016372.8879008377,0.022417207734206961,0,-0.020978743681323495,-0.021013643533552832,552.15624928268107,0.081880224711078461,0,-950299.18748080847
metro,ridge,reference_u,baseline,8713,6729.1999999999971,0.0052521276337665779,238913.74826260598,0.0052521276337665779,0,-0.0038798838025055861,-0.0038485634331124493,339.10222965994029,0.050219103088487239,0,-175836.70729074886
metro,ridge,reference_betting,baseline,8713,6729.1999999999971,0.0052521276337665779,238913.74826260598,0.0052521276337665779,0,-0.0038798838025055861,-0.0038485634331124493,339.10222965994029,0.050219103088487239,0,-175836.70729074886
metro,ridge,known_forecast_u,extra_trees,8713,6729.1999999999971,0.0013722438312609921,63077.040971857132,0.0052521276337665779,0.0038798838025055861,0,3.1320369393136662e-05,160.69753325558654,0.023707081391353295,175836.70729074886,0
metro,ridge,known_forecast_pairs,extra_trees,8713,6729.1999999999971,0.0013722438312609921,63077.040971857132,0.0052521276337665779,0.0038798838025055861,0,3.1320369393136662e-05,160.69753325558654,0.023707081391353295,175836.70729074886,0
metro,ridge,loss_gain,extra_trees,8713,6729.1999999999971,0.0013722438312609921,63077.040971857132,0.0052521276337665779,0.0038798838025055861,0,3.1320369393136662e-05,160.69753325558654,0.023707081391353295,175836.70729074886,0
metro,ridge,ungated,extra_trees,8713,6729.1999999999971,0.0013722438312609921,63077.040971857132,0.0052521276337665779,0.0038798838025055861,0,3.1320369393136662e-05,160.69753325558654,0.023707081391353295,175836.70729074886,0
metro,ridge,convex,extra_trees,8713,6729.1999999999971,0.0014035642006541285,64508.684485587612,0.0052521276337665779,0.0038485634331124493,-3.1320369393136662e-05,0,162.41842939597186,0.023962817012286735,174405.06377701834,-1431.6435137304895
metro,ridge,baseline,baseline,8713,6729.1999999999971,0.0052521276337665779,238913.74826260598,0.0052521276337665779,0,-0.0038798838025055861,-0.0038485634331124493,339.10222965994029,0.050219103088487239,0,-175836.70729074886
