method,mean,radius,lower,p,bias,variance,width,exact_target,query_calls,distinct_labels,archive_rows,delta,task,baseline,candidate,weight,five_gate_seconds,p_by
known_forecast_pairs,0.0095892674778026675,0.0022041713035862009,0.0073850961742164666,4.9691204439118829e-17,0,0.0076436287355188433,0.66412791077969646,0.010057801608400285,32768,336,336,0,appliances,seasonal_day,seasonal_week,0.65000000000000002,0.0629531629383564,2.1608575187525387e-16
loss_gain,0.0030050427420965004,0.0016936111034412886,0.0013114316386552119,0.00037351463852059304,0,0.0060616530631993851,2,0.0027242523874571006,32768,336,336,0,appliances,seasonal_day,seasonal_week,0.65000000000000002,0.062953513115644455,0.0013535459043531965
reference_u,0.030508265521548599,0.004914396194160741,-0.01532047967217471,1,0.040914348999562568,0.0042779516941104977,1.0154575938694772,0.030515157153465009,32768,336,336,0.00022996057818659661,appliances,seasonal_day,ridge_full,0.94999999999999996,0.06856706365942955,1
reference_betting,0.032460635427685416,,,1,0.040914348999562568,0.0042779516941104977,1.0154575938694772,0.030515157153465009,32768,336,336,0.00022996057818659661,appliances,seasonal_day,ridge_full,0.94999999999999996,0.068567857146263123,1
known_forecast_u,0.030164955223913846,0.0018763990567587921,0.028288556167155053,9.638417832908736e-96,0,0.0054974330422017303,0.57678571428571423,0.030515157153465009,32768,336,336,0,appliances,seasonal_day,ridge_full,0.94999999999999996,0.068568207323551178,5.239168550602534e-95
known_forecast_pairs,0.030568215277541839,0.0018764096258901397,0.028691805651651699,2.4532795610467592e-97,0,0.0054974330422017303,0.57678571428571423,0.030515157153465009,32768,336,336,0,appliances,seasonal_day,ridge_full,0.94999999999999996,0.068568557500839233,1.3335326756832739e-96
loss_gain,0.028142705927020804,0.0019569621092447535,0.026185743817776053,1.0833205632108244e-59,0,0.0091025817126501266,2,0.027802183862257048,32768,336,336,0,appliances,seasonal_day,ridge_full,0.94999999999999996,0.068568907678127289,5.8886210614531234e-59
reference_u,0.035183802524347801,0.004710533670292596,-0.011322717592923637,1,0.041795986446978843,0.0040927606721044849,0.94746381495265264,0.035212619639672774,32768,336,336,0.00022996057818659661,appliances,seasonal_day,hist_gradient_boosting,1,0.068678401410579681,1
reference_betting,0.03595146996597004,,,1,0.041795986446978843,0.0040927606721044849,0.94746381495265264,0.035212619639672774,32768,336,336,0.00022996057818659661,appliances,seasonal_day,hist_gradient_boosting,1,0.06867917999625206,1
known_forecast_u,0.035178492027707148,0.0017733080000006747,0.033405184027706473,3.6019902244680184e-112,0,0.0046149417830639219,0.63144296180010473,0.035212619639672774,32768,336,336,0,appliances,seasonal_day,hist_gradient_boosting,1,0.068679533898830414,2.6105852960192013e-111
known_forecast_pairs,0.034827437226161141,0.0017733195706818418,0.033054117655479297,8.0185392325831121e-111,0,0.0046149417830639219,0.63144296180010473,0.035212619639672774,32768,336,336,0,appliances,seasonal_day,hist_gradient_boosting,1,0.068679880350828171,5.8115317676149978e-110
loss_gain,0.030892373318166348,0.0020112681839049478,0.028881105134261401,1.0507237703169244e-65,0,0.0098062752497133018,2,0.030386846104869948,32768,336,336,0,appliances,seasonal_day,hist_gradient_boosting,1,0.068680252879858017,1.1422868417302563e-64
reference_u,0.03549715030272952,0.0047755029996775474,-0.011153776846379814,1,0.041875424149431788,0.0041404017113659255,0.97084626610560121,0.035610794719324566,32768,336,336,0.00022996057818659661,appliances,seasonal_day,extra_trees,1.1000000000000001,0.068274132907390594,1
reference_betting,0.035428929926005909,,,1,0.041875424149431788,0.0041404017113659255,0.97084626610560121,0.035610794719324566,32768,336,336,0.00022996057818659661,appliances,seasonal_day,extra_trees,1.1000000000000001,0.068275071680545807,1
known_forecast_u,0.035335564212296999,0.0016432473926571098,0.033692316819639891,1.0555858866885705e-126,0,0.0040270984240458763,0.56459041950113376,0.035610794719324566,32768,336,336,0,appliances,seasonal_day,extra_trees,1.1000000000000001,0.068275444209575653,1.1475726568142885e-125
known_forecast_pairs,0.035022613070079547,0.0016432577383195515,0.033379355331759994,2.3568611914400296e-125,0,0.0040270984240458763,0.56459041950113376,0.035610794719324566,32768,336,336,0,appliances,seasonal_day,extra_trees,1.1000000000000001,0.068275816738605499,2.562244809551232e-124
loss_gain,0.032821218538220093,0.0020483409125855584,0.030772877625634534,6.3674550150627922e-70,0,0.010301706696201845,2,0.032373866034198742,32768,336,336,0,appliances,seasonal_day,extra_trees,1.1000000000000001,0.068276155740022659,1.3844666475607956e-68
