rule,baseline,candidate,adjusted_or_nominal_p,eligible,resulting_choice,status
BY_separate_families_of_eight,seasonal_24h,ridge_lags_calendar,0.058635102851508532,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_separate_families_of_eight,seasonal_24h,hist_gradient_boosting,0.058635102851508532,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_separate_families_of_eight,seasonal_24h,mirror_ridge_control,1,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_separate_families_of_eight,seasonal_24h,exact_baseline_copy,1,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_separate_families_of_eight,seasonal_24h,noise_control,1,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_separate_families_of_eight,ridge_lags_calendar,persistence_1h,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_separate_families_of_eight,ridge_lags_calendar,seasonal_24h,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_separate_families_of_eight,ridge_lags_calendar,seasonal_168h,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_separate_families_of_eight,ridge_lags_calendar,ridge_lags_calendar,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_separate_families_of_eight,ridge_lags_calendar,hist_gradient_boosting,0.0007499514441014712,True,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_separate_families_of_eight,ridge_lags_calendar,mirror_ridge_control,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_separate_families_of_eight,ridge_lags_calendar,exact_baseline_copy,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_separate_families_of_eight,ridge_lags_calendar,noise_control,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_iid_week_t7,seasonal_24h,persistence_1h,0.086336605462185634,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_full16_iid_week_t7,seasonal_24h,seasonal_24h,1,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_full16_iid_week_t7,seasonal_24h,seasonal_168h,0.2596496378155827,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_full16_iid_week_t7,seasonal_24h,ridge_lags_calendar,0.086336605462185634,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_full16_iid_week_t7,seasonal_24h,hist_gradient_boosting,0.086336605462185634,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_full16_iid_week_t7,seasonal_24h,mirror_ridge_control,1,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_full16_iid_week_t7,seasonal_24h,exact_baseline_copy,1,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_full16_iid_week_t7,seasonal_24h,noise_control,1,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_full16_iid_week_t7,ridge_lags_calendar,persistence_1h,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_iid_week_t7,ridge_lags_calendar,seasonal_24h,0.92503402052947636,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_full16_iid_week_t7,ridge_lags_calendar,seasonal_168h,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
