task,baseline,candidate,status,old_bias,joint_bias,improvement,relative_improvement,true_bias_diagnostic,exact_target_diagnostic,validation_event_diagnostic,full_u_mean,radius,old_lower,joint_lower,old_variance_p,joint_variance_p,old_betting_p,joint_betting_p,dual_max_absolute_residual,certificate,old_variance_by,joint_variance_by,old_betting_by,joint_betting_by
appliances,ridge,seasonal_week,certified,0.03832965501944166,0.03801656659377135,0.0003130884256703076,0.008168307946197327,-3.0125423380742578e-05,-0.00779300793605948,True,-0.007405875519189079,0.00507373868305892,-0.05080926922168966,-0.05049618079601935,1.0,1.0,1.0,1.0,0.3718304942736431,appliances__ridge__seasonal_week.json,1.0,1.0,1.0,1.0
appliances,ridge,ridge_full,certified,0.037369219066871566,0.036942484486170934,0.00042673458070063147,0.011419413928265329,4.8638314509190654e-05,0.0011572749277595161,True,0.0014937598779566532,0.005194832582756375,-0.041070291771671284,-0.04064355719097065,1.0,1.0,1.0,1.0,0.35055132915820064,appliances__ridge__ridge_full.json,1.0,1.0,1.0,1.0
appliances,ridge,hist_gradient_boosting,certified,0.03706453154479724,0.03693221638717573,0.00013231515762150703,0.0035698591647269893,7.2806056988612e-05,0.009052379273425554,True,0.009306859904507872,0.005054991099669486,-0.03281266273995885,-0.032680347582337343,1.0,1.0,1.0,1.0,0.11247190721308116,appliances__ridge__hist_gradient_boosting.json,1.0,1.0,1.0,1.0
appliances,ridge,extra_trees,certified,0.03810464741467888,0.03808839262225818,1.625479242069877e-05,0.0004265829373462989,7.854696330388282e-05,0.00984922674713656,True,0.009947914665696082,0.005199199708918338,-0.03335593245790113,-0.03333967766548043,1.0,1.0,1.0,1.0,0.22758552685224834,appliances__ridge__extra_trees.json,1.0,1.0,1.0,1.0
appliances,ridge,category_copy,certified,0.037251888372998386,0.03715007377176887,0.00010181460122951624,0.0027331393300135468,2.8069090002098153e-05,-2.9347503914472164e-34,True,3.694775079415169e-05,0.0049532523070406065,-0.04216819292924484,-0.042066378328015325,1.0,1.0,1.0,1.0,0.3165235616019157,appliances__ridge__category_copy.json,1.0,1.0,1.0,1.0
appliances,ridge,independent_noise,certified,0.038577626640490796,0.03804039246453422,0.0005372341759565732,0.013926055663380187,-7.083861491986678e-06,-0.0003378320739064407,True,-0.000531376464222595,0.005268249651109988,-0.04437725275582338,-0.04384001857986681,1.0,1.0,1.0,1.0,0.189183776350457,appliances__ridge__independent_noise.json,1.0,1.0,1.0,1.0
metro,seasonal_day,persistence,certified,0.03966269562406156,0.03953579901663974,0.00012689660742181558,0.0031993944290774116,6.666733243635202e-05,0.013363659245006645,True,0.013901217978413564,0.005071519267416812,-0.030832996913064802,-0.030706100305642987,1.0,1.0,1.0,1.0,0.1380837382265974,metro__seasonal_day__persistence.json,1.0,1.0,1.0,1.0
metro,seasonal_day,seasonal_day,certified,0.03852711629915339,0.0360161912791369,0.0025109250200164926,0.06517292912658684,1.734700299072258e-05,0.0002959403163053781,True,0.00030747103754537124,0.005330509280381466,-0.04355015454198948,-0.04103922952197299,1.0,1.0,1.0,1.0,0.31907069356991064,metro__seasonal_day__seasonal_day.json,1.0,1.0,1.0,1.0
metro,seasonal_day,seasonal_week,certified,0.03875201404773703,0.038280363718517806,0.00047165032921922534,0.012170988806884166,6.887472883132623e-05,0.012386290321703903,True,0.013372799413719444,0.005180596248478648,-0.030559810882496236,-0.03008816055327701,1.0,1.0,1.0,1.0,0.10652042079434913,metro__seasonal_day__seasonal_week.json,1.0,1.0,1.0,1.0
metro,seasonal_day,ridge_full,certified,0.038353384067713145,0.03830382290280618,4.9561164906966604e-05,0.0012922240399821318,6.289322518503334e-05,0.010734588048250287,True,0.011353254192123066,0.005103507106075344,-0.03210363698166542,-0.032054075816758454,1.0,1.0,1.0,1.0,0.1621630452080279,metro__seasonal_day__ridge_full.json,1.0,1.0,1.0,1.0
