entities,times,lookback,injected_association,method,replications,rejections,rejection_rate,wilson_low,wilson_high,mean_statistic,sd_statistic,mean_score,exact_mean_score,mean_score_mc_se,mean_reported_se,empirical_mean_score_sd,reported_se_over_empirical_sd,undefined_statistics
100,20,1,0.0,standard,500,41,0.082,0.06101908946846894,0.10935485915738875,0.19909134278323518,1.0247990193701157,0.006321855509585148,0.0046875000000000016,0.0014598589582325786,0.03200574910833477,0.03264343868170072,0.9804650000392445,0
100,20,1,0.0,directional,500,32,0.064,0.04569601604478943,0.08895240883768415,0.015783656854340553,1.0103914659296669,0.0003836460491633387,0.0,0.0015432845730556416,0.034515141472651764,0.03450889213979155,1.0001810934073136,0
100,20,1,0.0,gapped_complementary,500,64,0.128,0.10152682399523652,0.16014568530815834,0.42693725602549226,1.0333480014678313,0.0137954117796211,0.012244897959183673,0.0014910242969549032,0.03241481851524476,0.033340316840949964,0.9722408659125739,0
100,20,1,0.1,standard,500,482,0.964,0.9438156730319722,0.9771089390197072,3.485692172162285,1.030090475638016,0.11251252021532558,0.11093750000000002,0.001473728354781174,0.03240415903368255,0.03295356781659632,0.9833277906061184,0
100,20,1,0.1,directional,500,451,0.902,0.8727939491335183,0.9250760811353939,2.890710602560411,1.0241065873807766,0.1003211545968795,0.10000000000000002,0.0015558580310954058,0.03489270514253102,0.03479004320868309,1.002950899866152,0
100,20,1,0.3,standard,500,500,1.0,0.9923756595384479,1.0,9.351815521047303,1.097967969529474,0.3248938496268064,0.3234375,0.001579309462539164,0.03489617368502911,0.035314433157462286,0.9881561323505261,0
100,20,1,0.3,directional,500,500,1.0,0.9923756595384479,1.0,8.098820508080507,1.0887617685006297,0.3001961716923117,0.29999999999999993,0.0016537984064272223,0.037240115131747874,0.036980056578520944,1.007032400090431,0
100,20,5,0.0,standard,500,1,0.002,0.00035313639455927456,0.011240706705146758,-1.2750272579449968,1.0306630006239683,-0.04246522412287345,-0.04505208333333335,0.001527967935944972,0.03348500012327888,0.03416640172213002,0.9800563839179532,0
100,20,5,0.0,directional,500,31,0.062,0.044019209142681565,0.08665971310163822,0.009832437053930672,1.0188450961453837,0.0005206439231877772,0.0,0.0017159927293762306,0.038055755109139576,0.03837076391780652,0.9917903951732178,0
100,20,5,0.0,gapped_complementary,500,245,0.49,0.4464261747403093,0.5337263120689218,1.6097786363031137,1.0012233451195258,0.06734768078372878,0.06553287981859408,0.0019148476868924285,0.04137898486911489,0.042817295944497034,0.9664081758631702,0
100,20,5,0.1,standard,500,287,0.574,0.5302541759784422,0.616617421633248,1.9013166372728747,1.0221988241295,0.06372544058286699,0.061197916666666664,0.001532983336159269,0.03358164117133127,0.03427854948026537,0.9796692590701565,0
100,20,5,0.1,directional,500,418,0.836,0.8010053635257086,0.8658710796841282,2.6308006563591775,1.014943331801185,0.10045815247090394,0.10000000000000002,0.0017263782398679584,0.03830650451969184,0.03860299099221193,0.9923195984326733,0
100,20,5,0.3,standard,500,500,1.0,0.9923756595384479,1.0,7.817167638726142,1.0416098025658904,0.2761067699943478,0.2736979166666667,0.001619169738954386,0.035453239982748186,0.03620573603412596,0.9792161095504728,0
100,20,5,0.3,directional,500,500,1.0,0.9923756595384479,1.0,7.490041290175695,1.0635027597750302,0.3003331695663362,0.29999999999999993,0.0018133682648366475,0.040281450284417944,0.040548147084155856,0.9934227130234978,0
100,40,1,0.0,standard,500,56,0.112,0.08726280019410226,0.1426536880040623,0.2780167964713878,1.1158807456667221,0.006002451629984627,0.004296875000000002,0.001054785729454599,0.021618637271618397,0.023585725927571858,0.9165983416412924,0
100,40,1,0.0,directional,500,39,0.078,0.05758139347616159,0.10485354987338852,0.06871326096045895,1.1107488110305601,0.0015194085812641144,0.0,0.0010960890899311185,0.022508138310459117,0.024509297144818615,0.9183510313439343,0
100,40,1,0.0,gapped_complementary,500,64,0.128,0.10152682399523652,0.16014568530815834,0.3661739985917776,1.1172475986359218,0.007935612982671956,0.006222222222222225,0.0010592081380236436,0.02167575063892432,0.02368461398941847,0.9151827700720964,0
100,40,1,0.1,standard,500,500,1.0,0.9923756595384479,1.0,5.022306366896107,1.1433919279732772,0.10943490470668903,0.10742187499999999,0.0010642556887322486,0.02188255379031474,0.02379748065446165,0.9195323701718026,0
100,40,1,0.1,directional,500,500,1.0,0.9923756595384479,1.0,4.495081500128129,1.1407746808984505,0.10183235933565621,0.10000000000000002,0.0011043056797602378,0.02276127981156695,0.024693025678830055,0.9217695760580997,0
100,40,1,0.3,standard,500,500,1.0,0.9923756595384479,1.0,13.472507021819162,1.3412783630468759,0.3162998108600978,0.31367187500000004,0.0011287405328186653,0.02358651902634695,0.025239405603418683,0.9345116678640066,0
100,40,1,0.3,directional,500,500,1.0,0.9923756595384479,1.0,12.45100194695835,1.3098786144152572,0.3024582608444404,0.3,0.0011657834469325915,0.02440463614249071,0.026067710343852937,0.936201753839328,0
100,40,5,0.0,standard,500,44,0.088,0.06620598447492893,0.11607647206539012,0.16238901213270815,1.0711251503010943,0.00395487131198797,0.001953125,0.001115959717134825,0.023491220384566892,0.024953617876649056,0.9413953720333821,0
100,40,5,0.0,directional,500,44,0.088,0.06620598447492893,0.11607647206539012,0.08140415528300969,1.0742729797847732,0.0021690830013506002,0.0,0.0011939665339211858,0.025032061329744296,0.026697903327075802,0.9376040141833129,0
100,40,5,0.0,gapped_complementary,500,206,0.412,0.369688475931219,0.4556534079900142,1.4188320174759783,1.04494354802357,0.035949945396677944,0.03388429752066116,0.001183548751380661,0.025237177194473753,0.026464954627721565,0.9536074234579742,0
100,40,5,0.1,standard,500,499,0.998,0.9887592932948532,0.9996468636054407,4.526110051032703,1.0773741682630025,0.10738732438869238,0.10507812499999998,0.0011266281151046792,0.023807311113995942,0.025192170507365205,0.9450281827457311,0
100,40,5,0.1,directional,500,495,0.99,0.9768069002442693,0.9957212461034096,4.05354214034692,1.0804246993029964,0.10248203375574269,0.10000000000000002,0.001205956334550594,0.025366592021595934,0.026966003419516067,0.9406878589667984,0
100,40,5,0.3,standard,500,500,1.0,0.9923756595384479,1.0,12.375627677775075,1.2659313993115708,0.31425223054210116,0.31132812500000007,0.001190974851225137,0.02551840231237064,0.026631007268321055,0.9582214467241006,0
100,40,5,0.3,directional,500,500,1.0,0.9923756595384479,1.0,11.255481953854948,1.2164554132009548,0.3031079352645269,0.3,0.0012709368208146691,0.02705090035115749,0.0284190112644907,0.9518593064128641,0
400,20,1,0.0,standard,500,57,0.114,0.08903690099400285,0.1448490898423155,0.2917225388229061,1.0815286377453517,0.004675818682627394,0.0046875000000000016,0.000774290159816045,0.016049855343433915,0.01731365431657853,0.9270056482567938,0
400,20,1,0.0,directional,500,29,0.058,0.0406837291117572,0.08205618785625499,-0.0005527337754450272,1.0542809333662275,-2.5818040115204028e-05,0.0,0.0008103916202288745,0.017294204270992427,0.01812090751227957,0.9543784856952152,0
400,20,1,0.0,gapped_complementary,500,104,0.208,0.17471631170962926,0.24573630311991723,0.7547560231891077,1.085638265841253,0.012280557402730779,0.012244897959183673,0.0007886778731273908,0.016259095692407237,0.017635373366628005,0.921959255094358,0
400,20,1,0.1,standard,500,500,1.0,0.9923756595384479,1.0,6.8365594489821095,1.0913064792624327,0.11102900152756169,0.11093750000000002,0.0007860489507251913,0.016257426686646495,0.017576588874639105,0.9249477701617064,0
400,20,1,0.1,directional,500,500,1.0,0.9923756595384479,1.0,5.726168203213776,1.0654912810621129,0.10006324141733497,0.10000000000000002,0.0008215001011911433,0.017493950392473628,0.018369300697863526,0.9523471078302014,0
400,20,1,0.3,standard,500,500,1.0,0.9923756595384479,1.0,18.491623871290255,1.1660912037439048,0.3237353672174303,0.3234375,0.0008444077252191914,0.017528326482407576,0.018881530743160756,0.9283318561847357,0
400,20,1,0.3,directional,500,500,1.0,0.9923756595384479,1.0,16.07705323409157,1.117264572113254,0.30024136033223525,0.29999999999999993,0.0008763640544178339,0.01869597569670921,0.019596095987156014,0.9540663461213512,0
400,20,5,0.0,standard,500,0,0.0,4.336808689942018e-19,0.007624340461552241,-2.6771564362155176,1.073987929480602,-0.04485842799440392,-0.04505208333333335,0.0007998107254917724,0.01677811490136555,0.01788431151333027,0.9381470955065725,0
400,20,5,0.0,directional,500,27,0.054,0.03737435018105752,0.07742656151064709,-0.001969709694064756,1.0462617523320055,7.333030860701417e-07,0.0,0.0008842648131598134,0.019082051427713048,0.019772762323364935,0.9650675568564493,0
400,20,5,0.0,gapped_complementary,500,458,0.916,0.888400685539819,0.9372558631961696,3.147840375734371,1.05130079305822,0.06556441133980685,0.06553287981859408,0.0010081618077160362,0.02077550833251266,0.022543183343721292,0.9215871607724397,0
400,20,5,0.1,standard,500,485,0.97,0.9510963331640543,0.9817367868020865,3.6558195246111556,1.0751215463237649,0.06149475485053038,0.061197916666666664,0.0008076407558291128,0.016833216758999833,0.01805939631433206,0.9321029599223579,0
400,20,5,0.1,directional,500,500,1.0,0.9923756595384479,1.0,5.211949629519444,1.0482026501043071,0.10008979276053623,0.10000000000000002,0.000895368411024315,0.019217875502061353,0.020021046319563404,0.959883674175548,0
400,20,5,0.3,standard,500,500,1.0,0.9923756595384479,1.0,15.42659864184912,1.1100646614951328,0.27420112054039897,0.2736979166666667,0.0008578533843160794,0.017792828996430934,0.019182184820590056,0.9275705120582618,0
400,20,5,0.3,directional,500,500,1.0,0.9923756595384479,1.0,14.857095307842918,1.0890506716422057,0.30026791167543654,0.29999999999999993,0.0009476819710083909,0.02023217876663616,0.02119081308225747,0.9547617964492382,0
400,40,1,0.0,standard,500,53,0.106,0.08195705027297034,0.13605093001073285,0.42354111769775593,1.0391197774612815,0.0046234139994382846,0.004296875000000002,0.0005035554636380126,0.010881240000196602,0.011259842471360198,0.9663758643047996,0
