design,signal,training_rows,validation_pairs,groups,peers,replications,rejections,rate,wilson_low,wilson_high,normal_rejections,budget_failures,coverage_failures,mean_bias_budget,mean_sampling_radius,mean_lower_bound,mean_p,target,total_observations
two_balanced,0.0,512,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,60,0,0,0.029571289521726395,0.008859747105514416,-0.03840045515282858,1.0,0.0,27136
two_balanced,0.0,512,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,52,0,0,0.0022770016660696936,0.017719494211028832,-0.01996514259998296,1.0,0.0,23296
two_balanced,0.0,512,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,60,0,0,0.0022770016660696936,0.008859747105514416,-0.01110616729717188,1.0,0.0,42496
two_balanced,0.0,8192,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,48,0,0,0.028893980233503282,0.0174554931336806,-0.04635887925737954,1.0,0.0,15616
two_balanced,0.0,8192,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,42,0,0,0.028893980233503282,0.0087277465668403,-0.03763007555999232,1.0,0.0,34816
two_balanced,0.0,8192,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,48,0,0,0.0018425118324695191,0.0174554931336806,-0.019307410856345783,1.0,0.0,30976
two_balanced,0.0,8192,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,42,0,0,0.0018425118324695191,0.0087277465668403,-0.010578607158958558,1.0,0.0,50176
two_balanced,0.25,32,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.03862252041135363,0.018836053359827097,-0.046399477173186,1.0,0.01,7456
two_balanced,0.25,32,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.03862252041135363,0.009418026679913549,-0.03697556945958246,1.0,0.01,26656
two_balanced,0.25,32,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.006003078538398705,0.018836053359827097,-0.013780035300231077,0.7786191161104158,0.01,22816
two_balanced,0.25,32,8192,400,64,1000,1,0.001,0.00017654637062607809,0.0056425585979579355,1000,0,0,0.006003078538398705,0.009418026679913549,-0.0043561275866275334,0.42282880299866815,0.01,42016
two_balanced,0.25,512,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.02967989693492414,0.017715395981127608,-0.037348197020743344,1.0,0.01,7936
two_balanced,0.25,512,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.02967989693492414,0.008857697990563804,-0.028479714144531994,1.0,0.01,27136
two_balanced,0.25,512,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.002314051774440711,0.017715395981127608,-0.009982351860259918,0.565036188321054,0.01,23296
two_balanced,0.25,512,8192,400,64,1000,10,0.01,0.005440754445529249,0.018309468870314774,1000,0,0,0.002314051774440711,0.008857697990563804,-0.0011138689840485662,0.10483149209645541,0.01,42496
two_balanced,0.25,8192,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.028916566713690677,0.017446708118924972,-0.03637298448602266,1.0,0.01,15616
two_balanced,0.25,8192,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.028916566713690677,0.008723354059462486,-0.027638111448388698,1.0,0.01,34816
two_balanced,0.25,8192,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.0018365384202460324,0.017446708118924972,-0.009292956192578018,0.5202520283904082,0.01,30976
two_balanced,0.25,8192,8192,400,64,1000,54,0.054,0.04162131372306273,0.06979215484605245,1000,0,0,0.0018365384202460324,0.008723354059462486,-0.0005580831549440522,0.07389381995037422,0.01,50176
two_balanced,0.5,32,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.038295036069796076,0.018715389826940307,-0.03562535615504434,1.0,0.02,7456
two_balanced,0.5,32,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.038295036069796076,0.009357694913470153,-0.026270981712632598,1.0,0.02,26656
two_balanced,0.5,32,8192,100,64,1000,55,0.055,0.04249742737476844,0.07090838767737563,1000,0,0,0.0059684586276239175,0.018715389826940307,-0.0032987787128721806,0.14437669987782306,0.02,22816
two_balanced,0.5,32,8192,400,64,1000,992,0.992,0.9842936654690199,0.995940804181194,1000,0,0,0.0059684586276239175,0.009357694913470153,0.0060555957295395655,0.00289790360415709,0.02,42016
two_balanced,0.5,512,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.029738589064144443,0.017689863105725748,-0.027338700491019486,1.0,0.02,7936
two_balanced,0.5,512,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.029738589064144443,0.008844931552862874,-0.018493735695626682,1.0,0.02,27136
two_balanced,0.5,512,8192,100,64,1000,544,0.544,0.5130207581807846,0.5746424870724867,1000,0,0,0.002325918825620149,0.017689863105725748,7.396974750480662e-05,0.05041140128527712,0.02,23296
two_balanced,0.5,512,8192,400,64,1000,1000,1.0,0.996173241514445,1.0,1000,0,0,0.002325918825620149,0.008844931552862874,0.008918934542897614,0.00010822390280415958,0.02,42496
