model,resolution_q,beta,weight,mean_residual_product,weighted_mean_contribution,combined_mean,standard_error,statistic,normal_p_one_sided
Last week,16,2,0.27985124407978113,0.015631122089790395,0.00437438896319079,0.026879263144797574,0.013924618855058966,1.9303410329994091,0.026782298007846747
Last week,24,2,0.36957174304582741,0.036467909015330043,0.013477508700032167,0.026879263144797574,0.013924618855058966,1.9303410329994091,0.026782298007846747
Last week,32,2,0.40097391768394358,0.018944958679558224,0.0075964343021028913,0.026879263144797574,0.013924618855058966,1.9303410329994091,0.026782298007846747
Past price and calendar,8,2,-0.20463945033686862,0.0099135933415326286,-0.0020287122922744778,0.010072913102355072,0.0013123186072952194,7.6756612657623222,8.2283736497465952e-15
Past price and calendar,12,2,0.15424254552731625,0.0092984015283376093,0.0014342091210658807,0.010072913102355072,0.0013123186072952194,7.6756612657623222,8.2283736497465952e-15
Past price and calendar,16,2,0.27985124407978113,0.010155868836577412,0.0028421325286272681,0.010072913102355072,0.0013123186072952194,7.6756612657623222,8.2283736497465952e-15
Past price and calendar,24,2,0.36957174304582741,0.010180585951458645,0.0037624568953084346,0.010072913102355072,0.0013123186072952194,7.6756612657623222,8.2283736497465952e-15
Past price and calendar,32,2,0.40097391768394358,0.01013239682295339,0.0040628268496279638,0.010072913102355072,0.0013123186072952194,7.6756612657623222,8.2283736497465952e-15
Past price calendar and history,8,2,-0.20463945033686862,0.039591902838960469,-0.0081020652347555781,0.052490274829756919,0.011142883006162055,4.7106547561102099,1.2346110906100208e-06
Past price calendar and history,12,2,0.15424254552731625,0.048051444071653293,0.007411577049875274,0.052490274829756919,0.011142883006162055,4.7106547561102099,1.2346110906100208e-06
Past price calendar and history,16,2,0.27985124407978113,0.044450662830453097,0.012439573293273184,0.052490274829756919,0.011142883006162055,4.7106547561102099,1.2346110906100208e-06
Past price calendar and history,24,2,0.36957174304582741,0.059687961780212115,0.022058984073965719,0.052490274829756919,0.011142883006162055,4.7106547561102099,1.2346110906100208e-06
Past price calendar and history,32,2,0.40097391768394358,0.046592072011337297,0.018682205647398333,0.052490274829756919,0.011142883006162055,4.7106547561102099,1.2346110906100208e-06
Ridge with history,8,2,-0.20463945033686862,0.028259043938370254,-0.0057829152185935075,0.04378539869072634,0.011994271404345017,3.650525923139003,0.00013085194660203046
Ridge with history,12,2,0.15424254552731625,0.038341205425401856,0.0059138451233997306,0.04378539869072634,0.011994271404345017,3.650525923139003,0.00013085194660203046
Ridge with history,16,2,0.27985124407978113,0.034394803615563109,0.0096254285816950898,0.04378539869072634,0.011994271404345017,3.650525923139003,0.00013085194660203046
Ridge with history,24,2,0.36957174304582741,0.051686117939746916,0.019101728698264476,0.04378539869072634,0.011994271404345017,3.650525923139003,0.00013085194660203046
Ridge with history,32,2,0.40097391768394358,0.037227637129571584,0.014927311505960559,0.04378539869072634,0.011994271404345017,3.650525923139003,0.00013085194660203046
Theta,8,2,-0.20463945033686862,0.051261570316655687,-0.01049013957300516,0.06015029139272824,0.0094545310496526088,6.3620597443527744,9.9532988368633787e-11
Theta,12,2,0.15424254552731625,0.057140385210567454,0.0088134784672893388,0.06015029139272824,0.0094545310496526088,6.3620597443527744,9.9532988368633787e-11
Theta,16,2,0.27985124407978113,0.054266083759463381,0.015186431051423433,0.06015029139272824,0.0094545310496526088,6.3620597443527744,9.9532988368633787e-11
Theta,24,2,0.36957174304582741,0.065480900674192641,0.024199890598372069,0.06015029139272824,0.0094545310496526088,6.3620597443527744,9.9532988368633787e-11
Theta,32,2,0.40097391768394358,0.055965313101329336,0.022440630848648557,0.06015029139272824,0.0094545310496526088,6.3620597443527744,9.9532988368633787e-11
Training series mean,8,2,-0.20463945033686862,3.6977138649381667e-15,-7.5669813282396446e-16,1.8130587039258942e-15,4.3173836274192276e-13,,1
Training series mean,12,2,0.15424254552731625,-1.2461506560083629e-14,-1.9220944929326492e-15,1.8130587039258942e-15,4.3173836274192276e-13,,1
Training series mean,16,2,0.27985124407978113,-3.6959229522111306e-13,-1.0343086361993024e-13,1.8130587039258942e-15,4.3173836274192276e-13,,1
Training series mean,24,2,0.36957174304582741,-7.52666459029535e-13,-2.781642551956761e-13,1.8130587039258942e-15,4.3173836274192276e-13,,1
Training series mean,32,2,0.40097391768394358,9.628730276905716e-13,3.8608697014528879e-13,1.8130587039258942e-15,4.3173836274192276e-13,,1
