domain,model,cluster,n,spearman_manual,spearman_scipy,status,baseline_spearman_manual,baseline_spearman_scipy,baseline_status
electricity,histgbr_lag,2013-08-04,48,0.98205414528491597,0.98205414528491608,defined,0.94537656681287985,0.94537656681288007,defined
electricity,histgbr_lag,2013-08-05,48,0.99180106653288524,0.99180106653288524,defined,0.94135853993652852,0.94135853993652874,defined
electricity,histgbr_lag,2013-08-06,48,0.99383705745603323,0.99383705745603335,defined,0.94548516213386236,0.94548516213386247,defined
electricity,histgbr_lag,2013-08-07,48,0.99209948515430169,0.99209948515430169,defined,0.97800946076811168,0.9780094607681119,defined
electricity,histgbr_lag,2013-08-08,48,0.98892268176575837,0.98892268176575848,defined,0.98110133594004567,0.98110133594004567,defined
electricity,histgbr_lag,2013-08-09,48,0.98493199940965892,0.98493199940965892,defined,0.97143477788639077,0.97143477788639099,defined
electricity,histgbr_lag,2013-08-10,48,0.99201825717485015,0.99201825717485037,defined,0.97404149017052244,0.97404149017052255,defined
electricity,histgbr_lag,2013-08-11,48,0.99163817355141148,0.99163817355141171,defined,0.98674921255566417,0.98674921255566428,defined
electricity,histgbr_lag,2013-08-12,48,0.98919477882930595,0.98919477882930607,defined,0.98392527424785492,0.98392527424785514,defined
electricity,histgbr_lag,2013-08-13,48,0.99147528056993783,0.99147528056993794,defined,0.98164440099923966,0.98164440099923989,defined
electricity,histgbr_lag,2013-08-14,48,0.98365552274251666,0.98365552274251666,defined,0.97697404149017053,0.97697404149017075,defined
electricity,histgbr_lag,2013-08-15,48,0.99318546784288386,0.99318546784288397,defined,0.98186162702291735,0.98186162702291757,defined
electricity,histgbr_lag,2013-08-16,48,0.98387360810116498,0.98387360810116509,defined,0.98609753448463122,0.98609753448463144,defined
electricity,histgbr_lag,2013-08-17,48,0.99180106653288524,0.99180106653288524,defined,0.98642337352014775,0.98642337352014775,defined
electricity,histgbr_lag,2013-08-18,48,0.98854320690341113,0.98854320690341124,defined,0.98935592483979584,0.98935592483979595,defined
electricity,histgbr_lag,2013-08-19,48,0.98300484553330525,0.98300484553330536,defined,0.98164440099923966,0.98164440099923989,defined
electricity,histgbr_lag,2013-08-20,48,0.97374637771726191,0.97374637771726191,defined,0.96437493211686764,0.96437493211686776,defined
electricity,histgbr_lag,2013-08-21,48,0.97616334031140972,0.97616334031140994,defined,0.96155099380905829,0.96155099380905862,defined
electricity,histgbr_lag,2013-08-22,48,0.98647989580474427,0.98647989580474427,defined,0.97816878462039747,0.97816878462039769,defined
electricity,histgbr_lag,2013-08-23,48,0.97790086544712918,0.9779008654471294,defined,0.9852286303899207,0.98522863038992092,defined
electricity,histgbr_lag,2013-08-24,48,0.98045178684178191,0.98045178684178214,defined,0.97599652438362117,0.97599652438362117,defined
electricity,histgbr_lag,2013-08-25,48,0.97971928250446416,0.97971928250446427,defined,0.98044965786901273,0.98044965786901273,defined
electricity,histgbr_lag,2013-08-26,48,0.98322203617527015,0.98322203617527026,defined,0.97002280873248614,0.97002280873248614,defined
electricity,histgbr_lag,2013-08-27,48,0.98713146773063909,0.98713146773063931,defined,0.97067448680351909,0.97067448680351909,defined
electricity,histgbr_lag,2013-08-28,48,0.9329424025603873,0.93294240256038741,defined,0.92164848917821052,0.92164848917821074,defined
electricity,histgbr_lag,2013-08-29,48,0.98317046688382193,0.98317046688382204,defined,0.89428246829062841,0.89428246829062863,defined
electricity,histgbr_lag,2013-08-30,48,0.97611292073832789,0.97611292073832789,defined,0.88309715022943414,0.88309715022943436,defined
electricity,histgbr_lag,2013-08-31,48,0.98620989341286369,0.9862098934128638,defined,0.89189337122901413,0.89189337122901435,defined
electricity,histgbr_lag,2013-09-01,48,0.98219326818675357,0.98219326818675345,defined,0.89862628112992715,0.89862628112992726,defined
electricity,histgbr_lag,2013-09-02,48,0.99370249728555915,0.99370249728555926,defined,0.89558561214241805,0.89558561214241827,defined
electricity,histgbr_lag,2013-09-03,48,0.99370249728555915,0.99370249728555926,defined,0.89373949168571609,0.8937394916857162,defined
electricity,histgbr_lag,2013-09-04,48,0.98604701812080542,0.98604701812080553,defined,0.95472312703583062,0.95472312703583073,defined
electricity,histgbr_lag,2013-09-05,48,0.99305103148751361,0.9930510314875135,defined,0.96319218241042348,0.96319218241042359,defined
electricity,histgbr_lag,2013-09-06,48,0.98520589628849253,0.98520589628849253,defined,0.95266015200868626,0.95266015200868626,defined
electricity,histgbr_lag,2013-09-07,48,0.98132464712269274,0.98132464712269274,defined,0.97350705754614553,0.97350705754614553,defined
electricity,histgbr_lag,2013-09-08,48,0.99077090119435396,0.99077090119435396,defined,0.98990228013029313,0.98990228013029324,defined
electricity,histgbr_lag,2013-09-09,48,0.99041776414784644,0.99041776414784655,defined,0.98838219326818677,0.98838219326818677,defined
electricity,histgbr_lag,2013-09-10,48,0.99717698154180234,0.99717698154180245,defined,0.98317046688382193,0.98317046688382204,defined
electricity,histgbr_lag,2013-09-11,48,0.99663409337676434,0.99663409337676445,defined,0.98827361563517913,0.98827361563517924,defined
electricity,histgbr_lag,2013-09-12,48,0.97535422104640912,0.97535422104640912,defined,0.97190782831769174,0.97190782831769174,defined
electricity,histgbr_lag,2013-09-13,48,0.97652327353105639,0.97652327353105639,defined,0.92934886175150155,0.92934886175150144,defined
electricity,histgbr_lag,2013-09-14,48,0.98824806658734921,0.98824806658734921,defined,0.93770865875557463,0.93770865875557463,defined
electricity,histgbr_lag,2013-09-15,48,0.99164088367801118,0.99164088367801118,defined,0.94118286010791663,0.94118286010791674,defined
electricity,histgbr_lag,2013-09-16,48,0.9939206426749172,0.99392064267491731,defined,0.93390875102645043,0.93390875102645043,defined
electricity,histgbr_lag,2013-09-17,48,0.99620040167182322,0.99620040167182333,defined,0.94205141044600216,0.94205141044600216,defined
electricity,histgbr_lag,2013-09-18,48,0.99685176138522502,0.99685176138522513,defined,0.94205141044600216,0.94205141044600216,defined
electricity,histgbr_lag,2013-09-19,48,0.99717744124192587,0.99717744124192575,defined,0.98404168702165773,0.98404168702165784,defined
electricity,histgbr_lag,2013-09-20,48,0.98838408511100251,0.98838408511100251,defined,0.99478912229278615,0.99478912229278627,defined
electricity,histgbr_lag,2013-09-21,48,0.99001248439450684,0.99001248439450695,defined,0.99001248439450684,0.99001248439450695,defined
electricity,histgbr_lag,2013-09-22,48,0.98512728654399395,0.98512728654399406,defined,0.99381208272268362,0.99381208272268362,defined
electricity,histgbr_lag,2013-09-23,48,0.9939206426749172,0.99392064267491731,defined,0.9939206426749172,0.99392064267491731,defined
electricity,histgbr_lag,2013-09-24,48,0.9957661618628888,0.9957661618628888,defined,0.99120664386907664,0.99120664386907675,defined
electricity,histgbr_lag,2013-09-25,48,0.99411046311549567,0.99411046311549567,defined,0.98946968463333873,0.98946968463333884,defined
electricity,histgbr_lag,2013-09-26,48,0.99413776257938447,0.99413776257938458,defined,0.9915323237257776,0.99153232372577771,defined
electricity,histgbr_lag,2013-09-27,48,0.99294360310481466,0.99294360310481466,defined,0.98447592683059215,0.98447592683059237,defined
