domain,model,n_rows,clusters_total,clusters_defined,clusters_undefined,mean_cluster_spearman,baseline_clusters_defined,baseline_mean_cluster_spearman,paired_clusters_defined,paired_mean_spearman_difference,original_scale_mae,mae_status,mae_units,baseline_original_scale_mae,exact_baseline_copy,audit_beta,audit_raw_T,audit_raw_p,audit_raw_BY_p,audit_guarded_p,audit_guarded_BY_p,audit_final_label,audit_label_scope,audit_abstention_reason,cohort_sha256,audit_family_size,undefined_fewer_than_two_rows,undefined_constant_prediction,undefined_constant_outcome,undefined_constant_prediction_and_outcome
ratings,SVD (32 factors),12088,279,252,27,0.33889577243021757,252,0.31577549457095366,252,0.023120277859263919,0.60829866809035904,computed,rating points,0.69274958309605128,False,2,10.075530418996635,3.5438661387809914e-24,2.0759742833604864e-23,3.5438661387809415e-24,2.0759742833604864e-23,retain,operational screen; calibration not established,none,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,10,18,0,9,0
ratings,SVD (40 factors),12088,279,252,27,0.35181527164791171,252,0.31577549457095366,252,0.036039777076958018,0.60809797204846194,computed,rating points,0.69274958309605128,False,2,10.618683043442299,1.2198939842374674e-26,8.932576882595599e-26,1.2198939842374156e-26,8.932576882595599e-26,retain,operational screen; calibration not established,none,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,10,18,0,9,0
ratings,SVD interaction,12088,279,252,27,0.14354835715986536,252,0.31577549457095366,252,-0.1722271374110883,,interaction_only_score_not_rating_prediction,rating points,0.69274958309605128,False,2,13.597640215602308,2.0678143707877613e-42,6.0565626471366981e-41,2.0678143707877632e-42,6.0565626471366981e-41,retain,operational screen; calibration not established,none,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,10,18,0,9,0
ratings,Slope One,12088,279,252,27,0.3362542065615875,252,0.31577549457095366,252,0.020478711990633801,0.61164017903792944,computed,rating points,0.69274958309605128,False,2,7.1766365022036451,3.5723657266007416e-13,1.7438909674629517e-12,3.5723657266007088e-13,1.7438909674629517e-12,retain,operational screen; calibration not established,none,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,10,18,0,9,0
ratings,User and item bias,12088,279,252,27,0.31577549457095366,252,0.31577549457095366,252,0,0.62258133767169632,computed,rating points,0.69274958309605128,False,2,2.6118208231587663,0.0045030720816899086,0.01648669396575057,1,1,abstain,operational screen; calibration not established,same_observed_baseline_weak_order,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,10,18,0,9,0
ratings,User mean,12088,279,0,279,,252,0.31577549457095366,0,,0.71529005895082409,computed,rating points,0.69274958309605128,False,2,,1,1,1,1,abstain,operational screen; calibration not established,zero_within_cluster_forecast_rank_variation,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,10,18,252,0,9
retail,Croston SBA,112000,28,28,0,0.70384955098923141,28,0.79215751275239621,28,-0.088307961763164605,4.3551902061695529,computed,weekly sales units,3.8665178571428571,False,2,-8.5909875885465468,1,1,1,1,null,operational screen; calibration not established,none,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,10,0,0,0,0
retail,Eight week mean,112000,28,28,0,0.80031230994920211,28,0.79215751275239621,28,0.0081547971968060542,3.7395558035714287,computed,weekly sales units,3.8665178571428571,False,2,3.8406667900086138,6.1350285715803705e-05,0.0002994883987224518,6.1350285715803705e-05,0.0002994883987224518,retain,operational screen; calibration not established,none,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,10,0,0,0,0
retail,Exponential smoothing,112000,28,28,0,0.82131046113004413,28,0.79215751275239621,28,0.029152948377648018,3.4922793996756738,computed,weekly sales units,3.8665178571428571,False,2,4.2896523744623423,8.947650048121157e-06,5.2414765877128654e-05,8.9476500481211367e-06,5.2414765877128654e-05,retain,operational screen; calibration not established,none,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,10,0,0,0,0
retail,Four week mean,112000,28,28,0,0.82048889105039291,28,0.79215751275239621,28,0.028331378297996892,3.5480558035714287,computed,weekly sales units,3.8665178571428571,False,2,6.0378415019742473,7.809468213229272e-10,7.6245614923075095e-09,7.8094682132292058e-10,7.6245614923075095e-09,retain,operational screen; calibration not established,none,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,10,0,0,0,0
retail,Last week,112000,28,28,0,0.79215751275239621,28,0.79215751275239621,28,0,3.8665178571428571,computed,weekly sales units,3.8665178571428571,True,2,1.9303410329989004,0.026782298007878243,0.098055625791740569,1,1,abstain,operational screen; calibration not established,exact_observed_baseline_copy,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,10,0,0,0,0
retail,Past price and calendar,112000,28,28,0,0.13586028689961019,28,0.79215751275239621,28,-0.65629722585278594,9.1299626196888273,computed,weekly sales units,3.8665178571428571,False,2,7.6756612656702323,8.2283736556584655e-15,2.4100645219212154e-13,8.2283736556583977e-15,2.4100645219212154e-13,retain,operational screen; calibration not established,none,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,10,0,0,0,0
retail,Past price calendar and history,112000,28,28,0,0.82698030543115308,28,0.79215751275239621,28,0.034822792678757167,3.4622748401346195,computed,weekly sales units,3.8665178571428571,False,2,4.710654756103474,1.2346110906508353e-06,9.0403417262834888e-06,1.2346110906508275e-06,9.0403417262834888e-06,retain,operational screen; calibration not established,none,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,10,0,0,0,0
retail,Ridge with history,112000,28,28,0,0.8202991487062371,28,0.79215751275239621,28,0.028141635953841049,3.5612306209119842,computed,weekly sales units,3.8665178571428571,False,2,3.650525923131529,0.00013085194660583885,0.00054751599654048169,0.00013085194660580001,0.00054751599654048169,retain,operational screen; calibration not established,none,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,10,0,0,0,0
retail,Theta,112000,28,28,0,0.83380917064490701,28,0.79215751275239621,28,0.041651657892510907,3.4051180294005783,computed,weekly sales units,3.8665178571428571,False,2,6.3620597443570981,9.9532988365831493e-11,1.4576448157305601e-09,9.9532988365831493e-11,1.4576448157305601e-09,retain,operational screen; calibration not established,none,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,10,0,0,0,0
retail,Training series mean,112000,28,28,0,0.61547934515721681,28,0.79215751275239621,28,-0.17667816759517932,5.6340023761520737,computed,weekly sales units,3.8665178571428571,False,2,,1,1,1,1,abstain,operational screen; calibration not established,undefined_audit_scale,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,10,0,0,0,0
