model,resolution_q,beta,weight,mean_residual_product,weighted_mean_contribution,combined_mean,standard_error,statistic,normal_p_one_sided
Item nearest neighbours,16,2,0.27985124407978113,0.1834228963390975,0.051331125733213169,0.18235442203648225,0.014106708952613756,12.926787009573539,1.5891269146153602e-38
Item nearest neighbours,24,2,0.36957174304582741,0.18330855731582243,0.06774566304242445,0.18235442203648225,0.014106708952613756,12.926787009573539,1.5891269146153602e-38
Item nearest neighbours,32,2,0.40097391768394358,0.18323597272211392,0.073472845843014237,0.18235442203648225,0.014106708952613756,12.926787009573539,1.5891269146153602e-38
SVD (32 factors),8,2,-0.20463945033686862,0.05535211582580396,-0.011327226557575209,0.04669961500024733,0.0046349535020303086,10.075530418976349,3.5438661395123164e-24
SVD (32 factors),12,2,0.15424254552731625,0.051094797676464902,0.0078809916568211499,0.04669961500024733,0.0046349535020303086,10.075530418976349,3.5438661395123164e-24
SVD (32 factors),16,2,0.27985124407978113,0.048413568706814333,0.013548597432943952,0.04669961500024733,0.0046349535020303086,10.075530418976349,3.5438661395123164e-24
SVD (32 factors),24,2,0.36957174304582741,0.048061381460710519,0.017762128519625199,0.04669961500024733,0.0046349535020303086,10.075530418976349,3.5438661395123164e-24
SVD (32 factors),32,2,0.40097391768394358,0.046973439213266965,0.018835123948432234,0.04669961500024733,0.0046349535020303086,10.075530418976349,3.5438661395123164e-24
SVD (40 factors),8,2,-0.20463945033686862,0.057694515972066901,-0.011806574035975457,0.049141735162553442,0.0046278559178981405,10.618683043371934,1.2198939851568829e-26
SVD (40 factors),12,2,0.15424254552731625,0.053463913774350627,0.008246410154408787,0.049141735162553442,0.0046278559178981405,10.618683043371934,1.2198939851568829e-26
SVD (40 factors),16,2,0.27985124407978113,0.050724630165240696,0.014195350857229403,0.049141735162553442,0.0046278559178981405,10.618683043371934,1.2198939851568829e-26
SVD (40 factors),24,2,0.36957174304582741,0.05047868955513525,0.018655497285560537,0.049141735162553442,0.0046278559178981405,10.618683043371934,1.2198939851568829e-26
SVD (40 factors),32,2,0.40097391768394358,0.049507087682888182,0.019851050901330183,0.049141735162553442,0.0046278559178981405,10.618683043371934,1.2198939851568829e-26
SVD interaction,8,2,-0.20463945033686862,0.22844708405118161,-0.046749285711294226,0.23013257810076954,0.016924449717104662,13.597640215633511,2.0678143699057074e-42
SVD interaction,12,2,0.15424254552731625,0.22840899792367617,0.035230385261091304,0.23013257810076954,0.016924449717104662,13.597640215633511,2.0678143699057074e-42
SVD interaction,16,2,0.27985124407978113,0.22876357935063651,0.064019772281419363,0.23013257810076954,0.016924449717104662,13.597640215633511,2.0678143699057074e-42
SVD interaction,24,2,0.36957174304582741,0.22997693881144396,0.084992978136888941,0.23013257810076954,0.016924449717104662,13.597640215633511,2.0678143699057074e-42
SVD interaction,32,2,0.40097391768394358,0.23103429935730649,0.092638728132664189,0.23013257810076954,0.016924449717104662,13.597640215633511,2.0678143699057074e-42
Slope One,8,2,-0.20463945033686862,0.038348328066057237,-0.0078475807767758657,0.029485022165769727,0.004108473677993405,7.1766365021888934,3.5723657269859738e-13
Slope One,12,2,0.15424254552731625,0.034130649643118495,0.0052643982814555845,0.029485022165769727,0.004108473677993405,7.1766365021888934,3.5723657269859738e-13
Slope One,16,2,0.27985124407978113,0.031064427426091178,0.0086934186618176888,0.029485022165769727,0.004108473677993405,7.1766365021888934,3.5723657269859738e-13
Slope One,24,2,0.36957174304582741,0.030873687718922078,0.011410042584534588,0.029485022165769727,0.004108473677993405,7.1766365021888934,3.5723657269859738e-13
Slope One,32,2,0.40097391768394358,0.029839206210336606,0.011964743414737728,0.029485022165769727,0.004108473677993405,7.1766365021888934,3.5723657269859738e-13
User and item bias,8,2,-0.20463945033686862,0.0095943606022818595,-0.0019633846799846674,0.00088247640771474335,0.00033787785131759117,2.6118208230383591,0.0045030720832757781
User and item bias,12,2,0.15424254552731625,0.0054814690550437362,0.00084547574027915866,0.00088247640771474335,0.00033787785131759117,2.6118208230383591,0.0045030720832757781
User and item bias,16,2,0.27985124407978113,0.0026058441408775006,0.00072924872470257697,0.00088247640771474335,0.00033787785131759117,2.6118208230383591,0.0045030720832757781
