design,signal,fit,training_rows,validation_pairs,groups,peers,total_observations,replications,target,learning_lcb_gain,sampling_lcb_gain,total_lcb_gain,lcb_additivity_max_error,interaction,interaction_plus,interaction_minus,interaction_ci_lower,interaction_ci_upper,learning_average_delta,learning_average_ci_lower,learning_average_ci_upper,sampling_average_delta,sampling_average_ci_lower,sampling_average_ci_upper,average_ci_method,interaction_ci_method
eight_rare,-0.125,estimated,8192,512,25,64,10816,1000,-0.0068275510204081,0.007595672957136609,0.021707917087958439,0.029303590045095043,2.3245294578089215e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
two_balanced,-0.125,estimated,8192,512,400,64,34816,1000,-0.0050000000000000001,0.0014602325573316176,0.0072119890563395886,0.0086722216136712101,2.0643209364124004e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
two_balanced,-0.125,estimated,8192,512,1600,64,111616,1000,-0.0050000000000000001,0.0014602325573316176,0.0037734090351061325,0.0052336415924377523,2.0903417885520525e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
two_balanced,-0.125,estimated,8192,8192,25,64,26176,1000,-0.0050000000000000001,0.00010051210231012739,0.020805111638496819,0.020905623740806942,2.0122792321330962e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
two_balanced,-0.125,estimated,8192,8192,100,64,30976,1000,-0.0050000000000000001,0.00010051210231012739,0.013085439462850335,0.013185951565160461,2.0296264668928643e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
two_balanced,-0.125,estimated,8192,8192,400,64,50176,1000,-0.0050000000000000001,0.00010051210231012739,0.0072119890563395886,0.0073125011586497148,2.0122792321330962e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
two_balanced,-0.125,estimated,8192,8192,1600,64,126976,1000,-0.0050000000000000001,0.00010051210231012739,0.0037734090351061325,0.0038739211374162591,2.0036056147532122e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
two_balanced,-0.125,opposed_shifts,8192,8192,25,64,26176,1000,-0.0050000000000000001,0.04798062135879471,0.026361783226979123,0.07434240458577393,3.0878077872387166e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
two_balanced,-0.125,opposed_shifts,8192,8192,100,64,30976,1000,-0.0050000000000000001,0.04798062135879471,0.016480351875868323,0.064460973234663127,3.1225022567582528e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
two_balanced,-0.125,opposed_shifts,8192,8192,400,64,50176,1000,-0.0050000000000000001,0.04798062135879471,0.0090634245720554313,0.057044045930850246,3.1051550219984847e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
two_balanced,-0.125,opposed_shifts,8192,8192,1600,64,126976,1000,-0.0050000000000000001,0.04798062135879471,0.0047376103397476031,0.052718231698542409,3.0357660829594124e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
