design,signal,fit,training_rows,validation_pairs,groups,peers,total_observations,method,replications,rejections,power,target,mean,bias,bias_allowance,absolute_allowance,signed_allowance,bias_width,radius,lower,coverage_failures,allowance_failures
two_balanced,-0.125,estimated,8192,512,25,64,10816,independent_triples,1000,0,0,-0.0050000000000000001,-0.0050034925623175996,2.176257474266842e-06,0.027412182911414201,0.028872415468745801,0.027412182911414201,0.054301177984350399,0.0141185085870194,-0.046534184060751299,0,0
two_balanced,-0.125,estimated,8192,512,25,64,10816,pooled_variance,1000,0,0,-0.0050000000000000001,-0.0050048969242703998,2.176257474266842e-06,0.027412182911414201,0.028872415468745801,0.027412182911414201,0.054301177984350399,0.013922714163667801,-0.046339793999352501,0,0
two_balanced,-0.125,estimated,8192,512,100,64,15616,independent_triples,1000,0,0,-0.0050000000000000001,-0.0049807171353553996,2.176257474266842e-06,0.027412182911414201,0.028872415468745801,0.027412182911414201,0.054301177984350399,0.0043712539645872003,-0.036764154011356902,0,0
two_balanced,-0.125,estimated,8192,512,100,64,15616,pooled_variance,1000,0,0,-0.0050000000000000001,-0.0049984496173926,2.176257474266842e-06,0.027412182911414201,0.028872415468745801,0.027412182911414201,0.054301177984350399,0.0043168374720172998,-0.0367274700008242,0,0
two_balanced,-0.125,estimated,8192,512,400,64,34816,independent_triples,1000,0,0,-0.0050000000000000001,-0.0049742479169577001,2.176257474266842e-06,0.027412182911414201,0.028872415468745801,0.027412182911414201,0.054301177984350399,0.0015160384652540999,-0.0339024692936261,0,0
two_balanced,-0.125,estimated,8192,512,400,64,34816,pooled_variance,1000,0,0,-0.0050000000000000001,-0.0049859367761442,2.176257474266842e-06,0.027412182911414201,0.028872415468745801,0.027412182911414201,0.054301177984350399,0.0014992425769926,-0.033897362264551097,0,0
two_balanced,-0.125,estimated,8192,512,1600,64,111616,independent_triples,1000,0,0,-0.0050000000000000001,-0.0049889233976704002,2.176257474266842e-06,0.027412182911414201,0.028872415468745801,0.027412182911414201,0.054301177984350399,0.00059058478555040002,-0.032991691094635102,0,0
two_balanced,-0.125,estimated,8192,512,1600,64,111616,pooled_variance,1000,0,0,-0.0050000000000000001,-0.0049956569826228002,2.176257474266842e-06,0.027412182911414201,0.028872415468745801,0.027412182911414201,0.054301177984350399,0.00058469425751579999,-0.032992534151552899,0,0
two_balanced,-0.125,estimated,8192,8192,25,64,26176,independent_triples,1000,0,0,-0.0050000000000000001,-0.0050034925623175996,2.176257474266842e-06,0.001730186693778,0.0018306987960880999,0.001730186693778,0.0034153100368938998,0.0141185085870194,-0.0208521878431151,0,0
two_balanced,-0.125,estimated,8192,8192,25,64,26176,pooled_variance,1000,0,0,-0.0050000000000000001,-0.0050048969242703998,2.176257474266842e-06,0.001730186693778,0.0018306987960880999,0.001730186693778,0.0034153100368938998,0.013922714163667801,-0.020657797781716301,0,0
two_balanced,-0.125,estimated,8192,8192,100,64,30976,independent_triples,1000,0,0,-0.0050000000000000001,-0.0049807171353553996,2.176257474266842e-06,0.001730186693778,0.0018306987960880999,0.001730186693778,0.0034153100368938998,0.0043712539645872003,-0.011082157793720701,0,0
two_balanced,-0.125,estimated,8192,8192,100,64,30976,pooled_variance,1000,0,0,-0.0050000000000000001,-0.0049984496173926,2.176257474266842e-06,0.001730186693778,0.0018306987960880999,0.001730186693778,0.0034153100368938998,0.0043168374720172998,-0.0110454737831881,0,0
two_balanced,-0.125,estimated,8192,8192,400,64,50176,independent_triples,1000,0,0,-0.0050000000000000001,-0.0049742479169577001,2.176257474266842e-06,0.001730186693778,0.0018306987960880999,0.001730186693778,0.0034153100368938998,0.0015160384652540999,-0.0082204730759899008,0,0
two_balanced,-0.125,estimated,8192,8192,400,64,50176,pooled_variance,1000,0,0,-0.0050000000000000001,-0.0049859367761442,2.176257474266842e-06,0.001730186693778,0.0018306987960880999,0.001730186693778,0.0034153100368938998,0.0014992425769926,-0.0082153660469149997,0,0
two_balanced,-0.125,estimated,8192,8192,1600,64,126976,independent_triples,1000,0,0,-0.0050000000000000001,-0.0049889233976704002,2.176257474266842e-06,0.001730186693778,0.0018306987960880999,0.001730186693778,0.0034153100368938998,0.00059058478555040002,-0.0073096948769989,0,0
two_balanced,-0.125,estimated,8192,8192,1600,64,126976,pooled_variance,1000,0,0,-0.0050000000000000001,-0.0049956569826228002,2.176257474266842e-06,0.001730186693778,0.0018306987960880999,0.001730186693778,0.0034153100368938998,0.00058469425751579999,-0.0073105379339166998,0,0
two_balanced,-0.125,opposed_shifts,8192,8192,25,64,26176,independent_triples,1000,0,0,-0.0050000000000000001,-0.0275031225404661,-0.022497732224501001,-0.012480938440950599,0.035499682917844097,-0.012480938440950599,0.023018744476893501,0.016586137911833599,-0.031608322011349103,0,0
two_balanced,-0.125,opposed_shifts,8192,8192,25,64,26176,pooled_variance,1000,0,0,-0.0050000000000000001,-0.027504552019186699,-0.022497732224501001,-0.012480938440950599,0.035499682917844097,-0.012480938440950599,0.023018744476893501,0.016350669473978299,-0.031374283052214402,0,0
two_balanced,-0.125,opposed_shifts,8192,8192,100,64,30976,independent_triples,1000,0,0,-0.0050000000000000001,-0.0274805908981645,-0.022497732224501001,-0.012480938440950599,0.035499682917844097,-0.012480938440950599,0.023018744476893501,0.0049873163619807998,-0.019986968819194699,0,0
two_balanced,-0.125,opposed_shifts,8192,8192,100,64,30976,pooled_variance,1000,0,0,-0.0050000000000000001,-0.0274983245694214,-0.022497732224501001,-0.012480938440950599,0.035499682917844097,-0.012480938440950599,0.023018744476893501,0.0049231987221578996,-0.0199405848506287,0,0
two_balanced,-0.125,opposed_shifts,8192,8192,400,64,50176,independent_triples,1000,0,0,-0.0050000000000000001,-0.027474251240427499,-0.022497732224501001,-0.012480938440950599,0.035499682917844097,-0.012480938440950599,0.023018744476893501,0.0016700170148771,-0.016663329814353998,0,0
two_balanced,-0.125,opposed_shifts,8192,8192,400,64,50176,pooled_variance,1000,0,0,-0.0050000000000000001,-0.027485954211143901,-0.022497732224501001,-0.012480938440950599,0.035499682917844097,-0.012480938440950599,0.023018744476893501,0.0016508082191355,-0.0166558239893288,0,0
two_balanced,-0.125,opposed_shifts,8192,8192,1600,64,126976,independent_triples,1000,0,0,-0.0050000000000000001,-0.027488894440284298,-0.022497732224501001,-0.012480938440950599,0.035499682917844097,-0.012480938440950599,0.023018744476893501,0.00062908593198900001,-0.0156370419313227,0,0
two_balanced,-0.125,opposed_shifts,8192,8192,1600,64,126976,pooled_variance,1000,0,0,-0.0050000000000000001,-0.027495628897428799,-0.022497732224501001,-0.012480938440950599,0.035499682917844097,-0.012480938440950599,0.023018744476893501,0.00062259472105980005,-0.015637285177537999,0,0
