n,replication,seed,condition,theta,weighted_mean,lower_bound,concentration_radius,bias_upper,envelope_failure_probability,alpha,p_one_sided,reject,effective_clusters,positive_if_bias_below,inference_status,unadjusted_lower_bound,unadjusted_p_one_sided,unadjusted_reject
512,122,202609056811122,noise_free_null,0,0.004812354385446092,-0.010133491875440109,0.009390290704330645,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.004577936318884553,conditional_on_independence_bounds_and_bias_envelope,-0.004577936318884553,0.45530290940772616,False
512,122,202609056811122,independent_noise_null,0,0.01470110471358911,-0.15349428584020783,0.16263983499724136,0.005555555556555556,0.0,0.05,0.9905721339838075,False,512.0,-0.14793873028365226,conditional_on_independence_bounds_and_bias_envelope,-0.14793873028365226,0.9758206328705868,False
512,122,202609056811122,shared_signal_alternative,0.25,0.2683303268615882,0.1001349363077913,0.16263983499724136,0.005555555556555556,0.0,0.05,0.00040155133368371666,True,512.0,0.10569049186434686,conditional_on_independence_bounds_and_bias_envelope,0.10569049186434686,0.0002874857633090482,True
512,123,202609056811123,noise_free_null,0,0.012201262622792808,-0.0027445836380933933,0.009390290704330645,0.005555555556555556,0.0,0.05,0.22302531723402672,False,512.0,0.002810971918462163,conditional_on_independence_bounds_and_bias_envelope,0.002810971918462163,0.006360066788918354,True
512,123,202609056811123,independent_noise_null,0,0.04469694366396078,-0.12349844688983613,0.16263983499724136,0.005555555556555556,0.0,0.05,0.8407097230890588,False,512.0,-0.11794289133328058,conditional_on_independence_bounds_and_bias_envelope,-0.11794289133328058,0.7975119599458628,False
512,123,202609056811123,shared_signal_alternative,0.25,0.2757939403293318,0.1075985497755349,0.16263983499724136,0.005555555556555556,0.0,0.05,0.00025590145045178444,True,512.0,0.11315410533209046,conditional_on_independence_bounds_and_bias_envelope,0.11315410533209046,0.00018149687232122598,True
512,124,202609056811124,noise_free_null,0,0.004914297037916602,-0.0100315492229696,0.009390290704330645,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.004475993666414043,conditional_on_independence_bounds_and_bias_envelope,-0.004475993666414043,0.4402205218883819,False
512,124,202609056811124,independent_noise_null,0,0.015640643834551476,-0.15255474671924546,0.16263983499724136,0.005555555556555556,0.0,0.05,0.9885472528122905,False,512.0,-0.1469991911626899,conditional_on_independence_bounds_and_bias_envelope,-0.1469991911626899,0.9726752483844778,False
512,124,202609056811124,shared_signal_alternative,0.25,0.24247195806539854,0.07427656751160161,0.16263983499724136,0.005555555556555556,0.0,0.05,0.001734887729830403,True,512.0,0.07983212306815717,conditional_on_independence_bounds_and_bias_envelope,0.07983212306815717,0.0012831524854471405,True
512,125,202609056811125,noise_free_null,0,0.0048783965851503935,-0.010067449675735808,0.009390290704330645,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.004511894119180252,conditional_on_independence_bounds_and_bias_envelope,-0.004511894119180252,0.4455100078931949,False
512,125,202609056811125,independent_noise_null,0,0.04866562823557023,-0.11952976231822668,0.16263983499724136,0.005555555556555556,0.0,0.05,0.8101968989888435,False,512.0,-0.11397420676167112,conditional_on_independence_bounds_and_bias_envelope,-0.11397420676167112,0.7647382643974635,False
512,125,202609056811125,shared_signal_alternative,0.25,0.24552573651860218,0.07733034596480527,0.16263983499724136,0.005555555556555556,0.0,0.05,0.0014711021726747002,True,512.0,0.08288590152136083,conditional_on_independence_bounds_and_bias_envelope,0.08288590152136083,0.0010838790899688688,True
512,126,202609056811126,noise_free_null,0,0.003995572450790186,-0.010950273810096016,0.009390290704330645,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.00539471825354046,conditional_on_independence_bounds_and_bias_envelope,-0.00539471825354046,0.5813634857700688,False
512,126,202609056811126,independent_noise_null,0,0.043704116064217174,-0.12449127448957974,0.16263983499724136,0.005555555556555556,0.0,0.05,0.8480477714351479,False,512.0,-0.11893571893302418,conditional_on_independence_bounds_and_bias_envelope,-0.11893571893302418,0.8054786490199474,False
512,126,202609056811126,shared_signal_alternative,0.25,0.279350014569698,0.11115462401590108,0.16263983499724136,0.005555555556555556,0.0,0.05,0.00020555035583954013,True,512.0,0.11671017957245663,conditional_on_independence_bounds_and_bias_envelope,0.11671017957245663,0.00014513469104687236,True
512,127,202609056811127,noise_free_null,0,0.005342263364175879,-0.009603582896710323,0.009390290704330645,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.004048027340154766,conditional_on_independence_bounds_and_bias_envelope,-0.004048027340154766,0.37923224207171,False
512,127,202609056811127,independent_noise_null,0,0.04422159432585884,-0.12397379622793808,0.16263983499724136,0.005555555556555556,0.0,0.05,0.8442386206801976,False,512.0,-0.11841824067138253,conditional_on_independence_bounds_and_bias_envelope,-0.11841824067138253,0.8013387218026116,False
512,127,202609056811127,shared_signal_alternative,0.25,0.2746674453698318,0.10647205481603485,0.16263983499724136,0.005555555556555556,0.0,0.05,0.00027412989249727017,True,512.0,0.1120276103725904,conditional_on_independence_bounds_and_bias_envelope,0.1120276103725904,0.00019470110857052324,True
512,128,202609056811128,noise_free_null,0,0.006533830810894736,-0.008412015449991466,0.009390290704330645,0.005555555556555556,0.0,0.05,0.968009139789111,False,512.0,-0.0028564598934359095,conditional_on_independence_bounds_and_bias_envelope,-0.0028564598934359095,0.2344820374607095,False
512,128,202609056811128,independent_noise_null,0,0.032187635131981474,-0.13600775542181545,0.16263983499724136,0.005555555556555556,0.0,0.05,0.9228149189849442,False,512.0,-0.1304521998652599,conditional_on_independence_bounds_and_bias_envelope,-0.1304521998652599,0.8892873017611939,False
512,128,202609056811128,shared_signal_alternative,0.25,0.2605669123886965,0.09237152183489956,0.16263983499724136,0.005555555556555556,0.0,0.05,0.0006330743503998961,True,512.0,0.09792707739145513,conditional_on_independence_bounds_and_bias_envelope,0.09792707739145513,0.0004576913468673546,True
512,129,202609056811129,noise_free_null,0,0.005211919534259976,-0.009733926726626225,0.009390290704330645,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.004178371170070669,conditional_on_independence_bounds_and_bias_envelope,-0.004178371170070669,0.39737710069467747,False
512,129,202609056811129,independent_noise_null,0,0.048253113956390405,-0.11994227659740651,0.16263983499724136,0.005555555556555556,0.0,0.05,0.8134513325759363,False,512.0,-0.11438672104085096,conditional_on_independence_bounds_and_bias_envelope,-0.11438672104085096,0.7682087665217857,False
512,129,202609056811129,shared_signal_alternative,0.25,0.27397344931013007,0.10577805875633316,0.16263983499724136,0.005555555556555556,0.0,0.05,0.00028595953090807154,True,512.0,0.11133361431288871,conditional_on_independence_bounds_and_bias_envelope,0.11133361431288871,0.00020328057196475485,True
512,130,202609056811130,noise_free_null,0,0.004438766957089681,-0.010507079303796522,0.009390290704330645,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.004951523747240965,conditional_on_independence_bounds_and_bias_envelope,-0.004951523747240965,0.512028397648744,False
512,130,202609056811130,independent_noise_null,0,0.010514669427833573,-0.15768072112596335,0.16263983499724136,0.005555555556555556,0.0,0.05,0.9972186691682509,False,512.0,-0.1521251655694078,conditional_on_independence_bounds_and_bias_envelope,-0.1521251655694078,0.9875570223047313,False
512,130,202609056811130,shared_signal_alternative,0.25,0.24835539814903004,0.08016000759523312,0.16263983499724136,0.005555555556555556,0.0,0.05,0.00126023714704629,True,512.0,0.08571556315178867,conditional_on_independence_bounds_and_bias_envelope,0.08571556315178867,0.0009252175563853836,True
512,131,202609056811131,noise_free_null,0,0.004075878239568807,-0.010869968021317395,0.009390290704330645,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.0053144124647618385,conditional_on_independence_bounds_and_bias_envelope,-0.0053144124647618385,0.5687010273924685,False
512,131,202609056811131,independent_noise_null,0,0.01341775454686382,-0.15477763600693312,0.16263983499724136,0.005555555556555556,0.0,0.05,0.993023815945309,False,512.0,-0.14922208045037755,conditional_on_independence_bounds_and_bias_envelope,-0.14922208045037755,0.9798168563892451,False
512,131,202609056811131,shared_signal_alternative,0.25,0.24781023182561931,0.0796148412718224,0.16263983499724136,0.005555555556555556,0.0,0.05,0.0012985496361877212,True,512.0,0.08517039682837796,conditional_on_independence_bounds_and_bias_envelope,0.08517039682837796,0.0009539993462434576,True
512,132,202609056811132,noise_free_null,0,0.005472249640381744,-0.009473596620504458,0.009390290704330645,0.005555555556555556,0.0,0.05,1.0,False,512.0,-0.0039180410639489014,conditional_on_independence_bounds_and_bias_envelope,-0.0039180410639489014,0.36154641705745316,False
512,132,202609056811132,independent_noise_null,0,0.02730293489813444,-0.1408924556556625,0.16263983499724136,0.005555555556555556,0.0,0.05,0.9478464451992173,False,512.0,-0.13533690009910693,conditional_on_independence_bounds_and_bias_envelope,-0.13533690009910693,0.9190411622024318,False
512,132,202609056811132,shared_signal_alternative,0.25,0.2587663878230968,0.09057099726929986,0.16263983499724136,0.005555555556555556,0.0,0.05,0.0007022024604104074,True,512.0,0.09612655282585542,conditional_on_independence_bounds_and_bias_envelope,0.09612655282585542,0.0005088201702804248,True
512,133,202609056811133,noise_free_null,0,0.005975324744684044,-0.008970521516202158,0.009390290704330645,0.005555555556555556,0.0,0.05,0.9940314785976384,False,512.0,-0.003414965959646601,conditional_on_independence_bounds_and_bias_envelope,-0.003414965959646601,0.29729809185927186,False
512,133,202609056811133,independent_noise_null,0,0.03650936829948356,-0.13168602225431336,0.16263983499724136,0.005555555556555556,0.0,0.05,0.8971682000258593,False,512.0,-0.1261304666977578,conditional_on_independence_bounds_and_bias_envelope,-0.1261304666977578,0.8598833192209209,False
512,133,202609056811133,shared_signal_alternative,0.25,0.2543672830131811,0.08617189245938418,0.16263983499724136,0.005555555556555556,0.0,0.05,0.000901747919661977,True,512.0,0.09172744801593974,conditional_on_independence_bounds_and_bias_envelope,0.09172744801593974,0.0006570391323648493,True
