domain,model,configuration,evaluation_rows,family_size,beta,lag,frequency,calendar_direction,mean_product,standard_error,statistic,raw_statistic,standard_error_abstain,calendar_gaps,observed_groups,original_policy_abstain,original_guard_reason,forecast_pooled_fallback_rows,outcome_pooled_fallback_rows,forecast_unseen_entity_rows,outcome_unseen_entity_rows,cohort_sha256,guard_reason,normal_p_one_sided,guarded_p,BY_adjusted_p,final_label,display_name,full_evaluation_rows,support_fraction,forecast_pooled_fallback_fraction,outcome_pooled_fallback_fraction,forecast_unseen_entity_fraction,outcome_unseen_entity_fraction
portfolios,Seasonal twelve-month lag,directional_middle,16377,10,2,12,M,True,-0.031913459307987752,0.028713282879485703,-1.1114528227905429,-1.1114528227905429,False,0,79,False,none,0,0,0,11,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,no_guard,0.86681325691544164,0.86681325691544164,1,NOT_RETAINED,12-month seasonal lag,27272,0.6005060134936931,0.0,0.0,0.0,0.0006716736887097759
portfolios,Small MLP,complementary_middle,16377,10,2,12,M,True,0.0047410272309739744,0.011819371247727011,0.4011234719347464,0.4011234719347464,False,0,79,False,none,0,0,0,0,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,no_guard,0.34416461026104078,0.34416461026104078,1,NOT_RETAINED,Small MLP,27272,0.6005060134936931,0.0,0.0,0.0,0.0
portfolios,Small MLP,directional_middle,16377,10,2,12,M,True,0.0029525674356414935,0.0094146098107851864,0.31361548646010712,0.31361548646010712,False,0,79,False,none,0,0,0,11,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,no_guard,0.37690654802955098,0.37690654802955098,1,NOT_RETAINED,Small MLP,27272,0.6005060134936931,0.0,0.0,0.0,0.0006716736887097759
portfolios,Trailing three-month return,complementary_middle,16377,10,2,12,M,True,0.0060747124904570156,0.023416797873680111,0.25941687344386394,0.25941687344386394,False,0,79,False,none,0,0,0,0,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,no_guard,0.39765680605022868,0.39765680605022868,1,NOT_RETAINED,Trailing 3-month return,27272,0.6005060134936931,0.0,0.0,0.0,0.0
portfolios,Trailing three-month return,directional_middle,16377,10,2,12,M,True,-0.0073143053815542926,0.02789035784233378,-0.26225211676747184,-0.26225211676747184,False,0,79,False,none,0,0,0,11,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,no_guard,0.60343646219445291,0.60343646219445291,1,NOT_RETAINED,Trailing 3-month return,27272,0.6005060134936931,0.0,0.0,0.0,0.0006716736887097759
portfolios,Trailing twelve-month return,complementary_middle,16377,10,2,12,M,True,-9.124134942961643e-05,0.00020582632189173955,-0.44329291118367031,-0.44329291118367031,False,0,79,True,exact_observed_baseline_copy,0,0,0,0,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,exact_observed_baseline_copy,0.67122305872874044,1,1,ABSTAIN,Trailing 12-month return,27272,0.6005060134936931,0.0,0.0,0.0,0.0
portfolios,Trailing twelve-month return,directional_middle,16377,10,2,12,M,True,-8.7190411877579349e-05,0.00020099744291585928,-0.43378866224720403,-0.43378866224720403,False,0,79,True,exact_observed_baseline_copy,0,0,0,11,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,exact_observed_baseline_copy,0.66777904225062201,1,1,ABSTAIN,Trailing 12-month return,27272,0.6005060134936931,0.0,0.0,0.0,0.0006716736887097759
portfolios,Training portfolio mean,complementary_middle,16377,10,2,12,M,True,-0.02250986583226176,0.0089484758444730202,-2.5154971889614992,-2.5154971889614992,False,0,79,False,none,0,0,0,0,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,no_guard,0.99405676874186799,0.99405676874186799,1,NOT_RETAINED,Training portfolio mean,27272,0.6005060134936931,0.0,0.0,0.0,0.0
portfolios,Training portfolio mean,directional_middle,16377,10,2,12,M,True,-0.013739837200695449,0.010104499198039336,-1.3597741888446593,-1.3597741888446593,False,0,79,False,none,0,0,0,11,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,no_guard,0.91304930364370729,0.91304930364370729,1,NOT_RETAINED,Training portfolio mean,27272,0.6005060134936931,0.0,0.0,0.0,0.0006716736887097759
ratings,Alternating least squares,complementary_middle,7212,10,2,0,cluster,False,0.19980945183630677,0.015694050261221715,12.731541476581995,12.731541476581995,False,0,168,False,none,0,0,0,0,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,no_guard,1.9748180620920213e-37,1.9748180620920213e-37,5.7841794112306386e-36,RETAIN,Alternating least squares,12088,0.5966247518199868,0.0,0.0,0.0,0.0
