design,signal,training_rows,validation_pairs,groups,peers,replications_max,rejections_max,rate_max,wilson_low_max,wilson_high_max,normal_rejections_max,budget_failures_max,coverage_failures_max,mean_bias_budget_max,mean_sampling_radius_max,mean_lower_bound_max,mean_p_max,target_max,total_observations_max,replications_weighted,rejections_weighted,rate_weighted,wilson_low_weighted,wilson_high_weighted,normal_rejections_weighted,budget_failures_weighted,coverage_failures_weighted,mean_bias_budget_weighted,mean_sampling_radius_weighted,mean_lower_bound_weighted,mean_p_weighted,target_weighted,total_observations_weighted
eight_balanced,0.0,8192,8192,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,60,0,0,0.0094928799628491,0.0182019141913828,-0.0276608765815808,1.0,0.0,30976,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,60,0,0,0.0084110843172042,0.0182019141913828,-0.026579080935936,1.0,0.0,30976
eight_balanced,0.0,8192,8192,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,59,0,0,0.0094928799628491,0.0091009570956914,-0.0185842946975168,1.0,0.0,50176,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,59,0,0,0.0084110843172042,0.0091009570956914,-0.017502499051872,1.0,0.0,50176
eight_balanced,0.25,32,512,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,982,0,0,0.2858597347593763,0.0258475238102951,-0.2941366971057837,1.0,0.0132142857142857,7456,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,982,0,0,0.2152932407309375,0.0258475238102951,-0.2235702030773448,1.0,0.0132142857142857,7456
eight_balanced,0.25,32,512,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,986,0,0,0.2858597347593763,0.0129237619051475,-0.2811933050413195,1.0,0.0132142857142857,26656,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,986,0,0,0.2152932407309375,0.0129237619051475,-0.2106268110128806,1.0,0.0132142857142857,26656
eight_balanced,0.25,32,8192,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,982,0,0,0.0824512234684334,0.0258475238102951,-0.0907281858148407,1.0,0.0132142857142857,22816,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,982,0,0,0.0383199688903915,0.0258475238102951,-0.0465969312367988,1.0,0.0132142857142857,22816
eight_balanced,0.25,32,8192,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,986,0,0,0.0824512234684334,0.0129237619051475,-0.0777847937503766,1.0,0.0132142857142857,42016,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,986,0,0,0.0383199688903915,0.0129237619051475,-0.0336535391723347,1.0,0.0132142857142857,42016
eight_balanced,0.25,512,512,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.161020211740629,0.0190655766601176,-0.1666971238186323,1.0,0.0132142857142857,7936,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1418702563072327,0.0190655766601176,-0.147547168385236,1.0,0.0132142857142857,7936
eight_balanced,0.25,512,512,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.161020211740629,0.0095327883300588,-0.1571433074484364,1.0,0.0132142857142857,27136,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.1418702563072327,0.0095327883300588,-0.1379933520150401,1.0,0.0132142857142857,27136
eight_balanced,0.25,512,8192,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.01499327403895,0.0190655766601176,-0.0206701861169534,0.99384615140732,0.0132142857142857,23296,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.0112902924083575,0.0190655766601176,-0.0169672044863608,0.9531739987174486,0.0132142857142857,23296
eight_balanced,0.25,512,8192,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.01499327403895,0.0095327883300588,-0.0111163697467575,0.9782782761750266,0.0132142857142857,42496,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,1000,0,0,0.0112902924083575,0.0095327883300588,-0.0074133881161649,0.83693600866618,0.0132142857142857,42496
