study,clusters,condition,ladder,beta,replications,rejections,rejection_rate,wilson_95_lower,wilson_95_upper,mean_product_mean,mean_product_empirical_sd,standard_error_mean,statistic_mean,statistic_sd,undefined_results,mean_product_mc95_lower,mean_product_mc95_upper,reported_se_over_empirical_sd,statistic_quantile_0.025,statistic_quantile_0.05,statistic_quantile_0.5,statistic_quantile_0.95,statistic_quantile_0.975,nuisance_r2_q8_mean,nuisance_r2_q12_mean,nuisance_r2_q16_mean,nuisance_r2_q24_mean,nuisance_r2_q32_mean,nuisance_r2_q4_mean,nuisance_r2_q6_mean,nuisance_r2_q48_mean,nuisance_r2_q64_mean
cluster_count_exponent,50,high_overlap_conditional_null,primary,1.0,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-0.004610188451264657,0.0005008103464869915,0.00047989319572101704,-9.706659337961403,1.4586813343856893,0,-0.004667089757803695,-0.004553287144725619,0.9582333893205264,-12.724143166295281,-12.214634059963181,-9.680551575257951,-7.519273791306541,-7.1427569735027125,0.9585003508988788,0.9664579429247336,0.9693850811609771,0.9711505523995125,0.9718201958894255,,,,
cluster_count_exponent,50,high_overlap_conditional_null,primary,2.0,300,15,0.05,0.03053164062934728,0.08084703347274415,-0.00010044072902347373,0.0004755811913701682,0.00044899052840282743,-0.223473586344331,1.062826361460074,0,-0.00015447553749773886,-4.640592054920859e-05,0.9440880685572699,-2.2597355044641882,-1.9427568195720006,-0.23320909872277354,1.6203878084988863,1.9254840324632476,0.9585003508988788,0.9664579429247336,0.9693850811609771,0.9711505523995125,0.9718201958894255,,,,
cluster_count_exponent,50,high_overlap_shared_noise_alternative,primary,0.5,300,173,0.5766666666666667,0.5201332672229635,0.6312614771892728,0.0013631648506123662,0.0008062925730813507,0.0007812430767569911,1.758829636768555,1.055569842646481,0,0.0012715551201367928,0.0014547745810879395,0.9689324977549654,-0.42060790159992767,-0.11313402523855347,1.8770174628362741,3.44004906279462,3.6813515763076987,0.9585003508988788,0.9664579429247336,0.9693850811609771,0.9711505523995125,0.9718201958894255,,,,
cluster_count_exponent,50,high_overlap_shared_noise_alternative,primary,1.0,300,300,1.0,0.9873570287754538,0.9999999999999998,0.010406532101634905,0.0006020208090358316,0.0005821236566976969,18.04723988816165,1.975441805426219,0,0.010338131416948337,0.010474932786321473,0.9669493943739237,14.724506063278797,15.092818675140611,17.82461254071899,21.751403196267233,22.34042342969133,0.9585003508988788,0.9664579429247336,0.9693850811609771,0.9711505523995125,0.9718201958894255,,,,
cluster_count_exponent,50,high_overlap_shared_noise_alternative,primary,2.0,300,300,1.0,0.9873570287754538,0.9999999999999998,0.01487855938714952,0.000559357528695481,0.0005405844500543835,27.814012349766173,2.9816448402726703,0,0.014815006039203568,0.014942112735095473,0.966438140763244,23.18198817360148,23.66782586134515,27.337291609318676,33.38210843957755,34.567813075110465,0.9585003508988788,0.9664579429247336,0.9693850811609771,0.9711505523995125,0.9718201958894255,,,,
cluster_count_exponent,50,independent_forecast_null,primary,0.5,300,19,0.06333333333333334,0.040916882383915276,0.09679131248552161,-0.0006340465612432253,0.013316954698456078,0.012524329648586793,-0.050687645941681,1.074209233539318,0,-0.0021470986113430275,0.000879005488856577,0.9404800070423623,-2.0076324895738455,-1.8249337314168215,-0.06668612605293728,1.7801989133742195,1.959246975241882,-0.026982665881601864,-0.028363398112822413,-0.029748025335954744,-0.03221888420746539,-0.03516787669707115,,,,
cluster_count_exponent,50,independent_forecast_null,primary,1.0,300,18,0.06,0.038286369524692054,0.09283944515290843,-0.0006291541702011516,0.012946795860301478,0.012276333015816394,-0.05059900585943922,1.0634274637835883,0,-0.0021001493385577647,0.0008418409981554614,0.9482139942793945,-2.0318220979648576,-1.7537133470746278,-0.024435009922188913,1.79615374383951,1.9679169308937516,-0.026982665881601864,-0.028363398112822413,-0.029748025335954744,-0.03221888420746539,-0.03516787669707115,,,,
cluster_count_exponent,50,independent_forecast_null,primary,2.0,300,17,0.056666666666666664,0.03567747646328951,0.08886595802247463,-0.0006263309966963684,0.012818245155844493,0.012209180054707218,-0.050252531619010526,1.0580098734679089,0,-0.0020827204303843065,0.0008300584369915696,0.9524845176752162,-2.0053846876331862,-1.754681517098231,-0.017553512746176708,1.8499258183736786,1.9746611018490856,-0.026982665881601864,-0.028363398112822413,-0.029748025335954744,-0.03221888420746539,-0.03516787669707115,,,,
cluster_count_exponent,100,high_overlap_conditional_null,primary,0.5,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-0.013548606309521649,0.0004397964711177181,0.0004436653389202881,-30.70491794706445,2.4694170552073675,0,-0.013598575312744922,-0.013498637306298376,1.008796950536546,-35.743245651944406,-34.950700594317205,-30.612037665631618,-26.86925680544005,-26.51538832256041,0.9589922614106778,0.9668943864935602,0.9697354065397307,0.9715704610462912,0.9722402478059428,,,,
cluster_count_exponent,100,high_overlap_conditional_null,primary,1.0,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-0.004545705754322914,0.00033335999867333194,0.00033809983330382857,-13.51792258045958,1.4202248612290584,0,-0.004583581608137482,-0.0045078299005083455,1.0142183664787607,-16.274669098948845,-15.965769279810823,-13.53958215460554,-11.433247364289292,-11.008894619818385,0.9589922614106778,0.9668943864935602,0.9697354065397307,0.9715704610462912,0.9722402478059428,,,,
