model,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2,raw_p_one_sided,raw_statistic,raw_nominal_positive,redundancy_abstain,redundancy_reason,undefined_audit_abstain,policy_abstain,p_policy,policy_nominal_positive,policy_decision,raw_by_reject_recomputed,raw_by_adjusted_p_recomputed,policy_by_reject,policy_by_adjusted_p,policy_family_size,method,beta,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,by_reject,by_adjusted_p,domain
histgbr_lag,contiguous,14,34992,729,0,0.0092141535274744,0.0018086962297905,5.094362102220823,1.7495870782464605e-07,computed,,1.7495870782464605e-07,5.094362102220823,True,False,no_exact_sample_redundancy_detected,False,False,1.7495870782464605e-07,True,NOMINAL_POSITIVE,True,5.811892218535295e-07,True,5.811892218535295e-07,11,extrapolated_beta_1,1.0,0.0253373855849688,0.017636257528222,0.0156415096137026,0.0149971319731222,0.013666680716428,True,5.811892218535294e-07,electricity
histgbr_lag,contiguous,14,34992,729,0,0.0129350272329243,0.0017268800395335,7.490402886594411,3.433125755868872e-14,computed,,3.433125755868872e-14,7.490402886594411,True,False,no_exact_sample_redundancy_detected,False,False,3.433125755868872e-14,True,NOMINAL_POSITIVE,True,1.1404380561489648e-13,True,1.1404380561489648e-13,11,extrapolated_beta_2,2.0,0.0253373855849688,0.017636257528222,0.0156415096137026,0.0149971319731222,0.013666680716428,True,1.1404380561489648e-13,electricity
holt_winters,contiguous,14,34992,729,0,0.0091355138295746,0.0013103045657306,6.972053725906401,1.5617360801757284e-12,computed,,1.5617360801757284e-12,6.972053725906401,True,False,no_exact_sample_redundancy_detected,False,False,1.5617360801757284e-12,True,NOMINAL_POSITIVE,True,1.0375753095840508e-11,True,1.0375753095840508e-11,11,extrapolated_beta_1,1.0,0.0228454262324597,0.0166558851275415,0.0149037417703904,0.0136289161423014,0.0131262004062516,True,1.0375753095840508e-11,electricity
holt_winters,contiguous,14,34992,729,0,0.0123649276247831,0.0013707922947153,9.020278033697927,9.380626697417548e-20,computed,,9.380626697417548e-20,9.020278033697927,True,False,no_exact_sample_redundancy_detected,False,False,9.380626697417548e-20,True,NOMINAL_POSITIVE,True,6.232235249742225e-19,True,6.232235249742225e-19,11,extrapolated_beta_2,2.0,0.0228454262324597,0.0166558851275415,0.0149037417703904,0.0136289161423014,0.0131262004062516,True,6.232235249742225e-19,electricity
lasso_lag,contiguous,14,34992,729,0,0.0105422200504431,0.0017584288881846,5.995249578347559,1.0158658099499364e-09,computed,,1.0158658099499364e-09,5.995249578347559,True,False,no_exact_sample_redundancy_detected,False,False,1.0158658099499364e-09,True,NOMINAL_POSITIVE,True,3.749521288215129e-09,True,3.749521288215129e-09,11,extrapolated_beta_1,1.0,0.0263179491384883,0.0187780889926486,0.0167611005412516,0.0163452743622681,0.01481151001458,True,3.749521288215129e-09,electricity
lasso_lag,contiguous,14,34992,729,0,0.0141810851732731,0.0016980076230683,8.351602772929603,3.367140629068412e-17,computed,,3.367140629068412e-17,8.351602772929603,True,False,no_exact_sample_redundancy_detected,False,False,3.367140629068412e-17,True,NOMINAL_POSITIVE,True,1.2427985414459695e-16,True,1.2427985414459695e-16,11,extrapolated_beta_2,2.0,0.0263179491384883,0.0187780889926486,0.0167611005412516,0.0163452743622681,0.01481151001458,True,1.242798541445969e-16,electricity
linear_lag,contiguous,14,34992,729,0,0.0105236043307682,0.0017550901751655,5.996047655942184,1.0108885595442448e-09,computed,,1.0108885595442448e-09,5.996047655942184,True,False,no_exact_sample_redundancy_detected,False,False,1.0108885595442448e-09,True,NOMINAL_POSITIVE,True,3.749521288215129e-09,True,3.749521288215129e-09,11,extrapolated_beta_1,1.0,0.0262957565692787,0.0187593857575539,0.0167395248786835,0.0163265476711667,0.0147915503932407,True,3.749521288215129e-09,electricity
linear_lag,contiguous,14,34992,729,0,0.0141617796943998,0.0016947525003336,8.356252427190105,3.2371048414215265e-17,computed,,3.2371048414215265e-17,8.356252427190105,True,False,no_exact_sample_redundancy_detected,False,False,3.2371048414215265e-17,True,NOMINAL_POSITIVE,True,1.2427985414459695e-16,True,1.2427985414459695e-16,11,extrapolated_beta_2,2.0,0.0262957565692787,0.0187593857575539,0.0167395248786835,0.0163265476711667,0.0147915503932407,True,1.242798541445969e-16,electricity
naive_1,contiguous,14,34992,729,0,0.0151335281092723,0.0021376623999166,7.079475276293665,7.235065587287064e-13,computed,,7.235065587287064e-13,7.079475276293665,True,False,no_exact_sample_redundancy_detected,False,False,7.235065587287064e-13,True,NOMINAL_POSITIVE,True,8.038849305909684e-12,True,8.038849305909684e-12,11,extrapolated_beta_1,1.0,0.0309892322402451,0.0233162867286379,0.0212866799447396,0.0211026345095955,0.0193577591350032,True,8.038849305909684e-12,electricity
naive_1,contiguous,14,34992,729,0,0.0187727417666427,0.002070781533497,9.065534660694247,6.199731562747374e-20,computed,,6.199731562747374e-20,9.065534660694247,True,False,no_exact_sample_redundancy_detected,False,False,6.199731562747374e-20,True,NOMINAL_POSITIVE,True,5.148667944931997e-19,True,5.148667944931997e-19,11,extrapolated_beta_2,2.0,0.0309892322402451,0.0233162867286379,0.0212866799447396,0.0211026345095955,0.0193577591350032,True,5.148667944931997e-19,electricity
ridge_lag,contiguous,14,34992,729,0,0.0114117951039721,0.0018406942079036,6.199723482027396,2.8281224261620067e-10,computed,,2.8281224261620067e-10,6.199723482027396,True,False,no_exact_sample_redundancy_detected,False,False,2.8281224261620067e-10,True,NOMINAL_POSITIVE,True,1.3420915896624019e-09,True,1.3420915896624019e-09,11,extrapolated_beta_1,1.0,0.0272734286535294,0.0197775593241384,0.0177061072790572,0.0171467969611314,0.0157647787559197,True,1.3420915896624019e-09,electricity
ridge_lag,contiguous,14,34992,729,0,0.0150826345356267,0.0017677621808968,8.532049558823926,7.188871761435324e-18,computed,,7.188871761435324e-18,8.532049558823926,True,False,no_exact_sample_redundancy_detected,False,False,7.188871761435324e-18,True,NOMINAL_POSITIVE,True,3.411494580620819e-17,True,3.411494580620819e-17,11,extrapolated_beta_2,2.0,0.0272734286535294,0.0197775593241384,0.0177061072790572,0.0171467969611314,0.0157647787559197,True,3.411494580620819e-17,electricity
seasonal_naive_7,contiguous,14,34992,729,0,-0.004245305372864,0.0001708122205878,-24.853639618135784,1.0,computed,,1.0,-24.853639618135784,False,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,11,extrapolated_beta_1,1.0,0.0123250536670267,0.0046776625503206,0.0025638403737729,0.0012391939995151,0.0006076063708007,False,1.0,electricity
seasonal_naive_7,contiguous,14,34992,729,0,-0.0003815983174087,7.12542329929577e-05,-5.355447688931285,0.9999999573275818,computed,,0.9999999573275818,-5.355447688931285,False,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,11,extrapolated_beta_2,2.0,0.0123250536670267,0.0046776625503206,0.0025638403737729,0.0012391939995151,0.0006076063708007,False,1.0,electricity
ses,contiguous,14,34992,729,0,0.0076091893279417,0.0010635277153552,7.15466951926141,4.193736982763044e-13,computed,,4.193736982763044e-13,7.15466951926141,True,False,no_exact_sample_redundancy_detected,False,False,4.193736982763044e-13,True,NOMINAL_POSITIVE,True,8.038849305909684e-12,True,8.038849305909684e-12,11,extrapolated_beta_1,1.0,0.0207337189041502,0.014636781146478,0.0129596002397062,0.0122825536385656,0.0112065258679125,True,8.038849305909684e-12,electricity
ses,contiguous,14,34992,729,0,0.0106742471303749,0.0011328792614842,9.422228381504905,2.2080721806756268e-21,computed,,2.2080721806756268e-21,9.422228381504905,True,False,no_exact_sample_redundancy_detected,False,False,2.2080721806756268e-21,True,NOMINAL_POSITIVE,True,7.334917869703864e-20,True,7.334917869703864e-20,11,extrapolated_beta_2,2.0,0.0207337189041502,0.014636781146478,0.0129596002397062,0.0122825536385656,0.0112065258679125,True,7.334917869703865e-20,electricity
theta,contiguous,14,34992,729,0,0.0137245022620944,0.0019543945549259,7.02238052572493,1.0905975039205277e-12,computed,,1.0905975039205277e-12,7.02238052572493,True,False,no_exact_sample_redundancy_detected,False,False,1.0905975039205277e-12,True,NOMINAL_POSITIVE,True,9.057044409790803e-12,True,9.057044409790803e-12,11,extrapolated_beta_1,1.0,0.0296321255330761,0.0220288482477805,0.0199785387985934,0.0195566018584288,0.018052221007371,True,9.057044409790804e-12,electricity
theta,contiguous,14,34992,729,0,0.0173909399021481,0.001882314213336,9.239126910339753,1.242583631339366e-20,computed,,1.242583631339366e-20,9.239126910339753,True,False,no_exact_sample_redundancy_detected,False,False,1.242583631339366e-20,True,NOMINAL_POSITIVE,True,2.0638475865684457e-19,True,2.0638475865684457e-19,11,extrapolated_beta_2,2.0,0.0296321255330761,0.0220288482477805,0.0199785387985934,0.0195566018584288,0.018052221007371,True,2.0638475865684457e-19,electricity
Alternating least squares,contiguous,0,12088,279,0,0.18932157118199994,0.014941483650308368,12.670868276062574,4.287991876774786e-37,computed,0.06509244886196341,4.287991876774786e-37,12.670868276062574,True,False,no_exact_sample_redundancy_detected,False,False,4.287991876774786e-37,True,NOMINAL_POSITIVE,True,4.186464026782367e-36,True,4.186464026782367e-36,10,local_spline_GCM,,,,,,,,,ratings
Global mean,contiguous,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,,1.0,,False,True,zero_within_cluster_forecast_rank_variation,True,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10,local_spline_GCM,,,,,,,,,ratings
Item mean,contiguous,0,12088,279,0,0.0007184781453005328,0.00022476122720993581,3.1966285031423416,0.0006952193846536539,computed,0.999673290108184,0.0006952193846536539,3.1966285031423416,True,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,True,0.0025453443839923706,False,1.0,10,local_spline_GCM,,,,,,,,,ratings
Item nearest neighbours,contiguous,0,12088,279,0,0.18141286904836754,0.01407760077789691,12.886632595321352,2.676529461644838e-38,computed,0.48541201177173265,2.676529461644838e-38,12.886632595321352,True,False,no_exact_sample_redundancy_detected,False,False,2.676529461644838e-38,True,NOMINAL_POSITIVE,True,3.9197349119842354e-37,True,3.9197349119842354e-37,10,local_spline_GCM,,,,,,,,,ratings
SVD (32 factors),contiguous,0,12088,279,0,0.04628269239330517,0.004581150936607279,10.102852543771748,2.682912129633331e-24,computed,0.9078481048456696,2.682912129633331e-24,10.102852543771748,True,False,no_exact_sample_redundancy_detected,False,False,2.682912129633331e-24,True,NOMINAL_POSITIVE,True,1.5716328911764773e-23,True,1.5716328911764773e-23,10,local_spline_GCM,,,,,,,,,ratings
SVD (40 factors),contiguous,0,12088,279,0,0.04853907432145758,0.004564007629064502,10.635186937977746,1.0220919690728361e-26,computed,0.9027055455850035,1.0220919690728361e-26,10.635186937977746,True,False,no_exact_sample_redundancy_detected,False,False,1.0220919690728361e-26,True,NOMINAL_POSITIVE,True,7.484187325125598e-26,True,7.484187325125598e-26,10,local_spline_GCM,,,,,,,,,ratings
SVD interaction,contiguous,0,12088,279,0,0.22822579322403488,0.016873425665147195,13.525753320823602,5.510443255561357e-42,computed,-0.25476387948087664,5.510443255561357e-42,13.525753320823602,True,False,no_exact_sample_redundancy_detected,False,False,5.510443255561357e-42,True,NOMINAL_POSITIVE,True,1.6139913360832687e-40,True,1.6139913360832687e-40,10,local_spline_GCM,,,,,,,,,ratings
Slope One,contiguous,0,12088,279,0,0.029260013815415816,0.004106094621434953,7.125995992072474,5.166536201268676e-13,computed,0.9333339643820264,5.166536201268676e-13,7.125995992072474,True,False,no_exact_sample_redundancy_detected,False,False,5.166536201268676e-13,True,NOMINAL_POSITIVE,True,2.5221034194156147e-12,True,2.5221034194156147e-12,10,local_spline_GCM,,,,,,,,,ratings
User and item bias,contiguous,0,12088,279,0,0.0007184781453005328,0.00022476122720993581,3.1966285031423416,0.0006952193846536539,computed,0.999673290108184,0.0006952193846536539,3.1966285031423416,True,True,same_observed_baseline_weak_order,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,True,0.0025453443839923706,False,1.0,10,local_spline_GCM,,,,,,,,,ratings
User mean,contiguous,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,,1.0,,False,True,zero_within_cluster_forecast_rank_variation,True,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10,local_spline_GCM,,,,,,,,,ratings
Item mean,contiguous,0,12088,279,0,-0.0019939891804614,0.000599757199435,-3.324660683256264,0.999557368978341,computed,,0.999557368978341,-3.324660683256264,False,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10,extrapolated_beta_1,1.0,0.0095943606020428,0.0054814690550134,0.0026058441409086,0.0022005249805874,0.0011419315567132,False,1.0,ratings
Item mean,contiguous,0,12088,279,0,0.0008824764077638,0.0003378778513208,2.6118208231587663,0.0045030720816899,computed,,0.0045030720816899,2.6118208231587663,True,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,True,0.01648669396575057,False,1.0,10,extrapolated_beta_2,2.0,0.0095943606020428,0.0054814690550134,0.0026058441409086,0.0022005249805874,0.0011419315567132,True,0.0164866939657505,ratings
User mean,contiguous,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,,1.0,,False,True,zero_within_cluster_forecast_rank_variation,True,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10,extrapolated_beta_1,1.0,0.0,0.0,0.0,0.0,0.0,False,1.0,ratings
User mean,contiguous,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,,1.0,,False,True,zero_within_cluster_forecast_rank_variation,True,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,0.0,0.0,0.0,0.0,0.0,False,1.0,ratings
User and item bias,contiguous,0,12088,279,0,-0.0019939891804614,0.000599757199435,-3.324660683256264,0.999557368978341,computed,,0.999557368978341,-3.324660683256264,False,True,same_observed_baseline_weak_order,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10,extrapolated_beta_1,1.0,0.0095943606020428,0.0054814690550134,0.0026058441409086,0.0022005249805874,0.0011419315567132,False,1.0,ratings
User and item bias,contiguous,0,12088,279,0,0.0008824764077638,0.0003378778513208,2.6118208231587663,0.0045030720816899,computed,,0.0045030720816899,2.6118208231587663,True,True,same_observed_baseline_weak_order,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,True,0.01648669396575057,False,1.0,10,extrapolated_beta_2,2.0,0.0095943606020428,0.0054814690550134,0.0026058441409086,0.0022005249805874,0.0011419315567132,True,0.0164866939657505,ratings
SVD (40 factors),contiguous,0,12088,279,0,0.0463802740520024,0.0047546577114675,9.754703044162287,8.805767090804199e-23,computed,,8.805767090804199e-23,9.754703044162287,True,False,no_exact_sample_redundancy_detected,False,False,8.805767090804199e-23,True,NOMINAL_POSITIVE,True,6.447953065200972e-22,True,6.447953065200972e-22,10,extrapolated_beta_1,1.0,0.0576945159720376,0.0534639137744723,0.0507246301655114,0.0504786895553565,0.0495070876826698,True,6.447953065200973e-22,ratings
SVD (40 factors),contiguous,0,12088,279,0,0.0491417351626482,0.0046278559178764,10.6186830434423,1.2198939842374156e-26,computed,,1.2198939842374156e-26,10.6186830434423,True,False,no_exact_sample_redundancy_detected,False,False,1.2198939842374156e-26,True,NOMINAL_POSITIVE,True,8.932576882595599e-26,True,8.932576882595599e-26,10,extrapolated_beta_2,2.0,0.0576945159720376,0.0534639137744723,0.0507246301655114,0.0504786895553565,0.0495070876826698,True,8.932576882595599e-26,ratings
SVD interaction,contiguous,0,12088,279,0,0.2310709021756984,0.0169479741459053,13.634131146673088,1.2548097633823835e-42,computed,,1.2548097633823835e-42,13.634131146673088,True,False,no_exact_sample_redundancy_detected,False,False,1.2548097633823835e-42,True,NOMINAL_POSITIVE,True,3.675297961716418e-41,True,3.675297961716418e-41,10,extrapolated_beta_1,1.0,0.228447084051684,0.2284089979228566,0.2287635793514077,0.2299769388119135,0.2310342993573311,True,3.675297961716417e-41,ratings
SVD interaction,contiguous,0,12088,279,0,0.2301325781009396,0.016924449717156,13.597640215602308,2.0678143707877632e-42,computed,,2.0678143707877632e-42,13.597640215602308,True,False,no_exact_sample_redundancy_detected,False,False,2.0678143707877632e-42,True,NOMINAL_POSITIVE,True,6.056562647136698e-41,True,6.056562647136698e-41,10,extrapolated_beta_2,2.0,0.228447084051684,0.2284089979228566,0.2287635793514077,0.2299769388119135,0.2310342993573311,True,6.056562647136697e-41,ratings
Global mean,contiguous,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,,1.0,,False,True,zero_within_cluster_forecast_rank_variation,True,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10,extrapolated_beta_1,1.0,0.0,0.0,0.0,0.0,0.0,False,1.0,ratings
Global mean,contiguous,0,12088,279,0,0.0,0.0,,1.0,undefined_rank_or_scale,,1.0,,False,True,zero_within_cluster_forecast_rank_variation,True,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,0.0,0.0,0.0,0.0,0.0,False,1.0,ratings
Slope One,contiguous,0,12088,279,0,0.0265951179856588,0.0041010441030255,6.48496268695046,4.4376873723998365e-11,computed,,4.4376873723998365e-11,6.48496268695046,True,False,no_exact_sample_redundancy_detected,False,False,4.4376873723998365e-11,True,NOMINAL_POSITIVE,True,2.1663075724658197e-10,True,2.1663075724658197e-10,10,extrapolated_beta_1,1.0,0.0383483280658553,0.0341306496428929,0.0310644274264177,0.030873687718722,0.0298392062102191,True,2.16630757246582e-10,ratings
Slope One,contiguous,0,12088,279,0,0.0294850221657466,0.0041084736779817,7.176636502203645,3.572365726600709e-13,computed,,3.572365726600709e-13,7.176636502203645,True,False,no_exact_sample_redundancy_detected,False,False,3.572365726600709e-13,True,NOMINAL_POSITIVE,True,1.7438909674629517e-12,True,1.7438909674629517e-12,10,extrapolated_beta_2,2.0,0.0383483280658553,0.0341306496428929,0.0310644274264177,0.030873687718722,0.0298392062102191,True,1.7438909674629517e-12,ratings
Item nearest neighbours,contiguous,0,12088,279,0,0.1801105689524588,0.0143495920495151,12.551615985385768,1.947397191964328e-36,computed,,1.947397191964328e-36,12.551615985385768,True,False,no_exact_sample_redundancy_detected,False,False,1.947397191964328e-36,True,NOMINAL_POSITIVE,True,2.0747604187317184e-35,True,2.0747604187317184e-35,10,extrapolated_beta_1,1.0,0.1898173571058913,0.1857393298482842,0.18342289633914,0.1833085573156075,0.1832359727218769,True,2.0747604187317184e-35,ratings
Item nearest neighbours,contiguous,0,12088,279,0,0.1823544220362798,0.014106708952525,12.92678700964048,1.589126913232089e-38,computed,,1.589126913232089e-38,12.92678700964048,True,False,no_exact_sample_redundancy_detected,False,False,1.589126913232089e-38,True,NOMINAL_POSITIVE,True,2.327251140191676e-37,True,2.327251140191676e-37,10,extrapolated_beta_2,2.0,0.1898173571058913,0.1857393298482842,0.18342289633914,0.1833085573156075,0.1832359727218769,True,2.327251140191676e-37,ratings
Alternating least squares,contiguous,0,12088,279,0,0.1879224731903423,0.0149802273085999,12.544701046188946,2.1250763806546256e-36,computed,,2.1250763806546256e-36,12.544701046188946,True,False,no_exact_sample_redundancy_detected,False,False,2.1250763806546256e-36,True,NOMINAL_POSITIVE,True,2.0747604187317184e-35,True,2.0747604187317184e-35,10,extrapolated_beta_1,1.0,0.1943996573941031,0.1912731459412698,0.1900466374394352,0.1902336573989477,0.1899130680836273,True,2.0747604187317184e-35,ratings
Alternating least squares,contiguous,0,12088,279,0,0.189360577086581,0.0148593119676484,12.743562925312736,1.692860926572527e-37,computed,,1.692860926572527e-37,12.743562925312736,True,False,no_exact_sample_redundancy_detected,False,False,1.692860926572527e-37,True,NOMINAL_POSITIVE,True,1.6527786374380712e-36,True,1.6527786374380712e-36,10,extrapolated_beta_2,2.0,0.1943996573941031,0.1912731459412698,0.1900466374394352,0.1902336573989477,0.1899130680836273,True,1.6527786374380712e-36,ratings
SVD (32 factors),contiguous,0,12088,279,0,0.0438789554029971,0.004764101215802,9.210332319862417,1.625584047582604e-20,computed,,1.625584047582604e-20,9.210332319862417,True,False,no_exact_sample_redundancy_detected,False,False,1.625584047582604e-20,True,NOMINAL_POSITIVE,True,9.522568139053333e-20,True,9.522568139053333e-20,10,extrapolated_beta_1,1.0,0.0553521158255846,0.0510947976762951,0.0484135687074066,0.0480613814608529,0.0469734392133665,True,9.522568139053332e-20,ratings
