model,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2,raw_p_one_sided,raw_statistic,raw_nominal_positive,redundancy_abstain,redundancy_reason,undefined_audit_abstain,policy_abstain,p_policy,policy_nominal_positive,policy_decision,raw_by_reject_recomputed,raw_by_adjusted_p_recomputed,policy_by_reject,policy_by_adjusted_p,policy_family_size,method,beta,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,by_reject,by_adjusted_p,domain,policy_decision_role,final_decision
Past price calendar and history,contiguous,2,112000,28,0,0.0524902748297118,0.0111428830061684,4.710654756103474,1.2346110906508275e-06,computed,,1.2346110906508275e-06,4.710654756103474,True,False,no_exact_sample_redundancy_detected,False,False,1.2346110906508275e-06,True,NOMINAL_POSITIVE,True,9.040341726283489e-06,True,9.040341726283489e-06,10,extrapolated_beta_2,2.0,0.0395919028389557,0.0480514440716234,0.0444506628304394,0.059687961780139,0.0465920720113109,True,9.040341726283492e-06,retail,intermediate_nominal_screen,RETAIN
Training series mean,contiguous,2,112000,28,0,4.8295564935965014e-14,4.1328553776151544e-13,,1.0,undefined_rank_or_scale,,1.0,,False,False,no_exact_sample_redundancy_detected,True,True,1.0,False,ABSTAIN_UNDEFINED_AUDIT,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,2.720256409108477e-15,-2.572312389691881e-15,3.5786728657862123e-13,-1.2228145277780517e-12,1.0001076631809265e-12,False,1.0,retail,intermediate_nominal_screen,ABSTAIN
Eight week mean,contiguous,2,112000,28,0,0.0360286850812914,0.0093808411536817,3.8406667900086138,6.13502857158037e-05,computed,,6.13502857158037e-05,3.8406667900086138,True,False,no_exact_sample_redundancy_detected,False,False,6.13502857158037e-05,True,NOMINAL_POSITIVE,True,0.0002994883987224518,True,0.0002994883987224518,10,extrapolated_beta_2,2.0,0.0301510164880122,0.033961471563132,0.0320771294894613,0.0395476261709311,0.0333387244848983,True,0.0002994883987224,retail,intermediate_nominal_screen,RETAIN
Exponential smoothing,contiguous,2,112000,28,0,0.0415957938786514,0.0096967749942359,4.289652374462342,8.947650048121137e-06,computed,,8.947650048121137e-06,4.289652374462342,True,False,no_exact_sample_redundancy_detected,False,False,8.947650048121137e-06,True,NOMINAL_POSITIVE,True,5.2414765877128654e-05,True,5.2414765877128654e-05,10,extrapolated_beta_2,2.0,0.0319693985727678,0.0381165899627807,0.0356808786520847,0.0465276528162174,0.037603817781538,True,5.2414765877128654e-05,retail,intermediate_nominal_screen,RETAIN
Croston SBA,contiguous,2,112000,28,0,-0.0161649667021301,0.0018816191427957,-8.590987588546547,1.0,computed,,1.0,-8.590987588546547,False,False,no_exact_sample_redundancy_detected,False,False,1.0,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,-0.0172064358884369,-0.0151368029374212,-0.0171324590624744,-0.0158807850355223,-0.0166786755550549,False,1.0,retail,intermediate_nominal_screen,NULL
Theta,contiguous,2,112000,28,0,0.0601502913928082,0.0094545310496587,6.362059744357098,9.953298836583149e-11,computed,,9.953298836583149e-11,6.362059744357098,True,False,no_exact_sample_redundancy_detected,False,False,9.953298836583149e-11,True,NOMINAL_POSITIVE,True,1.4576448157305601e-09,True,1.4576448157305601e-09,10,extrapolated_beta_2,2.0,0.0512615703166485,0.0571403852105406,0.0542660837594822,0.0654809006741724,0.0559653131015408,True,1.45764481573056e-09,retail,intermediate_nominal_screen,RETAIN
Ridge with history,contiguous,2,112000,28,0,0.043785398690706,0.011994271404364,3.650525923131529,0.0001308519466058,computed,,0.0001308519466058,3.650525923131529,True,False,no_exact_sample_redundancy_detected,False,False,0.0001308519466058,True,NOMINAL_POSITIVE,True,0.0005475159965404817,True,0.0005475159965404817,10,extrapolated_beta_2,2.0,0.0282590439383762,0.0383412054253952,0.0343948036155514,0.0516861179397417,0.0372276371295395,True,0.0005475159965406,retail,intermediate_nominal_screen,RETAIN
Last month,contiguous,12,27272,132,0,0.0269962107373503,0.018566793093101,1.4540050401801183,0.0729724544139681,computed,,0.0729724544139681,1.4540050401801183,False,False,no_exact_sample_redundancy_detected,False,False,0.0729724544139681,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,0.0281376896985269,0.0275646590937591,0.0272550274692357,0.0269475325161636,0.0272243368380875,False,1.0,portfolios,intermediate_nominal_screen,NULL
Trailing three-month return,contiguous,12,27272,132,0,-0.0046208150310951,0.0226992314055956,-0.2035670260604521,0.5806540685311798,computed,,0.5806540685311798,-0.2035670260604521,False,False,no_exact_sample_redundancy_detected,False,False,0.5806540685311798,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,-0.0028119242473014,-0.0039433440308119,-0.004195155869295,-0.004604099017408,-0.0042707260461996,False,1.0,portfolios,intermediate_nominal_screen,NULL
Trailing twelve-month return,contiguous,12,27272,132,0,0.0001756893931891,0.0002043353558539,0.8598090744253166,0.1949471481441638,computed,,0.1949471481441638,0.8598090744253166,False,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,0.0022043707579705,0.0013180077790393,0.0007523833033913,0.0003802551112157,0.0001805872842311,False,1.0,portfolios,intermediate_nominal_screen,ABSTAIN
Seasonal twelve-month lag,contiguous,12,27272,132,0,-0.0251474551578449,0.0228529155183539,-1.100404678678665,0.86442207956318,computed,,0.86442207956318,-1.100404678678665,False,False,no_exact_sample_redundancy_detected,False,False,0.86442207956318,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,-0.024388311602902,-0.0248069777853906,-0.0250478481394846,-0.0250746771445829,-0.0250275900597801,False,1.0,portfolios,intermediate_nominal_screen,NULL
Training portfolio mean,contiguous,12,27272,132,0,-0.015482773033366,0.0073333780542951,-2.11127435661084,0.9826256315747316,computed,,0.9826256315747316,-2.11127435661084,False,False,no_exact_sample_redundancy_detected,False,False,0.9826256315747316,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,-0.0155216244791106,-0.0155138058223461,-0.0154833983251764,-0.0154739793058091,-0.0154983323662547,False,1.0,portfolios,intermediate_nominal_screen,NULL
Exponential twelve-month mean,contiguous,12,27272,132,0,0.0199915192628529,0.0154843889051812,1.29107576574517,0.0983387032589169,computed,,0.0983387032589169,1.29107576574517,False,False,no_exact_sample_redundancy_detected,False,False,0.0983387032589169,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,0.0223307546688598,0.0211903759090766,0.0205931910606363,0.020130796658734,0.0201759042128389,False,1.0,portfolios,intermediate_nominal_screen,NULL
Ridge,contiguous,12,27272,132,0,0.0164310049936607,0.0174349066815969,0.942420013696092,0.1729888223105285,computed,,0.1729888223105285,0.942420013696092,False,False,no_exact_sample_redundancy_detected,False,False,0.1729888223105285,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,0.0180832404245882,0.0174546940163238,0.0169203306218631,0.0166136536792527,0.0163705920138748,False,1.0,portfolios,intermediate_nominal_screen,NULL
Elastic net,contiguous,12,27272,132,0,0.0165570525494891,0.0174840636524008,0.946979654081484,0.1718245733114992,computed,,0.1718245733114992,0.946979654081484,False,False,no_exact_sample_redundancy_detected,False,False,0.1718245733114992,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,0.0181395637370428,0.0174646416857504,0.016961445640208,0.016799175059078,0.0165101762173829,False,1.0,portfolios,intermediate_nominal_screen,NULL
LightGBM,contiguous,12,27272,132,0,-0.0038736416443474,0.0143942573037321,-0.269110212677881,0.606077564166934,computed,,0.606077564166934,-0.269110212677881,False,False,no_exact_sample_redundancy_detected,False,False,0.606077564166934,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,-0.0027383249480986,-0.0034402503152629,-0.0034100275279343,-0.0039652333108114,-0.0037000894396417,False,1.0,portfolios,intermediate_nominal_screen,NULL
Small MLP,contiguous,12,27272,132,0,-0.0090389845975259,0.0079477504358552,-1.137301009949647,0.8722937636469138,computed,,0.8722937636469138,-1.137301009949647,False,False,no_exact_sample_redundancy_detected,False,False,0.8722937636469138,False,NOT_POSITIVE,False,1.0,False,1.0,10,extrapolated_beta_2,2.0,-0.0082093755403348,-0.0084533789627483,-0.0088044768398698,-0.0090721139574962,-0.0089739882870197,False,1.0,portfolios,intermediate_nominal_screen,NULL
