replication,seed,condition,clusters,reject,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2
228,202609058430228,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.0063902403499892825,0.011065707997617273,-0.5774813822455159,0.718192844030181,computed,-0.0207926210436431
229,202609058430229,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.03031736777309058,0.013793070291569915,-2.198014447270672,0.9860259617927338,computed,-0.02330647975542366
230,202609058430230,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.010788209212652264,0.012259619523795798,-0.8799791210251231,0.8105646898092713,computed,-0.03381926428656157
231,202609058430231,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.02257397399417927,0.012799448128606268,-1.7636677587471383,0.9611060338193775,computed,-0.036627330419779724
232,202609058430232,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.010305722395799641,0.011223835012441487,-0.9181997404965301,0.8207428477445345,computed,-0.03009433502618375
233,202609058430233,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.023296416039958145,0.01186734611009931,-1.9630687285788777,0.9751809057102662,computed,-0.020987695461796685
234,202609058430234,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.00924276796061034,0.012377533859679456,-0.7467374410276671,0.7723889677341684,computed,-0.01616800704373711
235,202609058430235,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.008024406294620206,0.010364208702800567,-0.7742420598353918,0.78060616998724,computed,-0.02010330095744073
236,202609058430236,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.009370366693474437,0.013360247226336537,-0.7013617738302774,0.7584613642764908,computed,-0.030875985411649154
237,202609058430237,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.004291649090643323,0.012682518549248727,-0.33839091770124374,0.6324656912507924,computed,-0.019810299401371134
238,202609058430238,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.013362595757585282,0.014152352707282087,-0.944196066475192,0.8274652675295693,computed,-0.03224853295893282
239,202609058430239,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.00803445585359932,0.012412819573067224,0.647270815974166,0.2587283430111328,computed,-0.028590504045473253
240,202609058430240,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.002085136571763811,0.01007337159173093,-0.20699490262778217,0.5819930802968242,computed,-0.03621245013679464
241,202609058430241,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.016113021837549233,0.014596503608908263,1.1038959924426996,0.1348191287549258,computed,-0.02624583626759147
242,202609058430242,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.01011923967333499,0.0145454067997039,0.6957000111912296,0.24330835926481664,computed,-0.02220705660910194
243,202609058430243,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.002622030800682914,0.012256141815466907,0.2139360689653562,0.41529845618012917,computed,-0.02842100412658155
244,202609058430244,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.009045092630628498,0.012389563105870478,0.7300574324806266,0.2326775397285562,computed,-0.030139080287521214
245,202609058430245,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.009283997597304808,0.012751415699299842,-0.7280758322242272,0.7667164164351882,computed,-0.033214355147854535
246,202609058430246,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.008700364519386307,0.011327366598205458,0.7680836003634477,0.2212187596504095,computed,-0.02957089600830809
247,202609058430247,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.009427443742914753,0.012973636679794742,0.726661611974778,0.23371663754956434,computed,-0.032069728897871075
248,202609058430248,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.011184536517941813,0.011471303796826546,-0.9750013351608676,0.8352202011643697,computed,-0.03017745719056708
249,202609058430249,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.00010330650987298729,0.01147233040790228,-0.009004840882357128,0.5035923632071061,computed,-0.03356603426390681
250,202609058430250,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.013969057745302728,0.010749540766112883,-1.2995027461395494,0.9031142741756667,computed,-0.02664624272799787
251,202609058430251,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.00877485539853994,0.011770022030629448,-0.7455258261798402,0.7720230477942236,computed,-0.028307640723410188
252,202609058430252,independent_forecast_null,50,True,contiguous,0,4000,50,0,0.028519648088457448,0.014406325022567952,1.9796615752997757,0.023870784475904752,computed,-0.02823475670651221
253,202609058430253,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.0001692255977743864,0.013335279895042853,0.012690067183163732,0.49493753153466763,computed,-0.03110336150016768
254,202609058430254,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.004692001186214817,0.014075671324281688,0.3333412011490159,0.36943837100398,computed,-0.02882687897750036
255,202609058430255,independent_forecast_null,50,True,contiguous,0,4000,50,0,0.03173562796514261,0.014006552686466894,2.2657700774442175,0.011732732174973318,computed,-0.02249941174959247
256,202609058430256,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.0018454807012695724,0.010723174777985307,0.17210208165760266,0.4316786381283858,computed,-0.03190648649570993
257,202609058430257,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.013896227225871851,0.009935016507106693,-1.398712041991237,0.919050324165274,computed,-0.036033229358414465
258,202609058430258,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.006918372153261234,0.011114464896738742,-0.6224656083345277,0.7331821243760787,computed,-0.023958344768487683
259,202609058430259,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.00695864743861754,0.013024797985159188,0.5342614485496369,0.2965803302435999,computed,-0.019645882267876003
260,202609058430260,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.01986401608649075,0.01087449117018005,-1.8266616594403708,0.9661246718358628,computed,-0.021060588458292617
261,202609058430261,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.011821626365795222,0.011823754710294893,0.999819994193738,0.15869881398699454,computed,-0.015828736208987726
262,202609058430262,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.005740072734023919,0.012035322486365659,0.47693551548175134,0.3167040204504412,computed,-0.03458845719728787
263,202609058430263,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.007022124399286387,0.012907577128969415,0.5440311786730386,0.2932100088299645,computed,-0.02343011209316903
264,202609058430264,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.0037127437267216214,0.01207609680290172,-0.3074456744856086,0.6207479163714732,computed,-0.031012260039649853
265,202609058430265,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.012572321184651047,0.012100873679169104,1.038959790671438,0.14941171854971425,computed,-0.028462826546551856
266,202609058430266,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.012010599515640298,0.010112147646118381,1.1877397300711536,0.11746798292685179,computed,-0.014419021882619898
267,202609058430267,independent_forecast_null,50,True,contiguous,0,4000,50,0,0.022242647560046756,0.011956303872882377,1.8603280576110508,0.031419563135530224,computed,-0.03113202490284639
268,202609058430268,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.001643290074290193,0.011494252492395595,0.1429662412042337,0.4431584214395974,computed,-0.03164118845480757
269,202609058430269,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.006317695777040388,0.01282690342265771,0.492534758301889,0.3111706782477772,computed,-0.02545345965481971
270,202609058430270,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.0190773612119117,0.013012808370934176,-1.4660448896276306,0.9286819710358019,computed,-0.029114091337807624
271,202609058430271,independent_forecast_null,50,True,contiguous,0,4000,50,0,0.02509764972732461,0.011927461559300655,2.1041903679626,0.017680922205566607,computed,-0.036689883124648937
272,202609058430272,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.011627146649521159,0.013998080995304682,-0.8306243301079058,0.7969070571156133,computed,-0.028030579601252548
273,202609058430273,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.0016279137263612573,0.012807763626485688,0.12710366726278655,0.4494291744750996,computed,-0.018969351168848236
274,202609058430274,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.007728321902828521,0.014304296023341179,0.540279779600321,0.2945020504615844,computed,-0.020762345995856135
275,202609058430275,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.009571131157010365,0.011261938115013722,-0.8498653659134144,0.8023000284945998,computed,-0.03305803959369302
276,202609058430276,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.011244042668730572,0.011685214389235303,0.9622453036966828,0.1679631984799384,computed,-0.025616427898230265
277,202609058430277,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.0016152254419463433,0.01298503438809115,-0.12439131030932815,0.5494972733593428,computed,-0.029021350955136027
278,202609058430278,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.010022407258230953,0.012536281278959378,0.7994721110041096,0.21200835585470945,computed,-0.03056036407341889
279,202609058430279,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.012338662271106216,0.012462635842562271,0.9900523795269166,0.16107425879177145,computed,-0.02039785001184624
280,202609058430280,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.01429604288209301,0.01339378471428017,-1.0673639443264211,0.8570962383427441,computed,-0.03416383159243286
281,202609058430281,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.004228163621654895,0.01316501247666355,-0.3211667006886462,0.6259579672599374,computed,-0.028604465678648827
282,202609058430282,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.030126940862296954,0.012541510869951061,-2.4021779492676476,0.9918511109365127,computed,-0.030891436446438325
283,202609058430283,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.009893471697730909,0.012086714959349787,0.8185409957134568,0.20652417157580016,computed,-0.024617211569829545
284,202609058430284,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.00879114249062109,0.011152588399271027,0.7882602832536805,0.21527223702655546,computed,-0.02710343193902065
285,202609058430285,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.013976532855021869,0.011605337285183589,-1.2043194016313132,0.8857669247094402,computed,-0.03468428649966038
286,202609058430286,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.00046999789198401263,0.012182389016608591,0.03858010865875744,0.4846125807375618,computed,-0.034102856707247664
287,202609058430287,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.018167205821795557,0.010915912261656915,-1.6642865375172937,0.9519724092758599,computed,-0.022706032507617824
288,202609058430288,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.013212591780139811,0.011581808864765824,1.140805545525376,0.12697542619703456,computed,-0.024791342368404967
289,202609058430289,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.00018805363079697556,0.010664493150687529,0.01763362103944452,0.49296556756579774,computed,-0.03250019467008691
290,202609058430290,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.011896290823724752,0.012952154302151185,-0.918479702002078,0.8208161095687792,computed,-0.03187009751217973
291,202609058430291,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.007256041515669885,0.012166014230066035,0.5964189568131468,0.2754476897767838,computed,-0.033851619368048924
292,202609058430292,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.005819525978286214,0.010058242610426007,-0.578582780679192,0.7185646368801484,computed,-0.031036952076070268
293,202609058430293,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.03217901915878206,0.012442872513463477,-2.586140710190803,0.9951471350316329,computed,-0.031381694645760794
294,202609058430294,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.01820181085373094,0.01006782265701043,-1.8079192963392783,0.9646904689785742,computed,-0.03576484401794655
295,202609058430295,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.0030589419522730815,0.012395804378769998,-0.24677236416477008,0.5974578003247275,computed,-0.024928058887987437
296,202609058430296,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.0020337114483628556,0.009849732499069702,0.20647377464869607,0.4182104240907896,computed,-0.027573167613194283
297,202609058430297,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.014760423578179378,0.011038340707561736,1.3371958674973545,0.09057935524436644,computed,-0.028599545988159836
298,202609058430298,independent_forecast_null,50,False,contiguous,0,4000,50,0,0.0045364425106569515,0.010129034500802409,0.4478652442439189,0.3271252265017588,computed,-0.023902619934040414
299,202609058430299,independent_forecast_null,50,False,contiguous,0,4000,50,0,-0.01278768672879223,0.010637196605455916,-1.202166999736877,0.8853505839280256,computed,-0.021937678696723806
0,202609058430000,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.007543655975242067,0.009133557187432872,0.8259274913854597,0.20442261230607145,computed,-0.013430397045965048
1,202609058430001,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.010406990340454276,0.008655117198759084,1.2024089450742925,0.11460256260039686,computed,-0.017192313768970457
2,202609058430002,independent_forecast_null,100,False,contiguous,0,8000,100,0,0.0018047065133914607,0.008451478253611167,0.21353737881539736,0.4154539186444679,computed,-0.01645040904837969
