model,left_q,left_term,right_q,right_term,hac_covariance
Past price and calendar,16,forecast_fit_shift,8,forecast_fit_shift,4.6914728715467456e-06
Past price and calendar,16,forecast_fit_shift,8,joint_fit_shift,-2.6840083326812605e-07
Past price and calendar,16,forecast_fit_shift,12,outcome_fit_shift,-2.9032288792406279e-06
Past price and calendar,16,forecast_fit_shift,12,forecast_fit_shift,3.3807186891776885e-06
Past price and calendar,16,forecast_fit_shift,12,joint_fit_shift,-6.1938900277323962e-07
Past price and calendar,16,forecast_fit_shift,16,outcome_fit_shift,-3.0316850079176285e-06
Past price and calendar,16,forecast_fit_shift,16,forecast_fit_shift,6.7915763111373511e-06
Past price and calendar,16,forecast_fit_shift,16,joint_fit_shift,-9.0826063310589985e-07
Past price and calendar,16,forecast_fit_shift,24,outcome_fit_shift,-2.8054971095896388e-06
Past price and calendar,16,forecast_fit_shift,24,forecast_fit_shift,6.9455501444514809e-06
Past price and calendar,16,forecast_fit_shift,24,joint_fit_shift,-9.7483647291448676e-07
Past price and calendar,16,forecast_fit_shift,32,outcome_fit_shift,-2.6704994600470868e-06
Past price and calendar,16,forecast_fit_shift,32,forecast_fit_shift,7.2103017199025375e-06
Past price and calendar,16,forecast_fit_shift,32,joint_fit_shift,-1.1489522286770536e-06
Past price and calendar,16,joint_fit_shift,8,outcome_fit_shift,4.8081208108552524e-07
Past price and calendar,16,joint_fit_shift,8,forecast_fit_shift,-4.0714426918777509e-07
Past price and calendar,16,joint_fit_shift,8,joint_fit_shift,4.5855904201100605e-07
Past price and calendar,16,joint_fit_shift,12,outcome_fit_shift,4.3108802526341148e-07
Past price and calendar,16,joint_fit_shift,12,forecast_fit_shift,-3.7246570993833674e-08
Past price and calendar,16,joint_fit_shift,12,joint_fit_shift,4.6932365589591347e-07
Past price and calendar,16,joint_fit_shift,16,outcome_fit_shift,3.3330907684834272e-07
Past price and calendar,16,joint_fit_shift,16,forecast_fit_shift,-9.0826063310589985e-07
Past price and calendar,16,joint_fit_shift,16,joint_fit_shift,6.0686752593855274e-07
Past price and calendar,16,joint_fit_shift,24,outcome_fit_shift,3.7354554571160635e-07
Past price and calendar,16,joint_fit_shift,24,forecast_fit_shift,-9.0023210740045195e-07
Past price and calendar,16,joint_fit_shift,24,joint_fit_shift,5.6276182773638541e-07
Past price and calendar,16,joint_fit_shift,32,outcome_fit_shift,3.7471435993057806e-07
Past price and calendar,16,joint_fit_shift,32,forecast_fit_shift,-1.0004955598895128e-06
Past price and calendar,16,joint_fit_shift,32,joint_fit_shift,5.8201133330609635e-07
Past price and calendar,24,outcome_fit_shift,8,outcome_fit_shift,2.1844199851801124e-06
