domain,model,configuration,evaluation_rows,family_size,beta,lag,frequency,calendar_direction,mean_product,standard_error,statistic,raw_statistic,standard_error_abstain,calendar_gaps,observed_groups,original_policy_abstain,original_guard_reason,forecast_pooled_fallback_rows,outcome_pooled_fallback_rows,forecast_unseen_entity_rows,outcome_unseen_entity_rows,cohort_sha256,guard_reason,normal_p_one_sided,guarded_p,BY_adjusted_p,final_label
electricity,ridge_lag,directional_middle,21024,11,2,14,D,True,0.017959357129477466,0.0027849559960789277,6.4487040925469925,6.4487040925469925,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,5.6405286812196134e-11,5.6405286812196134e-11,2.6767250364715139e-10,RETAIN
electricity,ridge_lag,directional_all,34992,11,2,14,D,True,0.014381384773975573,0.0019355924598730562,7.4299652804592773,7.4299652804592773,False,0,729,False,none,7008,6960,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,5.4313094042582594e-14,5.4313094042582594e-14,2.5774395778903802e-13,RETAIN
electricity,seasonal_naive_7,complementary_all,34992,11,2,14,D,True,-0.00038159831740872791,7.1254232992983731e-05,-5.355447688929627,-5.355447688929627,False,0,729,True,exact_observed_baseline_copy,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,exact_observed_baseline_copy,0.99999995732758185,1,1,ABSTAIN
electricity,seasonal_naive_7,complementary_middle,21024,11,2,14,D,True,-0.00020799387755528648,7.7907440570386459e-05,-2.6697562650305753,-2.6697562650305753,False,0,438,True,exact_observed_baseline_copy,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,exact_observed_baseline_copy,0.99620468375171978,1,1,ABSTAIN
electricity,seasonal_naive_7,directional_middle,21024,11,2,14,D,True,0.0043233207098276449,0.0013542599013591343,3.1923862660991169,3.1923862660991169,False,0,438,True,exact_observed_baseline_copy,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,exact_observed_baseline_copy,0.00070551250420761472,1,1,ABSTAIN
electricity,seasonal_naive_7,directional_all,34992,11,2,14,D,True,0.0023334299381217996,0.00088724023397350395,2.6299866132890948,2.6299866132890948,False,0,729,True,exact_observed_baseline_copy,7008,6960,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,exact_observed_baseline_copy,0.004269411523849226,1,1,ABSTAIN
electricity,ses,complementary_all,34992,11,2,14,D,True,0.010674247130368934,0.0011328792614840367,9.4222283815011334,9.4222283815011334,False,0,729,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,2.2080721807549066e-21,2.2080721807549066e-21,7.3349178699672218e-20,RETAIN
electricity,ses,complementary_middle,21024,11,2,14,D,True,0.010565948567184666,0.0016785562892383957,6.2946644297396244,6.2946644297396244,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,1.5403278340435705e-10,1.5403278340435705e-10,7.3096589181191225e-10,RETAIN
electricity,ses,directional_middle,21024,11,2,14,D,True,0.0069736121889163285,0.00088400791118203317,7.888630973439712,7.888630973439712,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,1.5275973890117441e-15,1.5275973890117441e-15,2.5372362109436923e-14,RETAIN
electricity,ses,directional_all,34992,11,2,14,D,True,0.0075373417542909348,0.00076622736919964673,9.8369518726066545,9.8369518726066545,False,0,729,False,none,7008,6960,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,3.9019705356593584e-23,3.9019705356593584e-23,6.4809098315591382e-22,RETAIN
