baseline,method,week,start,mse,mae
seasonal_24h,convex__seasonal_24h,8,2018-11-03 00:00:00,565552.7401754328,632.3143932058871
seasonal_24h,convex__seasonal_24h,9,2018-11-10 00:00:00,72889.06121382609,188.01396022057688
seasonal_24h,convex__seasonal_24h,10,2018-11-17 00:00:00,64230.953232445885,175.11366088116898
seasonal_24h,convex__seasonal_24h,11,2018-11-24 00:00:00,92167.57063127619,209.39696095160508
seasonal_24h,augment__seasonal_24h,0,2018-09-08 00:00:00,123582.47857186744,254.80931674521278
seasonal_24h,augment__seasonal_24h,1,2018-09-15 00:00:00,738105.0102376825,702.4722182775482
seasonal_24h,augment__seasonal_24h,2,2018-09-22 00:00:00,370511.82136194134,435.47807872266753
seasonal_24h,augment__seasonal_24h,3,2018-09-29 00:00:00,1020798.1436144083,881.7510930427161
seasonal_24h,augment__seasonal_24h,4,2018-10-06 00:00:00,470289.19431684486,516.0022962153325
seasonal_24h,augment__seasonal_24h,5,2018-10-13 00:00:00,89790.71292540307,217.18030556113337
seasonal_24h,augment__seasonal_24h,6,2018-10-20 00:00:00,152929.98279385825,290.93002875504203
seasonal_24h,augment__seasonal_24h,7,2018-10-27 00:00:00,94161.03819114513,230.46390296143232
seasonal_24h,augment__seasonal_24h,8,2018-11-03 00:00:00,656623.6300204407,706.341748650623
seasonal_24h,augment__seasonal_24h,9,2018-11-10 00:00:00,101537.565740493,227.97186921538088
seasonal_24h,augment__seasonal_24h,10,2018-11-17 00:00:00,75946.84414798352,204.3517179070674
seasonal_24h,augment__seasonal_24h,11,2018-11-24 00:00:00,112695.63630180356,245.60401022401916
seasonal_24h,gated__seasonal_24h,0,2018-09-08 00:00:00,123582.47857186744,254.80931674521278
seasonal_24h,gated__seasonal_24h,1,2018-09-15 00:00:00,738105.0102376825,702.4722182775482
seasonal_24h,gated__seasonal_24h,2,2018-09-22 00:00:00,370511.82136194134,435.47807872266753
seasonal_24h,gated__seasonal_24h,3,2018-09-29 00:00:00,1020798.1436144083,881.7510930427161
seasonal_24h,gated__seasonal_24h,4,2018-10-06 00:00:00,470289.19431684486,516.0022962153325
seasonal_24h,gated__seasonal_24h,5,2018-10-13 00:00:00,89790.71292540307,217.18030556113337
seasonal_24h,gated__seasonal_24h,6,2018-10-20 00:00:00,152929.98279385825,290.93002875504203
