baseline,method,comparator,gain,ci_low,ci_high,weekly_se,weekly_blocks,fortnight_low,fortnight_high,bootstrap_low,bootstrap_high
seasonal_24h,augment__seasonal_168h,baseline,31308.99236537555,-9120.838111785863,71738.82284253696,18368.97004595784,12,5035.008467895666,57582.97626285543,669.8523578300286,67870.17665908129
seasonal_24h,gated__seasonal_168h,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
seasonal_24h,direct__ridge_lags_calendar,baseline,274225.42471851176,88472.3512729879,459978.4981640356,84395.42292894122,12,68905.4496177393,479545.3998192842,129657.93338948271,438933.64721128665
seasonal_24h,convex__ridge_lags_calendar,baseline,274225.42471851176,88472.35127298793,459978.4981640356,84395.4229289412,12,68905.4496177393,479545.3998192842,129657.93338948271,438933.6472112866
seasonal_24h,augment__ridge_lags_calendar,baseline,274948.73696827557,88360.56089599256,461536.9130405586,84774.84512673908,12,69397.4710188442,480500.00291770697,130346.39705127946,440582.9094328933
seasonal_24h,gated__ridge_lags_calendar,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
seasonal_24h,direct__hist_gradient_boosting,baseline,293683.2325870781,98296.78335824507,489069.6818159112,88772.27015082169,12,87598.29511232788,499768.17006182845,138502.26105744136,471786.71927433717
seasonal_24h,convex__hist_gradient_boosting,baseline,293683.2325870781,98296.78335824507,489069.6818159112,88772.27015082169,12,87598.29511232788,499768.17006182845,138502.26105744136,471786.71927433717
seasonal_24h,augment__hist_gradient_boosting,baseline,299789.5226076211,103309.58064268675,496269.46457255544,89269.08982772495,12,86169.87102044182,513409.1741948004,147428.0429963487,475264.5211667535
seasonal_24h,gated__hist_gradient_boosting,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
seasonal_24h,direct__mirror_ridge_control,baseline,-1145222.2511009404,-2159414.6059963503,-131029.89620553039,460790.1830910973,12,-2208233.067580021,-82211.43462186004,-2004307.9850636688,-490018.4546507345
seasonal_24h,convex__mirror_ridge_control,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
seasonal_24h,augment__mirror_ridge_control,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
seasonal_24h,gated__mirror_ridge_control,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
seasonal_24h,direct__exact_baseline_copy,baseline,-89527.01498928053,-245248.03851749282,66194.00853893177,70750.60129998496,12,-242313.55200530431,63259.52202674323,-223128.03744585483,1878.0351164841836
seasonal_24h,convex__exact_baseline_copy,baseline,20982.56310399601,-6062.466847159638,48027.59305515166,12287.693002953458,12,-9336.05768698893,51301.18389498096,530.2134738280156,45638.04536989171
seasonal_24h,augment__exact_baseline_copy,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
seasonal_24h,gated__exact_baseline_copy,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
seasonal_24h,direct__noise_control,baseline,-102687.44630076482,-258233.43702821137,52858.54442668175,70671.07654718784,12,-255087.33843053784,49712.4458290082,-235915.58898784686,-11133.79988757587
seasonal_24h,convex__noise_control,baseline,19095.10258507411,-2665.144484573724,40855.34965472194,9886.594178048776,12,-5530.750429199965,43720.955599348184,2638.165300978187,39634.676961569436
seasonal_24h,augment__noise_control,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
seasonal_24h,gated__noise_control,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
seasonal_24h,selected_augment,baseline,299789.5226076211,103309.58064268675,496269.46457255544,89269.08982772495,12,86169.87102044182,513409.1741948004,147428.0429963487,475264.5211667535
seasonal_24h,selected_convex,baseline,293683.2325870781,98296.78335824507,489069.6818159112,88772.27015082169,12,87598.29511232788,499768.17006182845,138502.26105744136,471786.71927433717
seasonal_24h,selected_gated,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
seasonal_24h,selected_gated,selected_convex,-293683.2325870781,-489069.6818159112,-98296.78335824507,88772.27015082169,12,-499768.17006182845,-87598.29511232788,-471786.7192743371,-138502.2610574413
seasonal_24h,selected_gated,selected_augment,-299789.5226076211,-496269.46457255544,-103309.58064268675,89269.08982772495,12,-513409.1741948004,-86169.87102044182,-475264.52116675343,-147428.0429963487
seasonal_24h,selected_gated,direct__ridge_lags_calendar,-274225.42471851176,-459978.4981640356,-88472.3512729879,84395.42292894122,12,-479545.3998192842,-68905.4496177393,-438933.64721128653,-129657.93338948271
seasonal_24h,selected_gated,direct__hist_gradient_boosting,-293683.2325870781,-489069.6818159112,-98296.78335824507,88772.27015082169,12,-499768.17006182845,-87598.29511232788,-471786.7192743371,-138502.2610574413
ridge_lags_calendar,baseline,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
ridge_lags_calendar,raw_baseline,baseline,-6134.443079383949,-15264.44805997174,2995.5619012038424,4148.144724539491,12,-15247.64643971718,2978.760280949279,-14556.658993398158,-176.76621898810833
ridge_lags_calendar,direct__persistence_1h,baseline,-44754.525148287335,-72946.61938623726,-16562.43091033741,12808.852485351354,12,-67597.35651995709,-21911.693776617583,-69660.72599746284,-20330.276951264874
ridge_lags_calendar,convex__persistence_1h,baseline,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
