baseline,method,n,mse,rmse,mae,negative_forecast_fraction,relative_mse_gain,meaningful_1pct_gain
ridge_lags_calendar,convex__persistence_1h,2016,53554.470387426954,231.418388179131,150.6655923227165,0.0,0.0,False
ridge_lags_calendar,augment__persistence_1h,2016,53554.470387426954,231.418388179131,150.6655923227165,0.0,0.0,False
ridge_lags_calendar,gated__persistence_1h,2016,53554.470387426954,231.418388179131,150.6655923227165,0.0,0.0,False
ridge_lags_calendar,direct__seasonal_24h,2016,423441.3531746032,650.7237149317698,386.81349206349205,0.0,-6.906741493498459,False
ridge_lags_calendar,convex__seasonal_24h,2016,55147.67567753348,234.8354225357271,153.595377380144,0.0,-0.029749249289197754,False
ridge_lags_calendar,augment__seasonal_24h,2016,54668.73316860377,233.81345805706687,152.73933224688815,0.0,-0.020806158162258948,False
ridge_lags_calendar,gated__seasonal_24h,2016,53554.470387426954,231.418388179131,150.6655923227165,0.0,0.0,False
ridge_lags_calendar,direct__seasonal_168h,2016,458293.7609126984,676.9739735859115,420.56051587301585,0.0,-7.557525778843152,False
ridge_lags_calendar,convex__seasonal_168h,2016,53629.45193401668,231.5803358103116,150.8585420432158,0.0,-0.001400098741473732,False
ridge_lags_calendar,augment__seasonal_168h,2016,53554.470387426954,231.418388179131,150.6655923227165,0.0,0.0,False
ridge_lags_calendar,gated__seasonal_168h,2016,53554.470387426954,231.418388179131,150.6655923227165,0.0,0.0,False
ridge_lags_calendar,direct__ridge_lags_calendar,2016,59688.913466810896,244.31314632416098,154.95438621765075,0.036210317460317464,-0.11454586395880284,False
ridge_lags_calendar,convex__ridge_lags_calendar,2016,53982.53951175437,232.34142874604686,149.8491697467367,0.005952380952380952,-0.007993153909106931,False
ridge_lags_calendar,augment__ridge_lags_calendar,2016,53554.470387426954,231.418388179131,150.6655923227165,0.0,0.0,False
ridge_lags_calendar,gated__ridge_lags_calendar,2016,53554.470387426954,231.418388179131,150.6655923227165,0.0,0.0,False
ridge_lags_calendar,direct__hist_gradient_boosting,2016,40231.10559824449,200.57693186965565,122.53762483002761,0.03670634920634921,0.2487815618901239,True
ridge_lags_calendar,convex__hist_gradient_boosting,2016,36746.757232208314,191.6944371446608,123.19353422859143,0.002976190476190476,0.3138433268712635,True
ridge_lags_calendar,augment__hist_gradient_boosting,2016,31123.03606305254,176.41722156029024,112.54021250778956,0.03571428571428571,0.4188526963687549,True
ridge_lags_calendar,gated__hist_gradient_boosting,2016,31123.03606305254,176.41722156029024,112.54021250778956,0.03571428571428571,0.4188526963687549,True
ridge_lags_calendar,direct__mirror_ridge_control,2016,59688.913466810896,244.31314632416098,154.95438621765075,0.036210317460317464,-0.11454586395880284,False
ridge_lags_calendar,convex__mirror_ridge_control,2016,53982.53951175437,232.34142874604686,149.8491697467367,0.005952380952380952,-0.007993153909106931,False
ridge_lags_calendar,augment__mirror_ridge_control,2016,53554.470387426954,231.418388179131,150.6655923227165,0.0,0.0,False
ridge_lags_calendar,gated__mirror_ridge_control,2016,53554.470387426954,231.418388179131,150.6655923227165,0.0,0.0,False
ridge_lags_calendar,direct__exact_baseline_copy,2016,59688.913466810896,244.31314632416098,154.95438621765075,0.036210317460317464,-0.11454586395880284,False
ridge_lags_calendar,convex__exact_baseline_copy,2016,53982.53951175437,232.34142874604686,149.8491697467367,0.005952380952380952,-0.007993153909106931,False
ridge_lags_calendar,augment__exact_baseline_copy,2016,53554.470387426954,231.418388179131,150.6655923227165,0.0,0.0,False
ridge_lags_calendar,gated__exact_baseline_copy,2016,53554.470387426954,231.418388179131,150.6655923227165,0.0,0.0,False
ridge_lags_calendar,direct__noise_control,2016,70610.01009436931,265.72544118764637,184.9619464390916,0.047619047619047616,-0.31847088737052487,False
ridge_lags_calendar,convex__noise_control,2016,53624.860403859915,231.57042212653133,150.64994077876227,0.0,-0.0013143630386733829,False
ridge_lags_calendar,augment__noise_control,2016,53580.62886194511,231.47489898895108,150.77246349617033,0.0,-0.0004884461433176668,False
ridge_lags_calendar,gated__noise_control,2016,53554.470387426954,231.418388179131,150.6655923227165,0.0,0.0,False
ridge_lags_calendar,selected_augment,2016,31123.03606305254,176.41722156029024,112.54021250778956,0.03571428571428571,0.4188526963687549,True
ridge_lags_calendar,selected_convex,2016,36746.757232208314,191.6944371446608,123.19353422859143,0.002976190476190476,0.3138433268712635,True
ridge_lags_calendar,selected_gated,2016,31123.03606305254,176.41722156029024,112.54021250778956,0.03571428571428571,0.4188526963687549,True
