categories,validation_pairs,mass,fit_error,method,repetitions,noncoverage,median_slack,mean_slack,negative_upper
32,2048,one_heavy,opposite_direction,rectangle,2000,0,0.07286617256402853,0.0729209713613372,0
32,2048,one_heavy,opposite_direction,aggregate,2000,0,0.02134610979584883,0.02129635719972848,1475
32,8192,balanced,exact,rectangle,2000,0,0.018516804294397553,0.018528994909085172,0
32,8192,balanced,exact,aggregate,2000,0,0.0026016377486187464,0.002620287198332412,0
32,8192,balanced,same_direction,rectangle,2000,0,0.027820664714365468,0.02784880511691922,0
32,8192,balanced,same_direction,aggregate,2000,0,0.0038700694105553604,0.003891145573664761,0
32,8192,balanced,opposite_direction,rectangle,2000,0,0.02242266589324171,0.022436141404002824,1169
32,8192,balanced,opposite_direction,aggregate,2000,0,0.008172198605878617,0.0081445250087961,2000
32,8192,one_heavy,exact,rectangle,2000,0,0.01857304068204231,0.01858485863622167,0
32,8192,one_heavy,exact,aggregate,2000,0,0.0026910125908127637,0.0027018359392908674,0
32,8192,one_heavy,same_direction,rectangle,2000,0,0.024224192982938215,0.02420367689078513,0
32,8192,one_heavy,same_direction,aggregate,2000,0,0.003992617877118856,0.003988607385673531,0
32,8192,one_heavy,opposite_direction,rectangle,2000,0,0.02303857984824085,0.023037933225664803,552
32,8192,one_heavy,opposite_direction,aggregate,2000,0,0.008209957550115134,0.008219197227372741,2000
128,512,balanced,exact,rectangle,2000,0,0.3478705177510518,0.3477578962631397,0
128,512,balanced,exact,aggregate,2000,0,0.1691988622886165,0.16948813306205085,0
128,512,balanced,same_direction,rectangle,2000,0,0.35497442572691906,0.3548769990698647,0
128,512,balanced,same_direction,aggregate,2000,0,0.1720703175649281,0.1722597303643579,0
128,512,balanced,opposite_direction,rectangle,2000,0,0.3478439512114462,0.3477317846959448,0
128,512,balanced,opposite_direction,aggregate,2000,0,0.17569728238905316,0.175855167194186,0
128,512,one_heavy,exact,rectangle,2000,0,0.11120645255263392,0.11153557721247268,0
128,512,one_heavy,exact,aggregate,2000,0,0.10262690005549395,0.10253347958250605,0
128,512,one_heavy,same_direction,rectangle,2000,0,0.1335303349532298,0.13361608991397375,0
128,512,one_heavy,same_direction,aggregate,2000,0,0.11720820660226697,0.11737796443161165,0
128,512,one_heavy,opposite_direction,rectangle,2000,0,0.11570994384136969,0.1156530086792815,0
128,512,one_heavy,opposite_direction,aggregate,2000,0,0.11719331956143395,0.11707477783635759,0
128,2048,balanced,exact,rectangle,2000,0,0.27247957191169403,0.27251330417014935,0
128,2048,balanced,exact,aggregate,2000,0,0.024726382091347445,0.024880469468504064,0
128,2048,balanced,same_direction,rectangle,2000,0,0.283377363876684,0.28330702028305726,0
128,2048,balanced,same_direction,aggregate,2000,0,0.025609808567432356,0.025724769259663074,0
128,2048,balanced,opposite_direction,rectangle,2000,0,0.2725494884277549,0.27249239466470787,0
128,2048,balanced,opposite_direction,aggregate,2000,0,0.03126999231442178,0.03133986927455825,0
128,2048,one_heavy,exact,rectangle,2000,0,0.10300476919081089,0.10303916493429602,0
128,2048,one_heavy,exact,aggregate,2000,0,0.04026319853419628,0.0403706951348646,0
128,2048,one_heavy,same_direction,rectangle,2000,0,0.1223077381326049,0.12235175450039776,0
128,2048,one_heavy,same_direction,aggregate,2000,0,0.04403052894140472,0.04399917990028558,0
128,2048,one_heavy,opposite_direction,rectangle,2000,0,0.1100162435455444,0.10996925655842969,0
128,2048,one_heavy,opposite_direction,aggregate,2000,0,0.046530005265225785,0.046541542093996184,0
128,8192,balanced,exact,rectangle,2000,0,0.08688269899030857,0.08689531677967878,0
128,8192,balanced,exact,aggregate,2000,0,0.0051621267681088295,0.005168166415973889,0
128,8192,balanced,same_direction,rectangle,2000,0,0.10124398835042106,0.10122142314113285,0
128,8192,balanced,same_direction,aggregate,2000,0,0.0059765076979872035,0.00598067082417708,0
128,8192,balanced,opposite_direction,rectangle,2000,0,0.08686798133099224,0.08689178363414884,0
128,8192,balanced,opposite_direction,aggregate,2000,0,0.009716610704799254,0.009736064378275356,2000
128,8192,one_heavy,exact,rectangle,2000,0,0.07295459465349721,0.07294850071555302,0
128,8192,one_heavy,exact,aggregate,2000,0,0.005885620003472017,0.005914527808212004,0
128,8192,one_heavy,same_direction,rectangle,2000,0,0.08648225965734198,0.08644860258223562,0
128,8192,one_heavy,same_direction,aggregate,2000,0,0.006660959190517283,0.006679813561026865,0
128,8192,one_heavy,opposite_direction,rectangle,2000,0,0.07779226721067806,0.0777818045181656,0
128,8192,one_heavy,opposite_direction,aggregate,2000,0,0.010426036086240357,0.010401463011185913,2000
