signal,lag,n,calendar_gaps,alpha,alpha_sign,standard_error,statistic,p_two_sided,by_reject,by_adjusted_p
betaVIX,24,467,0,0.443469097432937,positive,0.21831554894909355,2.0313216331482846,0.04222237827034305,False,0.34061161133337714
cfp,6,726,0,0.007182586274403226,positive,0.15476940521227567,0.04640830831230418,0.9629848145738504,False,1.0
cfp,12,726,0,0.007182586274403226,positive,0.1552089428070954,0.04627688420847148,0.963089563295652,False,1.0
cfp,24,726,0,0.007182586274403226,positive,0.16468919073581745,0.04361297934801935,0.9652129055191976,False,1.0
dCPVolSpread,6,323,0,0.991354967604041,positive,0.16821222118209628,5.893477659574215,3.7815124703476245e-09,True,1.3689692292930615e-07
dCPVolSpread,12,323,0,0.991354967604041,positive,0.19415029186811655,5.1061214385268805,3.288384055801982e-07,True,9.40526880309921e-06
dCPVolSpread,24,323,0,0.991354967604041,positive,0.23639093946433695,4.193709665228525,2.7442918704275367e-05,True,0.0005396245257794195
dNoa,6,738,0,0.6953784615419542,positive,0.08741212107141914,7.955172040429068,1.7888276244020532e-15,True,2.5013089578145075e-13
dNoa,12,738,0,0.6953784615419542,positive,0.09483680749152797,7.332368939180858,2.2611956665216506e-13,True,3.161818891259883e-11
dNoa,24,738,0,0.6953784615419542,positive,0.10537778603857462,6.5989093876711715,4.141933538545735e-11,True,3.7232006791079542e-09
dVolCall,6,323,0,0.5811339391533256,positive,0.21102953831054008,2.75380377460789,0.00589070747614923,False,0.05837206948873788
dVolCall,12,323,0,0.5811339391533256,positive,0.2336979309952808,2.48668842158068,0.012893827027306829,False,0.11931204411548835
dVolCall,24,323,0,0.5811339391533256,positive,0.27575622260312727,2.1074191315338067,0.03508126469859195,False,0.29294303334387384
dVolPut,6,323,0,0.31799650352802183,positive,0.17282315623819466,1.8400109710399053,0.06576662663644472,False,0.5016062935815628
dVolPut,12,323,0,0.31799650352802183,positive,0.1734186109945896,1.8336930604175052,0.06669956932010712,False,0.5118238703171527
dVolPut,24,323,0,0.31799650352802183,positive,0.18317329944445968,1.7360417948055915,0.0825564447941662,False,0.6258701646189614
fgr5yrLag,6,510,0,-0.1925030955436079,negative,0.15793512316689037,-1.2188745079850887,0.22289182648397443,False,1.0
fgr5yrLag,12,510,0,-0.1925030955436079,negative,0.17412773290454864,-1.1055280645566783,0.26893084068476314,False,1.0
fgr5yrLag,24,510,0,-0.1925030955436079,negative,0.19752430178244043,-0.9745792988836227,0.329768986268243,False,1.0
grcapx,6,738,0,0.22998369440012414,positive,0.06289959317744416,3.6563621922215623,0.0002558198364608984,True,0.003743493821118981
grcapx,12,738,0,0.22998369440012414,positive,0.06103068781656836,3.768328731463012,0.00016434418459440218,True,0.002522213485953238
grcapx,24,738,0,0.22998369440012414,positive,0.06367231039159718,3.61198915173141,0.0003038572804309698,True,0.004663340734565739
grcapx3y,6,738,0,0.2630484924003565,positive,0.0750175898552383,3.506490849785524,0.00045405704761343306,True,0.005823503890056608
grcapx3y,12,738,0,0.2630484924003565,positive,0.07297285321451451,3.6047445154307796,0.0003124601514291013,True,0.004468413154574587
grcapx3y,24,738,0,0.2630484924003565,positive,0.07654295293368747,3.43661280782108,0.0005890370025452719,True,0.008145965005461919
hire,6,714,0,0.30431516231006944,positive,0.08183996586121826,3.7184175128581782,0.00020047473269971513,True,0.0030396452819533067
hire,12,714,0,0.30431516231006944,positive,0.08399530379091565,3.623002103398334,0.0002912034534132039,True,0.004247653290476389
hire,24,714,0,0.30431516231006944,positive,0.0848348075558579,3.5871497923738294,0.00033431229188397567,True,0.0048920991284547135
iomom_cust,6,467,0,0.2649054289269382,positive,0.20500734973244106,1.2921752769970016,0.1962964514329164,False,1.0
iomom_cust,12,467,0,0.2649054289269382,positive,0.20045512997920092,1.3215198281751361,0.18632809560024033,False,1.0
iomom_cust,24,467,0,0.2649054289269382,positive,0.2010200369954929,1.3178060898122195,0.18756856880688177,False,1.0
iomom_supp,6,467,0,0.3541709693668811,positive,0.17354628082915863,2.040786859129133,0.04127201729976553,False,0.33082429784549433
iomom_supp,12,467,0,0.3541709693668811,positive,0.1633418561702518,2.1682805477472193,0.030137347536253967,False,0.25454238721723965
